Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000785,11.275589,[87 42] ; [26 36],[76.31937173 52.68062827] ; [36.68062827 25.31937173],1
d3,1,0.00164,9.914441,[62 67] ; [15 47],[52.0052356 76.9947644] ; [24.9947644 37.0052356],0
b5,1,0.012006,6.309971,[81 48] ; [27 35],[72.94240838 56.05759162] ; [35.05759162 26.94240838],0
r1,1,0.020567,5.363138,[98 31] ; [37 25],[91.17801047 37.82198953] ; [43.82198953 18.17801047],0
a5,1,0.020986,5.327942,[83 46] ; [29 33],[75.64397906 53.35602094] ; [36.35602094 25.64397906],0
u3,1,0.024328,5.071093,[33 26] ; [10 22],[27.87912088 31.12087912] ; [15.12087912 16.87912088],0
r2,1,0.038431,4.28586,[117  10] ; [50 11],[112.81382979  14.18617021] ; [54.18617021  6.81382979],0
r4,1,0.03853,4.281478,[113  16] ; [47 15],[108.06282723  20.93717277] ; [51.93717277 10.06282723],0
s8,1,0.044086,4.053283,[41 88] ; [29 33],[47.27748691 81.72251309] ; [22.72251309 39.27748691],0
d5,1,0.073286,3.20784,[74 55] ; [27 35],[68.21465969 60.78534031] ; [32.78534031 29.21465969],0
p7,1,0.119724,2.420934,[103  22] ; [45 17],[98.93048128 26.06951872] ; [49.06951872 12.93048128],0
s3,1,0.143768,2.137159,[60 66] ; [36 25],[64.68449198 61.31550802] ; [31.31550802 29.68449198],0
s4,1,0.236277,1.402669,[ 18 109] ; [13 49],[ 20.83068783 106.16931217] ; [10.16931217 51.83068783],0
a4,1,0.262288,1.256641,[32 96] ; [11 51],[28.96842105 99.03157895] ; [14.03157895 47.96842105],0
p9,1,0.266397,1.235205,[112  15] ; [51 11],[109.52910053  17.47089947] ; [53.47089947  8.52910053],0
v4,1,0.267369,1.230197,[121   7] ; [55  6],[119.1957672   8.8042328] ; [56.8042328  4.1957672],0
d4,1,0.292304,1.108978,[79 50] ; [33 29],[75.64397906 53.35602094] ; [36.35602094 25.64397906],0
p11,1,0.33676,0.922725,[111  18] ; [50 12],[108.7382199  20.2617801] ; [52.2617801  9.7382199],0
s5,1,0.352236,0.865387,[37 87] ; [22 38],[39.76086957 84.23913043] ; [19.23913043 40.76086957],0
p4,1,0.364323,0.822935,[85 43] ; [37 25],[82.18947368 45.81052632] ; [39.81052632 22.18947368],0
d2,1,0.368278,0.809467,[ 13 116] ; [ 9 53],[ 14.85863874 114.14136126] ; [ 7.14136126 54.85863874],0
p5,1,0.37563,0.784956,[ 23 105] ; [ 8 54],[ 20.88421053 107.11578947] ; [10.11578947 51.88421053],0
n4,1,0.380004,0.770689,[87 41] ; [46 16],[89.6 38.4] ; [43.4 18.6],0
p10,1,0.384769,0.755408,[107  18] ; [50 12],[104.94652406  20.05347594] ; [52.05347594  9.94652406],0
r3,1,0.388127,0.744801,[121   8] ; [56  6],[119.54450262   9.45549738] ; [57.45549738  4.54450262],0
b3,1,0.395435,0.722165,[19 47] ; [14 24],[20.94230769 45.05769231] ; [12.05769231 25.94230769],0
b2,1,0.395435,0.722165,[19 47] ; [14 24],[20.94230769 45.05769231] ; [12.05769231 25.94230769],0
p2,1,0.399115,0.710991,[113  15] ; [52 10],[111.15789474  16.84210526] ; [53.84210526  8.15789474],0
a1,1,0.401165,0.704833,[  5 124] ; [ 1 61],[  4.05235602 124.94764398] ; [ 1.94764398 60.05235602],0
p6,1,0.430838,0.620563,[56 72] ; [23 38],[53.5026455 74.4973545] ; [25.4973545 35.5026455],0
n3,1,0.503083,0.448427,[16  6] ; [10  6],[15.05263158  6.94736842] ; [10.94736842  5.05263158],0
b4,1,0.517477,0.418919,[73 56] ; [32 30],[70.91623037 58.08376963] ; [34.08376963 27.91623037],0
v2,1,0.523539,0.406916,[61 63] ; [32 27],[63.01639344 60.98360656] ; [29.98360656 29.01639344],0
n6,1,0.528546,0.397187,[106  22] ; [49 13],[104.42105263  23.57894737] ; [50.57894737 11.42105263],0
a3,1,0.540066,0.375417,[68 60] ; [30 32],[66.02105263 61.97894737] ; [31.97894737 30.02105263],0
n5,1,0.545918,0.364681,[91 36] ; [47 15],[92.73015873 34.26984127] ; [45.26984127 16.73015873],0
s2,1,0.550074,0.357185,[54 74] ; [29 33],[55.91578947 72.08421053] ; [27.08421053 34.91578947],0
n1,1,0.577894,0.309651,[ 9 13] ; [8 8],[ 9.84210526 12.15789474] ; [7.15789474 8.84210526],0
n2,1,0.610745,0.259091,[18  4] ; [12  4],[17.36842105  4.63157895] ; [12.63157895  3.36842105],0
p3,1,0.627442,0.235545,[68 61] ; [35 27],[69.56544503 59.43455497] ; [33.43455497 28.56544503],0
s1,1,0.63808,0.221262,[  6 122] ; [ 2 60],[  5.38947368 122.61052632] ; [ 2.61052632 59.38947368],0
b1,1,0.674588,0.176282,[50 79] ; [26 36],[51.32984293 77.67015707] ; [24.67015707 37.32984293],0
p1,1,0.705215,0.143104,[ 14 113] ; [ 8 54],[ 14.78306878 112.21693122] ; [ 7.21693122 54.78306878],0
u2,1,0.706866,0.141428,[33 28] ; [16 16],[32.13978495 28.86021505] ; [16.86021505 15.13978495],0
s7,1,0.791572,0.069839,[57 64] ; [30 31],[57.84065934 63.15934066] ; [29.15934066 31.84065934],0
v1,1,0.84021,0.040653,[59 67] ; [30 32],[59.64893617 66.35106383] ; [29.35106383 32.64893617],0
v3,1,0.848553,0.036467,[44 83] ; [22 39],[44.58510638 82.41489362] ; [21.41489362 39.58510638],0
a8,1,0.857738,0.032132,[ 15 102] ; [ 8 50],[ 15.37714286 101.62285714] ; [ 7.62285714 50.37714286],0
p12,1,0.889921,0.019156,[ 11 116] ; [ 5 57],[ 10.75132275 116.24867725] ; [ 5.24867725 56.75132275],0
s6,1,0.918629,0.010437,[85 40] ; [39 19],[84.69945355 40.30054645] ; [39.30054645 18.69945355],0
u1,1,0.963005,0.002151,[  4 125] ; [ 2 60],[  4.05235602 124.94764398] ; [ 1.94764398 60.05235602],0
