Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.4e-05,16.310659,[372  88] ; [4 8],[366.44067797  93.55932203] ; [9.55932203 2.44067797],1
r1,1,0.003666,8.442219,[399  58] ; [7 5],[395.6119403  61.3880597] ; [10.3880597  1.6119403],0
r2,1,0.019486,5.457403,[454   5] ; [10  1],[453.14042553   5.85957447] ; [10.85957447  0.14042553],0
s7,1,0.023168,5.155839,[288 154] ; [4 8],[284.28193833 157.71806167] ; [7.71806167 4.28193833],0
v1,1,0.031302,4.636349,[250 194] ; [3 9],[246.34210526 197.65789474] ; [6.65789474 5.34210526],0
p2,1,0.074085,3.190113,[391  67] ; [8 4],[388.81276596  69.18723404] ; [10.18723404  1.81276596],0
p11,1,0.074516,3.180637,[366  94] ; [7 5],[363.51694915  96.48305085] ; [9.48305085 2.51694915],0
a8,1,0.093314,2.816255,[ 66 363] ; [4 8],[ 68.0952381 360.9047619] ; [ 1.9047619 10.0952381],0
a2,1,0.164367,1.933582,[120 340] ; [ 1 11],[117.92372881 342.07627119] ; [3.07627119 8.92372881],0
s6,1,0.169167,1.890312,[386  65] ; [7 3],[384.47505423  66.52494577] ; [8.52494577 1.47505423],0
b1,1,0.184758,1.758933,[181 279] ; [7 5],[183.22033898 276.77966102] ; [4.77966102 7.22033898],0
u2,1,0.190104,1.716815,[69 50] ; [1 3],[67.72357724 51.27642276] ; [2.27642276 1.72357724],0
v2,1,0.196844,1.665635,[246 191] ; [9 3],[248.18485523 188.81514477] ; [6.81514477 5.18485523],0
s8,1,0.212015,1.557611,[273 185] ; [5 7],[270.90212766 187.09787234] ; [7.09787234 4.90212766],0
a5,1,0.219639,1.506728,[341 119] ; [7 5],[339.15254237 120.84745763] ; [8.84745763 3.15254237],0
a7,1,0.261219,1.262287,[335 124] ; [7 5],[333.2866242 125.7133758] ; [8.7133758 3.2866242],0
d2,1,0.279926,1.167449,[233 225] ; [8 4],[234.84680851 223.15319149] ; [6.15319149 5.84680851],0
n5,1,0.324383,0.97119,[359  98] ; [8 4],[357.6098081  99.3901919] ; [9.3901919 2.6098081],0
p4,1,0.326563,0.962478,[291 165] ; [6 6],[289.38461538 166.61538462] ; [7.61538462 4.38461538],0
d3,1,0.371645,0.798156,[322 136] ; [7 5],[320.6 137.4] ; [8.4 3.6],0
p10,1,0.38116,0.766958,[383  71] ; [9 3],[381.9055794  72.0944206] ; [10.0944206  1.9055794],0
a4,1,0.393717,0.727432,[210 249] ; [4 8],[208.5477707 250.4522293] ; [5.4522293 6.5477707],0
p8,1,0.395142,0.72306,[246 209] ; [5 7],[244.5503212 210.4496788] ; [6.4496788 5.5503212],0
s5,1,0.401579,0.703593,[190 249] ; [3 7],[188.70155902 250.29844098] ; [4.29844098 5.70155902],0
p3,1,0.412998,0.670153,[245 212] ; [5 7],[243.60341151 213.39658849] ; [6.39658849 5.60341151],0
p6,1,0.463875,0.536529,[179 274] ; [6 6],[180.22580645 272.77419355] ; [4.77419355 7.22580645],0
p7,1,0.482313,0.493628,[301 142] ; [7 5],[299.87692308 143.12307692] ; [8.12307692 3.87692308],0
u3,1,0.521289,0.411342,[78 41] ; [2 2],[77.39837398 41.60162602] ; [2.60162602 1.39837398],0
b2,1,0.52715,0.399882,[109 171] ; [4 4],[109.86111111 170.13888889] ; [3.13888889 4.86111111],0
b3,1,0.52715,0.399882,[109 171] ; [4 4],[109.86111111 170.13888889] ; [3.13888889 4.86111111],0
a6,1,0.576183,0.312446,[302 155] ; [7 5],[301.09381663 155.90618337] ; [7.90618337 4.09381663],0
a3,1,0.57667,0.311649,[339 120] ; [8 4],[338.15923567 120.84076433] ; [8.84076433 3.15923567],0
d5,1,0.604612,0.268095,[370  87] ; [9 3],[369.30277186  87.69722814] ; [9.69722814 2.30277186],0
b4,1,0.620454,0.245229,[274 186] ; [8 4],[274.83050847 185.16949153] ; [7.16949153 4.83050847],0
p5,1,0.64786,0.208609,[ 58 396] ; [ 1 11],[ 57.4806867 396.5193133] ; [ 1.5193133 10.4806867],0
s4,1,0.675039,0.175764,[ 99 357] ; [ 2 10],[ 98.41025641 357.58974359] ; [2.58974359 9.41025641],0
n4,1,0.690501,0.158543,[365  93] ; [9 3],[364.45106383  93.54893617] ; [9.54893617 2.45106383],0
v3,1,0.695026,0.153698,[186 254] ; [4 7],[185.36585366 254.63414634] ; [4.63414634 6.36585366],0
p9,1,0.709785,0.138492,[395  59] ; [10  2],[394.57081545  59.42918455] ; [10.42918455  1.57081545],0
d1,1,0.717461,0.130939,[283 177] ; [8 4],[283.60169492 176.39830508] ; [7.39830508 4.60169492],0
n6,1,0.798512,0.065165,[391  64] ; [10  2],[390.69593148  64.30406852] ; [10.30406852  1.69593148],0
p12,1,0.860773,0.030762,[ 49 407] ; [ 1 10],[ 48.82226981 407.17773019] ; [1.17773019 9.82226981],0
p1,1,0.86186,0.030278,[ 45 412] ; [ 1 11],[ 44.82302772 412.17697228] ; [ 1.17697228 10.82302772],0
d4,1,0.964908,0.001936,[383  74] ; [10  2],[382.9445629  74.0554371] ; [10.0554371  1.9445629],0
b5,1,0.96786,0.001624,[271 189] ; [7 5],[270.93220339 189.06779661] ; [7.06779661 4.93220339],0
