Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-05,18.16171,[26 27] ; [ 61 226],[13.56176471 39.43823529] ; [ 73.43823529 213.56176471],1
s6,1,3.5e-05,17.121257,[37 16] ; [111 173],[23.27596439 29.72403561] ; [124.72403561 159.27596439],1
p6,1,0.003038,8.784433,[25 27] ; [ 78 206],[15.94047619 36.05952381] ; [ 87.05952381 196.94047619],0
s7,1,0.003377,8.591524,[22 26] ; [ 69 205],[13.56521739 34.43478261] ; [ 77.43478261 196.56521739],0
s5,1,0.003902,8.328837,[20 32] ; [ 57 226],[11.95223881 40.04776119] ; [ 65.04776119 217.95223881],0
r1,1,0.004786,7.95858,[32 21] ; [226  62],[40.09970674 12.90029326] ; [217.90029326  70.09970674],0
p11,1,0.016701,5.727485,[32 21] ; [220  69],[39.05263158 13.94736842] ; [212.94736842  76.05263158],0
a1,1,0.020676,5.353906,[ 6 47] ; [ 11 278],[ 2.63450292 50.36549708] ; [ 14.36549708 274.63450292],0
p4,1,0.069609,3.292208,[34 18] ; [148 138],[28. 24.] ; [154. 132.],0
v3,1,0.075996,3.148514,[25 27] ; [ 98 181],[19.32326284 32.67673716] ; [103.67673716 175.32326284],0
s1,1,0.077414,3.118379,[ 3 49] ; [  5 283],[ 1.22352941 50.77647059] ; [  6.77647059 281.22352941],0
v1,1,0.078834,3.08878,[33 20] ; [140 145],[27.12721893 25.87278107] ; [145.87278107 139.12721893],0
u1,1,0.110182,2.55161,[13 40] ; [ 45 244],[ 8.98830409 44.01169591] ; [ 49.01169591 239.98830409],0
n3,1,0.11368,2.502308,[8 9] ; [48 23],[10.81818182  6.18181818] ; [45.18181818 25.81818182],0
n1,1,0.133244,2.254297,[ 2 15] ; [21 50],[ 4.44318182 12.55681818] ; [18.55681818 52.44318182],0
d5,1,0.223488,1.481833,[44  9] ; [257  32],[46.64619883  6.35380117] ; [254.35380117  34.64619883],0
a6,1,0.225443,1.469385,[32 21] ; [199  90],[35.79824561 17.20175439] ; [195.20175439  93.79824561],0
p3,1,0.225859,1.466753,[27 25] ; [123 164],[23.00884956 28.99115044] ; [126.99115044 160.00884956],0
n6,1,0.228987,1.447141,[46  6] ; [235  53],[42.97647059  9.02352941] ; [238.02352941  49.97647059],0
s4,1,0.229001,1.447053,[ 8 44] ; [ 28 258],[ 5.53846154 46.46153846] ; [ 30.46153846 255.53846154],0
p10,1,0.325861,0.965277,[42 10] ; [212  73],[39.19287834 12.80712166] ; [214.80712166  70.19287834],0
u3,1,0.336565,0.923471,[10  6] ; [42 43],[8.23762376 7.76237624] ; [43.76237624 41.23762376],0
r2,1,0.416575,0.659958,[46  7] ; [256  27],[47.63690476  5.36309524] ; [254.36309524  28.63690476],0
a4,1,0.44865,0.574059,[27 26] ; [130 157],[24.47352941 28.52647059] ; [132.52647059 154.47352941],0
r3,1,0.465467,0.532716,[50  3] ; [264  25],[48.66081871  4.33918129] ; [265.33918129  23.66081871],0
v2,1,0.466588,0.530046,[32 21] ; [155 127],[29.58507463 23.41492537] ; [157.41492537 124.58507463],0
n2,1,0.466839,0.529447,[12  5] ; [44 28],[10.69662921  6.30337079] ; [45.30337079 26.69662921],0
p12,1,0.490603,0.475204,[ 1 51] ; [ 11 275],[ 1.84615385 50.15384615] ; [ 10.15384615 275.84615385],0
p8,1,0.529326,0.395685,[27 25] ; [134 150],[24.91666667 27.08333333] ; [136.08333333 147.91666667],0
n5,1,0.608312,0.26264,[37 16] ; [190  97],[35.38529412 17.61470588] ; [191.61470588  95.38529412],0
b4,1,0.639217,0.219767,[33 20] ; [170 119],[31.45906433 21.54093567] ; [171.54093567 117.45906433],0
p7,1,0.641892,0.216277,[31 21] ; [160 125],[29.47181009 22.52818991] ; [161.52818991 123.47181009],0
b5,1,0.654911,0.199764,[34 19] ; [176 113],[32.54385965 20.45614035] ; [177.45614035 111.54385965],0
a5,1,0.685176,0.164357,[41 12] ; [216  73],[39.82748538 13.17251462] ; [217.17251462  71.82748538],0
r4,1,0.695195,0.153519,[44  9] ; [246  43],[44.94152047  8.05847953] ; [245.05847953  43.94152047],0
d2,1,0.701922,0.14648,[27 26] ; [138 149],[25.72058824 27.27941176] ; [139.27941176 147.72058824],0
b3,1,0.753651,0.098488,[11 17] ; [ 63 111],[10.25742574 17.74257426] ; [ 63.74257426 110.25742574],0
b2,1,0.753651,0.098488,[11 17] ; [ 63 111],[10.25742574 17.74257426] ; [ 63.74257426 110.25742574],0
b1,1,0.7558,0.096721,[21 32] ; [108 181],[19.99122807 33.00877193] ; [109.00877193 179.99122807],0
a7,1,0.761483,0.092133,[38 15] ; [213  76],[38.89766082 14.10233918] ; [212.10233918  76.89766082],0
d3,1,0.763682,0.09039,[41 12] ; [218  71],[40.1374269 12.8625731] ; [218.8625731  70.1374269],0
p1,1,0.798618,0.065095,[ 3 50] ; [ 19 269],[ 3.41935484 49.58064516] ; [ 18.58064516 269.41935484],0
p9,1,0.832215,0.044886,[40 12] ; [223  62],[40.58160237 11.41839763] ; [222.41839763  62.58160237],0
v4,1,0.85334,0.034173,[49  4] ; [265  24],[48.66081871  4.33918129] ; [265.33918129  23.66081871],0
a8,1,0.875217,0.02466,[ 5 41] ; [ 30 227],[ 5.31353135 40.68646865] ; [ 29.68646865 227.31353135],0
a2,1,0.89165,0.018555,[12 41] ; [ 63 226],[11.62280702 41.37719298] ; [ 63.37719298 225.62280702],0
p5,1,0.919987,0.01009,[ 5 47] ; [ 29 259],[ 5.2 46.8] ; [ 28.8 259.2],0
a3,1,0.921233,0.009778,[37 16] ; [203  85],[37.30205279 15.69794721] ; [202.69794721  85.30205279],0
n4,1,0.926166,0.008588,[38 15] ; [209  80],[38.27777778 14.72222222] ; [208.72222222  80.27777778],0
d1,1,0.92823,0.008113,[35 18] ; [189 100],[34.71345029 18.28654971] ; [189.28654971  99.71345029],0
u2,1,0.930429,0.007622,[8 8] ; [43 41],[8.16 7.84] ; [42.84 41.16],0
p2,1,0.956294,0.003003,[40 12] ; [219  67],[39.84615385 12.15384615] ; [219.15384615  66.84615385],0
