Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000835,11.160714,[16 47] ; [9 3],[21. 42.] ; [4. 8.],1
s2,1,0.003553,8.499193,[18 48] ; [9 4],[22.55696203 43.44303797] ; [4.44303797 8.55696203],0
n4,1,0.025133,5.014712,[43 24] ; [4 9],[39.3625 27.6375] ; [7.6375 5.3625],0
s6,1,0.034756,4.457143,[20 45] ; [8 5],[23.33333333 41.66666667] ; [4.66666667 8.33333333],0
s3,1,0.035059,4.442308,[24 40] ; [9 4],[27.42857143 36.57142857] ; [5.57142857 7.42857143],0
n3,1,0.078132,3.103333,[12 18] ; [6 2],[14.21052632 15.78947368] ; [3.78947368 4.21052632],0
b5,1,0.082533,3.014299,[34 33] ; [10  3],[36.85 30.15] ; [7.15 5.85],0
v1,1,0.102867,2.660517,[25 39] ; [ 2 11],[22.44155844 41.55844156] ; [4.55844156 8.44155844],0
d3,1,0.111768,2.529042,[35 31] ; [10  3],[37.59493671 28.40506329] ; [7.40506329 5.59493671],0
p7,1,0.116923,2.458058,[22 42] ; [7 5],[24.42105263 39.57894737] ; [4.57894737 7.42105263],0
n5,1,0.129106,2.303219,[45 21] ; [6 7],[42.60759494 23.39240506] ; [8.39240506 4.60759494],0
b3,1,0.170273,1.880539,[15 21] ; [1 6],[13.39534884 22.60465116] ; [2.60465116 4.39534884],0
b2,1,0.170273,1.880539,[15 21] ; [1 6],[13.39534884 22.60465116] ; [2.60465116 4.39534884],0
p6,1,0.194413,1.683854,[14 51] ; [5 8],[15.83333333 49.16666667] ; [3.16666667 9.83333333],0
a4,1,0.22594,1.466241,[27 39] ; [ 3 10],[25.06329114 40.93670886] ; [4.93670886 8.06329114],0
a6,1,0.227014,1.459472,[38 29] ; [5 8],[36.0125 30.9875] ; [6.9875 6.0125],0
v3,1,0.233202,1.421223,[21 45] ; [ 2 11],[19.21518987 46.78481013] ; [3.78481013 9.21518987],0
p9,1,0.238024,1.392257,[42 24] ; [6 7],[40.10126582 25.89873418] ; [7.89873418 5.10126582],0
u3,1,0.285871,1.138968,[ 9 17] ; [3 2],[10.06451613 15.93548387] ; [1.93548387 3.06451613],0
u2,1,0.317311,1.0,[ 9 16] ; [3 2],[10. 15.] ; [2. 3.],0
p2,1,0.36322,0.826729,[35 28] ; [9 4],[36.47368421 26.52631579] ; [7.52631579 5.47368421],0
p8,1,0.373914,0.790614,[19 47] ; [5 7],[20.30769231 45.69230769] ; [3.69230769 8.30769231],0
n1,1,0.380042,0.770565,[13 18] ; [2 6],[11.92307692 19.07692308] ; [3.07692308 4.92307692],0
p10,1,0.410186,0.678261,[37 28] ; [9 4],[38.33333333 26.66666667] ; [7.66666667 5.33333333],0
b1,1,0.417393,0.657644,[34 33] ; [5 8],[32.6625 34.3375] ; [6.3375 6.6625],0
p11,1,0.417393,0.657644,[33 34] ; [8 5],[34.3375 32.6625] ; [6.6625 6.3375],0
p3,1,0.436954,0.604269,[18 47] ; [5 8],[19.16666667 45.83333333] ; [3.83333333 9.16666667],0
a7,1,0.446619,0.579219,[33 33] ; [8 5],[34.25316456 31.74683544] ; [6.74683544 6.25316456],0
d5,1,0.466934,0.529222,[48 19] ; [8 5],[46.9 20.1] ; [9.1 3.9],0
a5,1,0.548344,0.360293,[37 30] ; [6 7],[36.0125 30.9875] ; [6.9875 6.0125],0
s5,1,0.566412,0.328723,[13 53] ; [3 8],[13.71428571 52.28571429] ; [2.28571429 8.71428571],0
s8,1,0.580101,0.306072,[11 55] ; [ 3 10],[11.69620253 54.30379747] ; [ 2.30379747 10.69620253],0
r3,1,0.610714,0.259136,[35 30] ; [8 5],[35.83333333 29.16666667] ; [7.16666667 5.83333333],0
p4,1,0.641266,0.21709,[21 45] ; [5 8],[21.72151899 44.27848101] ; [4.27848101 8.72151899],0
n2,1,0.681725,0.16819,[18 13] ; [4 4],[17.48717949 13.51282051] ; [4.51282051 3.48717949],0
d2,1,0.685309,0.164211,[34 31] ; [6 7],[33.33333333 31.66666667] ; [6.66666667 6.33333333],0
b4,1,0.694715,0.154028,[40 27] ; [7 6],[39.3625 27.6375] ; [7.6375 5.3625],0
v2,1,0.736229,0.113469,[25 40] ; [4 8],[24.48051948 40.51948052] ; [4.51948052 7.48051948],0
n6,1,0.758476,0.094545,[38 27] ; [7 6],[37.5 27.5] ; [7.5 5.5],0
s1,1,0.8144,0.055109,[ 4 63] ; [ 1 12],[ 4.1875 62.8125] ; [ 0.8125 12.1875],0
d1,1,0.837859,0.041875,[33 34] ; [6 7],[32.6625 34.3375] ; [6.3375 6.6625],0
v4,1,0.847426,0.037019,[46 18] ; [9 4],[45.71428571 18.28571429] ; [9.28571429 3.71428571],0
d4,1,0.857284,0.03234,[44 22] ; [9 4],[44.27848101 21.72151899] ; [8.72151899 4.27848101],0
r1,1,0.88571,0.02066,[19 47] ; [4 9],[19.21518987 46.78481013] ; [3.78481013 9.21518987],0
a3,1,0.968435,0.001566,[41 25] ; [8 5],[40.93670886 25.06329114] ; [8.06329114 4.93670886],0
