Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.126538,[16 31] ; [102  36],[29.97837838 17.02162162] ; [88.02162162 49.97837838],1
d3,1,0.000264,13.309359,[24 23] ; [108  29],[33.7173913 13.2826087] ; [98.2826087 38.7173913],1
a2,1,0.000539,11.975095,[ 4 43] ; [48 90],[13.21081081 33.78918919] ; [38.78918919 99.21081081],1
u1,1,0.00296,8.831935,[ 2 45] ; [ 33 105],[ 8.89189189 38.10810811] ; [ 26.10810811 111.89189189],0
b1,1,0.004713,7.986553,[33 14] ; [64 74],[24.64324324 22.35675676] ; [72.35675676 65.64324324],0
b5,1,0.010778,6.501538,[23 24] ; [96 42],[30.23243243 16.76756757] ; [88.76756757 49.23243243],0
r4,1,0.047172,3.939244,[32 15] ; [113  25],[36.83783784 10.16216216] ; [108.16216216  29.83783784],0
r1,1,0.047934,3.912302,[31 16] ; [109  27],[35.95628415 11.04371585] ; [104.04371585  31.95628415],0
p2,1,0.068046,3.329537,[24 22] ; [92 45],[29.15846995 16.84153005] ; [86.84153005 50.15846995],0
r3,1,0.073426,3.20472,[36 11] ; [119  17],[39.80874317  7.19125683] ; [115.19125683  20.80874317],0
p9,1,0.083134,3.002543,[23 22] ; [86 45],[27.86931818 17.13068182] ; [81.13068182 49.86931818],0
r2,1,0.104839,2.630343,[39  6] ; [128   8],[41.51933702  3.48066298] ; [125.48066298  10.51933702],0
s1,1,0.124862,2.355245,[ 5 42] ; [  6 129],[ 2.84065934 44.15934066] ; [  8.15934066 126.84065934],0
b2,1,0.157853,1.994672,[11 14] ; [20 50],[ 8.15789474 16.84210526] ; [22.84210526 47.15789474],0
b3,1,0.157853,1.994672,[11 14] ; [20 50],[ 8.15789474 16.84210526] ; [22.84210526 47.15789474],0
u3,1,0.242997,1.363121,[6 8] ; [22 14],[7.84 6.16] ; [20.16 15.84],0
d2,1,0.262015,1.258081,[30 16] ; [77 61],[26.75 19.25] ; [80.25 57.75],0
u2,1,0.278203,1.17585,[5 9] ; [19 17],[6.72 7.28] ; [17.28 18.72],0
v3,1,0.290961,1.11517,[17 26] ; [41 92],[14.17045455 28.82954545] ; [43.82954545 89.17045455],0
p10,1,0.291585,1.112287,[22 24] ; [75 57],[25.06741573 20.93258427] ; [71.93258427 60.06741573],0
p3,1,0.374961,0.787157,[21 25] ; [52 84],[18.45054945 27.54945055] ; [54.54945055 81.45054945],0
n1,1,0.407459,0.686202,[11 12] ; [18 30],[ 9.3943662 13.6056338] ; [19.6056338 28.3943662],0
p8,1,0.452894,0.563399,[16 30] ; [39 96],[13.97790055 32.02209945] ; [41.02209945 93.97790055],0
p7,1,0.457829,0.551196,[22 23] ; [57 77],[19.8603352 25.1396648] ; [59.1396648 74.8603352],0
s7,1,0.478705,0.501812,[16 24] ; [58 67],[17.93939394 22.06060606] ; [56.06060606 68.93939394],0
s5,1,0.482675,0.492814,[17 27] ; [42 86],[15.09302326 28.90697674] ; [43.90697674 84.09302326],0
d4,1,0.504398,0.445671,[42  5] ; [118  20],[40.64864865  6.35135135] ; [119.35135135  18.64864865],0
a1,1,0.51416,0.425591,[ 4 43] ; [  8 130],[ 3.04864865 43.95135135] ; [  8.95135135 129.04864865],0
s3,1,0.517308,0.419257,[20 25] ; [69 69],[21.8852459 23.1147541] ; [67.1147541 70.8852459],0
p5,1,0.57654,0.311862,[ 2 44] ; [  9 127],[ 2.78021978 43.21978022] ; [  8.21978022 127.78021978],0
p6,1,0.607546,0.263764,[12 34] ; [40 93],[13.36312849 32.63687151] ; [38.63687151 94.36312849],0
v2,1,0.609989,0.260192,[25 22] ; [64 67],[23.5 23.5] ; [65.5 65.5],0
s2,1,0.616895,0.250255,[21 26] ; [67 70],[22.47826087 24.52173913] ; [65.52173913 71.47826087],0
n3,1,0.632024,0.229326,[15  8] ; [34 14],[15.87323944  7.12676056] ; [33.12676056 14.87323944],0
s8,1,0.636459,0.223403,[16 30] ; [53 84],[17.3442623 28.6557377] ; [51.6557377 85.3442623],0
a3,1,0.640689,0.217842,[33 14] ; [101  36],[34.22826087 12.77173913] ; [99.77173913 37.22826087],0
b4,1,0.653397,0.201644,[29 18] ; [80 58],[27.69189189 19.30810811] ; [81.30810811 56.69189189],0
v1,1,0.687121,0.162219,[19 28] ; [60 77],[20.17934783 26.82065217] ; [58.82065217 78.17934783],0
n5,1,0.690914,0.158098,[26 20] ; [82 55],[27.14754098 18.85245902] ; [80.85245902 56.14754098],0
n4,1,0.69994,0.148534,[30 16] ; [85 52],[28.90710383 17.09289617] ; [86.09289617 50.90710383],0
s6,1,0.712097,0.136192,[27 17] ; [87 48],[28.02234637 15.97765363] ; [85.97765363 49.02234637],0
d1,1,0.722996,0.125641,[30 17] ; [92 46],[30.99459459 16.00540541] ; [91.00540541 46.99459459],0
s4,1,0.763007,0.090923,[12 35] ; [ 32 105],[11.23913043 35.76086957] ; [ 32.76086957 104.23913043],0
p12,1,0.783158,0.075738,[ 1 45] ; [  4 132],[ 1.26373626 44.73626374] ; [  3.73626374 132.26373626],0
a8,1,0.810615,0.057424,[ 4 42] ; [ 12 109],[ 4.40718563 41.59281437] ; [ 11.59281437 109.40718563],0
p4,1,0.869019,0.027193,[21 24] ; [62 75],[20.52197802 24.47802198] ; [62.47802198 74.52197802],0
n6,1,0.877529,0.023747,[31 15] ; [94 43],[31.42076503 14.57923497] ; [93.57923497 43.42076503],0
a5,1,0.916839,0.010903,[33 14] ; [98 40],[33.28108108 13.71891892] ; [97.71891892 40.28108108],0
a4,1,0.932125,0.007254,[24 22] ; [71 67],[23.75 22.25] ; [71.25 66.75],0
p1,1,0.958395,0.002722,[ 4 43] ; [ 12 125],[ 4.08695652 42.91304348] ; [ 11.91304348 125.08695652],0
v4,1,0.964825,0.001945,[42  5] ; [123  15],[41.91891892  5.08108108] ; [123.08108108  14.91891892],0
n2,1,0.977021,0.00083,[14  9] ; [30 19],[14.05555556  8.94444444] ; [29.94444444 19.05555556],0
u4,1,0.984977,0.000355,[ 1 46] ; [  3 135],[ 1.01621622 45.98378378] ; [  2.98378378 135.01621622],0
