Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5e-06,20.910139,[25 25] ; [ 8 60],[13.98305085 36.01694915] ; [19.01694915 48.98305085],1
p2,1,3.3e-05,17.253556,[41  9] ; [30 38],[30.08474576 19.91525424] ; [40.91525424 27.08474576],1
p6,1,0.000861,11.103935,[17 33] ; [ 6 60],[ 9.9137931 40.0862069] ; [13.0862069 52.9137931],1
p4,1,0.001565,10.000063,[27 23] ; [17 50],[18.8034188 31.1965812] ; [25.1965812 41.8034188],0
v4,1,0.0022,9.374722,[47  3] ; [48 19],[40.5982906  9.4017094] ; [54.4017094 12.5982906],0
p10,1,0.003387,8.586049,[19 30] ; [10 57],[12.25 36.75] ; [16.75 50.25],0
a4,1,0.006858,7.309663,[12 37] ; [33 34],[19.00862069 29.99137931] ; [25.99137931 41.00862069],0
r4,1,0.0094,6.745269,[43  7] ; [44 24],[36.86440678 13.13559322] ; [50.13559322 17.86440678],0
p3,1,0.012046,6.30403,[23 27] ; [16 51],[16.66666667 33.33333333] ; [22.33333333 44.66666667],0
v2,1,0.018599,5.538845,[26 23] ; [21 46],[19.85344828 29.14655172] ; [27.14655172 39.85344828],0
s3,1,0.020522,5.366907,[29 21] ; [24 42],[22.84482759 27.15517241] ; [30.15517241 35.84482759],0
a3,1,0.021708,5.269004,[23 27] ; [45 22],[29.05982906 20.94017094] ; [38.94017094 28.05982906],0
r3,1,0.023155,5.156823,[45  5] ; [49 18],[40.17094017  9.82905983] ; [53.82905983 13.17094017],0
s6,1,0.029781,4.72191,[28 22] ; [24 43],[22.22222222 27.77777778] ; [29.77777778 37.22222222],0
p11,1,0.032576,4.567902,[32 18] ; [30 38],[26.27118644 23.72881356] ; [35.72881356 32.27118644],0
s2,1,0.039433,4.242108,[22 28] ; [17 49],[16.81034483 33.18965517] ; [22.18965517 43.81034483],0
n6,1,0.056609,3.634059,[39 10] ; [43 25],[34.34188034 14.65811966] ; [47.65811966 20.34188034],0
a2,1,0.078143,3.103103,[ 6 44] ; [17 51],[ 9.74576271 40.25423729] ; [13.25423729 54.74576271],0
s4,1,0.180585,1.7928,[ 4 45] ; [11 55],[ 6.39130435 42.60869565] ; [ 8.60869565 57.39130435],0
s8,1,0.183848,1.76624,[15 35] ; [13 54],[11.96581197 38.03418803] ; [16.03418803 50.96581197],0
p5,1,0.21643,1.527885,[ 4 46] ; [ 2 66],[ 2.54237288 47.45762712] ; [ 3.45762712 64.54237288],0
b2,1,0.21725,1.522444,[ 8 22] ; [19 28],[10.51948052 19.48051948] ; [16.48051948 30.51948052],0
b3,1,0.21725,1.522444,[ 8 22] ; [19 28],[10.51948052 19.48051948] ; [16.48051948 30.51948052],0
b5,1,0.254936,1.29605,[31 19] ; [35 33],[27.96610169 22.03389831] ; [38.03389831 29.96610169],0
r1,1,0.322134,0.980263,[40 10] ; [49 19],[37.71186441 12.28813559] ; [51.28813559 16.71186441],0
u2,1,0.371341,0.799173,[13 12] ; [ 9 14],[11.45833333 13.54166667] ; [10.54166667 12.45833333],0
s7,1,0.378477,0.775643,[18 30] ; [18 43],[15.85321101 32.14678899] ; [20.14678899 40.85321101],0
a5,1,0.391268,0.734999,[30 20] ; [46 22],[32.20338983 17.79661017] ; [43.79661017 24.20338983],0
a1,1,0.407873,0.684991,[ 3 47] ; [ 7 61],[ 4.23728814 45.76271186] ; [ 5.76271186 62.23728814],0
n5,1,0.410453,0.677489,[38 12] ; [47 21],[36.01694915 13.98305085] ; [48.98305085 19.01694915],0
a8,1,0.413785,0.667898,[ 6 40] ; [ 5 56],[ 4.72897196 41.27102804] ; [ 6.27102804 54.72897196],0
v1,1,0.458641,0.549209,[21 29] ; [24 44],[19.06779661 30.93220339] ; [25.93220339 42.06779661],0
a6,1,0.458641,0.549209,[29 21] ; [44 24],[30.93220339 19.06779661] ; [42.06779661 25.93220339],0
n3,1,0.470774,0.520159,[9 5] ; [12 11],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
p1,1,0.487081,0.482968,[ 4 46] ; [ 8 59],[ 5.12820513 44.87179487] ; [ 6.87179487 60.12820513],0
b1,1,0.505148,0.444104,[31 19] ; [38 30],[29.23728814 20.76271186] ; [39.76271186 28.23728814],0
d2,1,0.556257,0.346226,[23 27] ; [34 32],[24.56896552 25.43103448] ; [32.43103448 33.56896552],0
d3,1,0.568861,0.324592,[32 18] ; [40 28],[30.50847458 19.49152542] ; [41.49152542 26.50847458],0
r2,1,0.571421,0.320311,[45  5] ; [58  9],[44.01709402  5.98290598] ; [58.98290598  8.01709402],0
a7,1,0.593762,0.284507,[33 17] ; [41 26],[31.62393162 18.37606838] ; [42.37606838 24.62393162],0
n2,1,0.636871,0.222857,[9 4] ; [16 10],[8.33333333 4.66666667] ; [16.66666667  9.33333333],0
s5,1,0.644271,0.2132,[10 40] ; [11 55],[ 9.05172414 40.94827586] ; [11.94827586 54.05172414],0
v3,1,0.644774,0.212553,[19 31] ; [22 43],[17.82608696 32.17391304] ; [23.17391304 41.82608696],0
u3,1,0.70436,0.143976,[12 15] ; [ 9 14],[11.34 15.66] ; [ 9.66 13.34],0
u1,1,0.74523,0.105583,[ 7 43] ; [11 57],[ 7.62711864 42.37288136] ; [10.37288136 57.62711864],0
p12,1,0.834069,0.043884,[ 1 49] ; [ 1 66],[ 0.85470085 49.14529915] ; [ 1.14529915 65.85470085],0
d1,1,0.839029,0.041264,[23 27] ; [30 38],[22.45762712 27.54237288] ; [30.54237288 37.45762712],0
s1,1,0.972857,0.001158,[ 3 46] ; [ 4 63],[ 2.95689655 46.04310345] ; [ 4.04310345 62.95689655],0
b4,1,0.974273,0.00104,[30 20] ; [41 27],[30.08474576 19.91525424] ; [40.91525424 27.08474576],0
n1,1,0.9851,0.000349,[6 7] ; [11 13],[5.97297297 7.02702703] ; [11.02702703 12.97297297],0
d4,1,0.986084,0.000304,[35 15] ; [47 20],[35.04273504 14.95726496] ; [46.95726496 20.04273504],0
d5,1,0.994387,4.9e-05,[36 14] ; [49 19],[36.01694915 13.98305085] ; [48.98305085 19.01694915],0
