Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,153.84935,[372  57] ; [40 86],[318.46486486 110.53513514] ; [93.53513514 32.46486486],1
n6,1,0.0,36.808786,[382  47] ; [83 42],[360.08122744  68.91877256] ; [104.91877256  20.08122744],1
a5,1,1e-06,23.742185,[356  75] ; [79 48],[335.99462366  95.00537634] ; [99.00537634 27.99462366],1
p4,1,2e-05,18.158075,[286 141] ; [58 68],[265.62025316 161.37974684] ; [78.37974684 47.62025316],1
a4,1,2.2e-05,18.008268,[227 202] ; [40 87],[206.01258993 222.98741007] ; [60.98741007 66.01258993],1
d2,1,2.7e-05,17.606398,[239 189] ; [44 83],[218.24144144 209.75855856] ; [64.75855856 62.24144144],1
p11,1,3.8e-05,16.946418,[350  81] ; [81 46],[332.90501792  98.09498208] ; [98.09498208 28.90501792],1
p6,1,9.7e-05,15.195506,[174 251] ; [27 97],[155.6010929 269.3989071] ; [45.3989071 78.6010929],1
a8,1,0.000204,13.790968,[ 70 307] ; [  5 110],[ 57.4695122 319.5304878] ; [17.5304878 97.4695122],1
a2,1,0.000294,13.111359,[155 276] ; [ 24 103],[138.25985663 292.74014337] ; [40.74014337 86.25985663],1
s7,1,0.000351,12.775614,[218 189] ; [42 78],[200.79696395 206.20303605] ; [59.20303605 60.79696395],1
p3,1,0.000531,12.00447,[228 200] ; [45 81],[210.90974729 217.09025271] ; [62.09025271 63.90974729],1
u1,1,0.001456,10.133969,[121 310] ; [ 18 109],[107.36379928 323.63620072] ; [31.63620072 95.36379928],0
r4,1,0.00341,8.573807,[419  12] ; [116  11],[413.23476703  17.76523297] ; [121.76523297   5.23476703],0
a3,1,0.003417,8.570116,[325 102] ; [80 47],[312.15703971 114.84296029] ; [92.84296029 34.15703971],0
r2,1,0.004092,8.242529,[422   7] ; [118   8],[417.40540541  11.59459459] ; [122.59459459   3.40540541],0
v1,1,0.004656,8.008304,[245 178] ; [53 69],[231.29174312 191.70825688] ; [66.70825688 55.29174312],0
s4,1,0.007387,7.176353,[ 55 366] ; [29 98],[ 64.53284672 356.46715328] ; [ 19.46715328 107.53284672],0
d1,1,0.00754,7.139711,[293 138] ; [70 57],[280.38172043 150.61827957] ; [82.61827957 44.38172043],0
n1,1,0.011663,6.36146,[34 40] ; [10 34],[27.59322034 46.40677966] ; [16.40677966 27.59322034],0
p10,1,0.014518,5.974065,[358  69] ; [92 32],[348.72958258  78.27041742] ; [101.27041742  22.72958258],0
s8,1,0.016361,5.76365,[198 226] ; [44 83],[186.22141561 237.77858439] ; [55.77858439 71.22141561],0
v3,1,0.030284,4.693101,[178 236] ; [38 81],[167.77485929 246.22514071] ; [48.22514071 70.77485929],0
