Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,58.43575,[170  94] ; [ 41 117],[132. 132.] ; [79. 79.],1
p6,1,0.0,45.788807,[112 150] ; [ 18 141],[ 80.90261283 181.09738717] ; [ 49.09738717 109.90261283],1
p3,1,0.0,28.25006,[144 122] ; [ 44 115],[117.66588235 148.33411765] ; [70.33411765 88.66588235],1
p4,1,0.0,25.768282,[176  89] ; [66 94],[150.89411765 114.10588235] ; [91.10588235 68.89411765],1
a2,1,0.007986,7.036695,[ 63 203] ; [ 21 139],[ 52.45070423 213.54929577] ; [ 31.54929577 128.45070423],0
a1,1,0.011894,6.326583,[ 14 252] ; [  1 159],[  9.36619718 256.63380282] ; [  5.63380282 154.36619718],0
v3,1,0.01697,5.699497,[ 90 168] ; [ 37 119],[ 79.14492754 178.85507246] ; [ 47.85507246 108.14492754],0
v4,1,0.01875,5.52465,[253   9] ; [145  14],[247.68646081  14.31353919] ; [150.31353919   8.68646081],0
r4,1,0.023155,5.15683,[237  29] ; [130  30],[229.15962441  36.84037559] ; [137.84037559  22.15962441],0
u1,1,0.037312,4.336126,[ 42 224] ; [ 14 146],[ 34.96713615 231.03286385] ; [ 21.03286385 138.96713615],0
r1,1,0.042139,4.1296,[209  55] ; [112  47],[200.34042553  63.65957447] ; [120.65957447  38.34042553],0
b4,1,0.044187,4.049394,[150 116] ; [106  54],[159.84976526 106.15023474] ; [96.15023474 63.84976526],0
d2,1,0.053018,3.743364,[118 148] ; [ 55 103],[108.53301887 157.46698113] ; [64.46698113 93.53301887],0
v2,1,0.05416,3.707751,[141 114] ; [71 85],[131.53284672 123.46715328] ; [80.46715328 75.53284672],0
s7,1,0.060036,3.536378,[ 78 175] ; [ 34 119],[ 69.79310345 183.20689655] ; [ 42.20689655 110.79310345],0
a3,1,0.064119,3.427514,[177  87] ; [93 67],[168.11320755  95.88679245] ; [101.88679245  58.11320755],0
s6,1,0.083294,2.999423,[145 113] ; [75 83],[136.44230769 121.55769231] ; [83.55769231 74.44230769],0
p10,1,0.090604,2.863617,[214  51] ; [118  42],[207.01176471  57.98823529] ; [124.98823529  35.01176471],0
n6,1,0.092568,2.829133,[223  41] ; [124  35],[216.56737589  47.43262411] ; [130.43262411  28.56737589],0
s5,1,0.103387,2.652511,[ 74 187] ; [ 33 123],[ 66.97122302 194.02877698] ; [ 40.02877698 115.97122302],0
p5,1,0.130959,2.281101,[ 26 240] ; [  9 151],[ 21.85446009 244.14553991] ; [ 13.14553991 146.85446009],0
b1,1,0.171045,1.873759,[104 162] ; [ 52 108],[ 97.4084507 168.5915493] ; [ 58.5915493 101.4084507],0
n5,1,0.183887,1.76593,[191  73] ; [106  54],[184.9245283  79.0754717] ; [112.0754717  47.9245283],0
b3,1,0.18402,1.764856,[ 40 115] ; [26 50],[ 44.28571429 110.71428571] ; [21.71428571 54.28571429],0
b2,1,0.18402,1.764856,[ 40 115] ; [26 50],[ 44.28571429 110.71428571] ; [21.71428571 54.28571429],0
n3,1,0.204974,1.606577,[46 11] ; [30 13],[43.32 13.68] ; [32.68 10.32],0
s3,1,0.205188,1.605061,[117 145] ; [61 98],[110.77434679 151.22565321] ; [67.22565321 91.77434679],0
s1,1,0.277428,1.179645,[  3 261] ; [  4 154],[  4.37914692 259.62085308] ; [  2.62085308 155.37914692],0
d3,1,0.282753,1.153809,[188  76] ; [106  54],[183.05660377  80.94339623] ; [110.94339623  49.05660377],0
p11,1,0.329198,0.952052,[215  51] ; [123  37],[211.05164319  54.94835681] ; [126.94835681  33.05164319],0
b5,1,0.344645,0.893076,[159 107] ; [103  57],[163.59624413 102.40375587] ; [98.40375587 61.59624413],0
p12,1,0.398072,0.714142,[ 15 251] ; [  6 152],[ 13.1745283 252.8254717] ; [  7.8254717 150.1745283],0
v1,1,0.419454,0.651845,[131 128] ; [73 84],[127.00961538 131.99038462] ; [76.99038462 80.00961538],0
u2,1,0.419914,0.650555,[48 38] ; [33 34],[45.52941176 40.47058824] ; [35.47058824 31.52941176],0
p1,1,0.447542,0.576871,[ 22 243] ; [ 10 149],[ 20. 245.] ; [ 12. 147.],0
p9,1,0.460401,0.544919,[220  44] ; [128  31],[217.19148936  46.80851064] ; [130.80851064  28.19148936],0
d5,1,0.503478,0.447597,[211  54] ; [123  37],[208.25882353  56.74117647] ; [125.74117647  34.25882353],0
s4,1,0.505618,0.443125,[ 42 218] ; [ 22 138],[ 39.61904762 220.38095238] ; [ 24.38095238 135.61904762],0
a4,1,0.50773,0.438743,[113 152] ; [63 97],[109.74117647 155.25882353] ; [66.25882353 93.74117647],0
s2,1,0.517576,0.418721,[ 92 173] ; [ 50 108],[ 88.95981087 176.04018913] ; [ 53.04018913 104.95981087],0
d4,1,0.517887,0.418098,[212  53] ; [123  36],[209.375  55.625] ; [125.625  33.375],0
n4,1,0.526922,0.400324,[197  69] ; [114  46],[194.19248826  71.80751174] ; [116.80751174  43.19248826],0
d1,1,0.531507,0.39151,[138 128] ; [78 82],[134.87323944 131.12676056] ; [81.12676056 78.87323944],0
n1,1,0.531616,0.391302,[15 41] ; [14 29],[16.4040404 39.5959596] ; [12.5959596 30.4040404],0
a8,1,0.570384,0.32204,[ 28 208] ; [ 15 135],[ 26.29015544 209.70984456] ; [ 16.70984456 133.29015544],0
r2,1,0.578124,0.309277,[243  19] ; [146  14],[241.51184834  20.48815166] ; [147.48815166  12.51184834],0
u4,1,0.717783,0.130627,[  1 264] ; [  1 159],[  1.24705882 263.75294118] ; [  0.75294118 159.24705882],0
n2,1,0.77666,0.080471,[42 15] ; [32 10],[42.60606061 14.39393939] ; [31.39393939 10.60606061],0
a7,1,0.777318,0.079985,[195  70] ; [115  44],[193.75  71.25] ; [116.25  42.75],0
r3,1,0.7796,0.078311,[248  15] ; [150   8],[248.63182898  14.36817102] ; [149.36817102   8.63182898],0
a5,1,0.79682,0.066288,[178  88] ; [109  51],[179.20657277  86.79342723] ; [107.79342723  52.20657277],0
a6,1,0.94355,0.005014,[182  84] ; [110  50],[182.3286385  83.6713615] ; [109.6713615  50.3286385],0
u3,1,0.983157,0.000446,[44 43] ; [34 33],[44.06493506 42.93506494] ; [33.93506494 33.06493506],0
