Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4e-06,21.210314,[ 1 17] ; [35 16],[9.39130435 8.60869565] ; [26.60869565 24.39130435],1
a6,1,0.010641,6.524251,[ 7 11] ; [37 14],[11.47826087  6.52173913] ; [32.52173913 18.47826087],0
v2,1,0.0134,6.115455,[ 5 13] ; [28 17],[9.42857143 8.57142857] ; [23.57142857 21.42857143],0
d3,1,0.035874,4.403099,[9 9] ; [39 12],[12.52173913  5.47826087] ; [35.47826087 15.52173913],0
u3,1,0.037193,4.34154,[5 3] ; [17  1],[6.76923077 1.23076923] ; [15.23076923  2.76923077],0
s6,1,0.043827,4.06321,[10  8] ; [40 10],[13.23529412  4.76470588] ; [36.76470588 13.23529412],0
a7,1,0.047268,3.935829,[ 8 10] ; [36 15],[11.47826087  6.52173913] ; [32.52173913 18.47826087],0
a8,1,0.052245,3.767918,[ 4 13] ; [ 3 44],[ 1.859375 15.140625] ; [ 5.140625 41.859375],0
v4,1,0.060416,3.525926,[14  3] ; [49  2],[15.75  1.25] ; [47.25  3.75],0
d2,1,0.060512,3.523284,[ 3 15] ; [21 30],[ 6.26086957 11.73913043] ; [17.73913043 33.26086957],0
d4,1,0.062554,3.468345,[13  5] ; [46  5],[15.39130435  2.60869565] ; [43.60869565  7.39130435],0
r2,1,0.064354,3.42145,[14  3] ; [48  2],[15.73134328  1.26865672] ; [46.26865672  3.73134328],0
r3,1,0.106506,2.605311,[16  2] ; [49  1],[17.20588235  0.79411765] ; [47.79411765  2.20588235],0
p2,1,0.146394,2.109431,[10  8] ; [37 13],[12.44117647  5.55882353] ; [34.55882353 15.44117647],0
s4,1,0.180269,1.795408,[ 3 15] ; [17 34],[ 5.2173913 12.7826087] ; [14.7826087 36.2173913],0
a4,1,0.180269,1.795408,[ 3 15] ; [17 34],[ 5.2173913 12.7826087] ; [14.7826087 36.2173913],0
s8,1,0.19679,1.666037,[ 6 12] ; [26 25],[8.34782609 9.65217391] ; [23.65217391 27.34782609],0
r4,1,0.235524,1.407186,[12  6] ; [41 10],[13.82608696  4.17391304] ; [39.17391304 11.82608696],0
s7,1,0.249313,1.327149,[ 7 10] ; [27 20],[9.03125 7.96875] ; [24.96875 22.03125],0
p10,1,0.267057,1.231803,[11  7] ; [36 12],[12.81818182  5.18181818] ; [34.18181818 13.81818182],0
a5,1,0.271732,1.207983,[9 9] ; [33 18],[10.95652174  7.04347826] ; [31.04347826 19.95652174],0
a2,1,0.27255,1.203867,[ 1 17] ; [ 8 43],[ 2.34782609 15.65217391] ; [ 6.65217391 44.34782609],0
p4,1,0.339888,0.910853,[ 7 11] ; [26 24],[8.73529412 9.26470588] ; [24.26470588 25.73529412],0
u2,1,0.393454,0.728241,[7 1] ; [13  5],[6.15384615 1.84615385] ; [13.84615385  4.15384615],0
s5,1,0.422895,0.642257,[ 4 13] ; [16 31],[ 5.3125 11.6875] ; [14.6875 32.3125],0
b5,1,0.466466,0.530334,[12  6] ; [29 22],[10.69565217  7.30434783] ; [30.30434783 20.69565217],0
v1,1,0.481526,0.495404,[ 8 10] ; [26 22],[9.27272727 8.72727273] ; [24.72727273 23.27272727],0
p9,1,0.498404,0.458333,[12  6] ; [36 12],[13.09090909  4.90909091] ; [34.90909091 13.09090909],0
r1,1,0.552132,0.353512,[12  6] ; [37 13],[12.97058824  5.02941176] ; [36.02941176 13.97058824],0
a3,1,0.59104,0.288723,[10  8] ; [32 19],[10.95652174  7.04347826] ; [31.04347826 19.95652174],0
n3,1,0.612274,0.256877,[4 1] ; [13  6],[3.54166667 1.45833333] ; [13.45833333  5.54166667],0
b4,1,0.614799,0.253246,[9 9] ; [29 22],[9.91304348 8.08695652] ; [28.08695652 22.91304348],0
b3,1,0.649273,0.206818,[2 9] ; [ 7 21],[2.53846154 8.46153846] ; [ 6.46153846 21.53846154],0
b2,1,0.649273,0.206818,[2 9] ; [ 7 21],[2.53846154 8.46153846] ; [ 6.46153846 21.53846154],0
p11,1,0.697724,0.150851,[10  8] ; [31 20],[10.69565217  7.30434783] ; [30.30434783 20.69565217],0
b1,1,0.738323,0.111606,[10  8] ; [26 25],[9.39130435 8.60869565] ; [26.60869565 24.39130435],0
a1,1,0.770092,0.085413,[ 1 17] ; [ 2 49],[ 0.7826087 17.2173913] ; [ 2.2173913 48.7826087],0
p6,1,0.784573,0.074728,[ 5 13] ; [15 33],[ 5.45454545 12.54545455] ; [14.54545455 33.45454545],0
p8,1,0.793969,0.068204,[ 7 11] ; [17 31],[ 6.54545455 11.45454545] ; [17.45454545 30.54545455],0
s1,1,0.795959,0.066864,[ 1 17] ; [ 2 47],[ 0.80597015 17.19402985] ; [ 2.19402985 46.80597015],0
p3,1,0.818111,0.052889,[ 7 11] ; [21 29],[ 7.41176471 10.58823529] ; [20.58823529 29.41176471],0
n2,1,0.82215,0.050526,[4 1] ; [16  3],[4.16666667 0.83333333] ; [15.83333333  3.16666667],0
n5,1,0.857298,0.032333,[ 8 10] ; [21 29],[ 7.67647059 10.32352941] ; [21.32352941 28.67647059],0
n1,1,0.859234,0.031453,[2 3] ; [ 8 10],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
v3,1,0.873361,0.025406,[ 5 13] ; [14 33],[ 5.26153846 12.73846154] ; [13.73846154 33.26153846],0
