Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,18.974888,[11 47] ; [16  7],[19.33333333 38.66666667] ; [ 7.66666667 15.33333333],1
s6,1,1.5e-05,18.729594,[15 43] ; [18  5],[23.62962963 34.37037037] ; [ 9.37037037 13.62962963],1
s3,1,1.9e-05,18.246086,[15 42] ; [18  5],[23.5125 33.4875] ; [ 9.4875 13.5125],1
s8,1,0.000482,12.182962,[ 7 51] ; [11 12],[12.88888889 45.11111111] ; [ 5.11111111 17.88888889],1
s5,1,0.001307,10.33264,[ 8 49] ; [11 12],[13.5375 43.4625] ; [ 5.4625 17.5375],0
p5,1,0.001741,9.804083,[ 1 58] ; [ 5 18],[ 4.31707317 54.68292683] ; [ 1.68292683 21.31707317],0
d1,1,0.00257,9.090009,[13 46] ; [13 10],[18.70731707 40.29268293] ; [ 7.29268293 15.70731707],0
n4,1,0.003634,8.45797,[30 29] ; [19  3],[35.69135802 23.30864198] ; [13.30864198  8.69135802],0
v1,1,0.005631,7.664862,[13 45] ; [12 10],[18.125 39.875] ; [ 6.875 15.125],0
n1,1,0.015629,5.844156,[ 6 18] ; [8 4],[ 9.33333333 14.66666667] ; [4.66666667 7.33333333],0
a4,1,0.023505,5.13081,[15 43] ; [12 11],[19.33333333 38.66666667] ; [ 7.66666667 15.33333333],0
p4,1,0.023505,5.13081,[15 43] ; [12 11],[19.33333333 38.66666667] ; [ 7.66666667 15.33333333],0
a3,1,0.026216,4.941713,[22 36] ; [15  8],[26.49382716 31.50617284] ; [10.50617284 12.49382716],0
a2,1,0.028728,4.783837,[ 2 57] ; [ 4 19],[ 4.31707317 54.68292683] ; [ 1.68292683 21.31707317],0
p9,1,0.031602,4.619979,[16 43] ; [12 11],[20.14634146 38.85365854] ; [ 7.85365854 15.14634146],0
p3,1,0.033221,4.534346,[14 45] ; [11 12],[17.98780488 41.01219512] ; [ 7.01219512 15.98780488],0
s4,1,0.035529,4.419557,[ 5 54] ; [ 6 17],[ 7.91463415 51.08536585] ; [ 3.08536585 19.91463415],0
n5,1,0.042283,4.123857,[28 31] ; [16  6],[32.04938272 26.95061728] ; [11.95061728 10.04938272],0
a5,1,0.045617,3.995668,[24 35] ; [15  8],[28.06097561 30.93902439] ; [10.93902439 12.06097561],0
d5,1,0.052515,3.759291,[27 32] ; [16  7],[30.93902439 28.06097561] ; [12.06097561 10.93902439],0
d4,1,0.057822,3.598792,[30 29] ; [17  6],[33.81707317 25.18292683] ; [13.18292683  9.81707317],0
p6,1,0.065996,3.379907,[ 9 47] ; [ 8 15],[12.05063291 43.94936709] ; [ 4.94936709 18.05063291],0
b2,1,0.094793,2.79103,[ 9 28] ; [8 9],[11.64814815 25.35185185] ; [ 5.35185185 11.64814815],0
b3,1,0.094793,2.79103,[ 9 28] ; [8 9],[11.64814815 25.35185185] ; [ 5.35185185 11.64814815],0
p1,1,0.100759,2.693493,[ 2 57] ; [ 3 20],[ 3.59756098 55.40243902] ; [ 1.40243902 21.59756098],0
u3,1,0.15197,2.052365,[13 24] ; [5 3],[14.8 22.2] ; [3.2 4.8],0
d3,1,0.152667,2.045402,[16 43] ; [10 13],[18.70731707 40.29268293] ; [ 7.29268293 15.70731707],0
d2,1,0.16836,1.897489,[23 35] ; [13 10],[25.77777778 32.22222222] ; [10.22222222 12.77777778],0
u2,1,0.169703,1.885565,[13 23] ; [5 3],[14.72727273 21.27272727] ; [3.27272727 4.72727273],0
p2,1,0.171498,1.869797,[26 33] ; [14  9],[28.7804878 30.2195122] ; [11.2195122 11.7804878],0
r3,1,0.174758,1.841648,[43 16] ; [20  3],[45.32926829 13.67073171] ; [17.67073171  5.32926829],0
v2,1,0.242444,1.366324,[17 40] ; [10 13],[19.2375 37.7625] ; [ 7.7625 15.2375],0
r1,1,0.275042,1.191427,[28 31] ; [14  9],[30.2195122 28.7804878] ; [11.7804878 11.2195122],0
r2,1,0.339517,0.912254,[45 13] ; [20  3],[46.54320988 11.45679012] ; [18.45679012  4.54320988],0
n3,1,0.410854,0.676329,[12 11] ; [8 4],[13.14285714  9.85714286] ; [6.85714286 5.14285714],0
v4,1,0.438662,0.599781,[44 15] ; [19  4],[45.32926829 13.67073171] ; [17.67073171  5.32926829],0
p7,1,0.443258,0.587834,[26 33] ; [ 8 15],[24.46341463 34.53658537] ; [ 9.53658537 13.46341463],0
p8,1,0.450331,0.569819,[13 45] ; [ 7 16],[14.32098765 43.67901235] ; [ 5.67901235 17.32098765],0
u4,1,0.484167,0.489462,[ 1 58] ; [ 1 22],[ 1.43902439 57.56097561] ; [ 0.56097561 22.43902439],0
s1,1,0.539295,0.376847,[ 3 56] ; [ 2 21],[ 3.59756098 55.40243902] ; [ 1.40243902 21.59756098],0
n6,1,0.552552,0.352764,[36 23] ; [15  7],[37.14814815 21.85185185] ; [13.85185185  8.14814815],0
b4,1,0.556597,0.34563,[35 24] ; [12 11],[33.81707317 25.18292683] ; [13.18292683  9.81707317],0
b1,1,0.586674,0.295569,[32 27] ; [14  9],[33.09756098 25.90243902] ; [12.90243902 10.09756098],0
v3,1,0.598837,0.276753,[13 44] ; [ 6 15],[13.88461538 43.11538462] ; [ 5.11538462 15.88461538],0
