Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,62.739014,[220  36] ; [72 74],[185.95024876  70.04975124] ; [106.04975124  39.95024876],1
p11,1,3e-06,21.926792,[230  28] ; [104  43],[212.77037037  45.22962963] ; [121.22962963  25.77037037],1
p6,1,2.6e-05,17.684767,[147 109] ; [52 94],[126.72636816 129.27363184] ; [72.27363184 73.72636816],1
p5,1,7.5e-05,15.675196,[ 55 203] ; [  9 135],[ 41.07462687 216.92537313] ; [ 22.92537313 121.07462687],1
p3,1,0.000367,12.692993,[191  66] ; [84 63],[174.93811881  82.06188119] ; [100.06188119  46.93811881],1
n5,1,0.000578,11.845849,[216  40] ; [102  44],[202.50746269  53.49253731] ; [115.49253731  30.50746269],1
p12,1,0.008127,7.005274,[ 36 222] ; [  8 139],[ 28.02962963 229.97037037] ; [ 15.97037037 131.02962963],0
p2,1,0.008285,6.970757,[243  14] ; [128  19],[236.00742574  20.99257426] ; [134.99257426  12.00742574],0
p10,1,0.014248,6.007112,[229  27] ; [117  28],[220.88778055  35.11221945] ; [125.11221945  19.88778055],0
u1,1,0.017221,5.67373,[ 58 200] ; [49 98],[ 68.16296296 189.83703704] ; [ 38.83703704 108.16296296],0
n2,1,0.019225,5.48093,[30  5] ; [22 14],[25.63380282  9.36619718] ; [26.36619718  9.63380282],0
v1,1,0.020261,5.389291,[163  90] ; [74 67],[152.18527919 100.81472081] ; [84.81472081 56.18527919],0
a2,1,0.020952,5.330803,[ 73 185] ; [58 89],[ 83.45185185 174.54814815] ; [47.54814815 99.45185185],0
v3,1,0.033651,4.512329,[112 136] ; [47 91],[102.15544041 145.84455959] ; [56.84455959 81.15544041],0
b5,1,0.05294,3.745806,[156 102] ; [103  44],[164.99259259  93.00740741] ; [94.00740741 52.99259259],0
d5,1,0.058253,3.586433,[216  42] ; [133  14],[222.32592593  35.67407407] ; [126.67407407  20.32592593],0
p9,1,0.060464,3.524606,[231  26] ; [121  24],[225.03482587  31.96517413] ; [126.96517413  18.03482587],0
a4,1,0.061173,3.505297,[115 142] ; [80 67],[124.0470297 132.9529703] ; [70.9529703 76.0470297],0
n6,1,0.070756,3.265393,[231  23] ; [125  22],[225.49625935  28.50374065] ; [130.50374065  16.49625935],0
p1,1,0.075236,3.164912,[ 34 222] ; [ 11 136],[ 28.58560794 227.41439206] ; [ 16.41439206 130.58560794],0
s2,1,0.085275,2.961383,[134 118] ; [90 55],[142.18639798 109.81360202] ; [81.81360202 63.18639798],0
r1,1,0.122213,2.388723,[223  33] ; [118  27],[217.6957606  38.3042394] ; [123.3042394  21.6957606],0
a1,1,0.134931,2.234839,[ 18 240] ; [  5 142],[ 14.65185185 243.34814815] ; [  8.34814815 138.65185185],0
v4,1,0.20935,1.575917,[250   5] ; [141   6],[248.02238806   6.97761194] ; [142.97761194   4.02238806],0
d2,1,0.211396,1.561842,[130 128] ; [83 63],[136.02475248 121.97524752] ; [76.97524752 69.02475248],0
a6,1,0.218239,1.515913,[199  59] ; [121  26],[203.85185185  54.14814815] ; [116.14814815  30.85185185],0
s1,1,0.263304,1.251304,[  7 250] ; [  7 137],[  8.97256858 248.02743142] ; [  5.02743142 138.97256858],0
n4,1,0.271167,1.210836,[213  45] ; [114  32],[208.82673267  49.17326733] ; [118.17326733  27.82673267],0
r3,1,0.30458,1.054032,[245  10] ; [144   3],[246.75373134   8.24626866] ; [142.24626866   4.75373134],0
r2,1,0.351052,0.86965,[246   9] ; [138   8],[244.18952618  10.81047382] ; [139.81047382   6.18952618],0
n1,1,0.360255,0.837005,[14 21] ; [11 26],[12.15277778 22.84722222] ; [12.84722222 24.15277778],0
d4,1,0.384448,0.756431,[224  34] ; [123  24],[221.05185185  36.94814815] ; [125.94814815  21.05185185],0
b3,1,0.402808,0.699928,[ 56 105] ; [38 57],[ 59.1171875 101.8828125] ; [34.8828125 60.1171875],0
b2,1,0.402808,0.699928,[ 56 105] ; [38 57],[ 59.1171875 101.8828125] ; [34.8828125 60.1171875],0
a5,1,0.481036,0.496514,[211  47] ; [116  31],[208.31111111  49.68888889] ; [118.68888889  28.31111111],0
v2,1,0.484544,0.488619,[155  96] ; [82 59],[151.75255102  99.24744898] ; [85.24744898 55.75255102],0
n3,1,0.496076,0.46332,[25 10] ; [29  8],[26.25  8.75] ; [27.75  9.25],0
s5,1,0.535452,0.384035,[ 92 154] ; [49 94],[ 89.16709512 156.83290488] ; [51.83290488 91.16709512],0
s4,1,0.549426,0.358347,[ 41 211] ; [ 27 118],[ 43.16372796 208.83627204] ; [ 24.83627204 120.16372796],0
b1,1,0.655569,0.198951,[ 97 161] ; [52 95],[ 94.91851852 163.08148148] ; [54.08148148 92.91851852],0
s3,1,0.656595,0.197687,[144 108] ; [85 58],[146.09620253 105.90379747] ; [82.90379747 60.09620253],0
d3,1,0.67481,0.176027,[208  50] ; [121  26],[209.58518519  48.41481481] ; [119.41481481  27.58518519],0
s8,1,0.675495,0.175242,[123 131] ; [68 79],[120.98254364 133.01745636] ; [70.01745636 76.98254364],0
d1,1,0.732357,0.116958,[173  85] ; [101  46],[174.54814815  83.45185185] ; [99.45185185 47.54814815],0
a8,1,0.745813,0.105083,[ 31 195] ; [ 16 112],[ 30.00564972 195.99435028] ; [ 16.99435028 111.00564972],0
s6,1,0.781375,0.077022,[181  68] ; [108  38],[182.17974684  66.82025316] ; [106.82025316  39.17974684],0
u4,1,0.809919,0.057855,[  6 251] ; [  4 143],[  6.36138614 250.63861386] ; [  3.63861386 143.36138614],0
a3,1,0.820762,0.051331,[188  69] ; [106  41],[187.02475248  69.97524752] ; [106.97524752  40.02475248],0
s7,1,0.861176,0.030582,[130 110] ; [74 65],[129.18205805 110.81794195] ; [74.81794195 64.18205805],0
u2,1,0.882573,0.021818,[43 27] ; [24 16],[42.63636364 27.36363636] ; [24.36363636 15.63636364],0
u3,1,0.900992,0.015477,[45 23] ; [26 14],[44.7037037 23.2962963] ; [26.2962963 13.7037037],0
b4,1,0.966349,0.00178,[155 103] ; [88 59],[154.8 103.2] ; [88.2 58.8],0
r4,1,0.974626,0.001012,[242  16] ; [138   9],[242.07407407  15.92592593] ; [137.92592593   9.07407407],0
