Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4.4e-05,16.681985,[27  7] ; [ 3 13],[20.4 13.6] ; [9.6 6.4],1
r3,1,0.001033,10.766607,[24 10] ; [ 3 12],[18.73469388 15.26530612] ; [8.26530612 6.73469388],0
d1,1,0.001509,10.067537,[18 16] ; [ 1 15],[12.92 21.08] ; [6.08 9.92],0
n5,1,0.006471,7.414216,[16 18] ; [14  2],[20.4 13.6] ; [9.6 6.4],0
d2,1,0.010396,6.565736,[19 14] ; [ 3 13],[14.81632653 18.18367347] ; [7.18367347 8.81632653],0
a1,1,0.015888,5.815175,[ 2 32] ; [ 5 11],[ 4.76 29.24] ; [ 2.24 13.76],0
d3,1,0.017557,5.639808,[16 18] ; [ 2 14],[12.24 21.76] ; [ 5.76 10.24],0
s3,1,0.023048,5.164898,[15 18] ; [ 2 14],[11.44897959 21.55102041] ; [ 5.55102041 10.44897959],0
b4,1,0.040718,4.18773,[25  9] ; [7 9],[21.76 12.24] ; [10.24  5.76],0
a3,1,0.042831,4.102043,[24 10] ; [6 9],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
r4,1,0.0438,4.064274,[11 23] ; [ 1 15],[ 8.16 25.84] ; [ 3.84 12.16],0
v2,1,0.053974,3.713518,[11 23] ; [ 1 14],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],0
p11,1,0.063356,3.447288,[18 16] ; [ 4 12],[14.96 19.04] ; [7.04 8.96],0
p10,1,0.106529,2.604965,[15 19] ; [ 3 12],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
p1,1,0.12411,2.364667,[ 3 31] ; [ 4 12],[ 4.76 29.24] ; [ 2.24 13.76],0
r1,1,0.137485,2.205882,[16 18] ; [ 4 12],[13.6 20.4] ; [6.4 9.6],0
p7,1,0.13793,2.200901,[ 8 26] ; [ 1 15],[ 6.12 27.88] ; [ 2.88 13.12],0
s7,1,0.141019,2.166801,[10 21] ; [ 2 14],[ 7.91489362 23.08510638] ; [ 4.08510638 11.91489362],0
a5,1,0.151127,2.060836,[18 16] ; [ 5 11],[15.64 18.36] ; [7.36 8.64],0
n6,1,0.181082,1.788724,[17 16] ; [ 5 11],[14.81632653 18.18367347] ; [7.18367347 8.81632653],0
a8,1,0.197029,1.664259,[ 7 27] ; [ 1 15],[ 5.44 28.56] ; [ 2.56 13.44],0
a4,1,0.209652,1.57383,[12 21] ; [ 3 13],[10.10204082 22.89795918] ; [ 4.89795918 11.10204082],0
n3,1,0.292053,1.110135,[7 5] ; [4 7],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
s4,1,0.313659,1.015207,[ 3 31] ; [ 3 13],[ 4.08 29.92] ; [ 1.92 14.08],0
b2,1,0.31702,1.001202,[11 15] ; [5 3],[12.23529412 13.76470588] ; [3.76470588 4.23529412],0
b3,1,0.31702,1.001202,[11 15] ; [5 3],[12.23529412 13.76470588] ; [3.76470588 4.23529412],0
s6,1,0.338869,0.914705,[ 8 25] ; [ 2 14],[ 6.73469388 26.26530612] ; [ 3.26530612 12.73469388],0
s2,1,0.363082,0.827206,[ 8 26] ; [ 2 14],[ 6.8 27.2] ; [ 3.2 12.8],0
n2,1,0.391741,0.733532,[7 6] ; [4 7],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
p9,1,0.429795,0.623377,[15 18] ; [ 5 10],[13.75 19.25] ; [6.25 8.75],0
n4,1,0.466672,0.529844,[22 12] ; [12  4],[23.12 10.88] ; [10.88  5.12],0
a6,1,0.525309,0.403457,[16 18] ; [ 6 10],[14.96 19.04] ; [7.04 8.96],0
u3,1,0.531168,0.392157,[2 8] ; [1 9],[1.5 8.5] ; [1.5 8.5],0
a7,1,0.54429,0.367647,[18 16] ; [7 9],[17. 17.] ; [8. 8.],0
p2,1,0.596628,0.280112,[11 23] ; [ 4 12],[10.2 23.8] ; [ 4.8 11.2],0
b5,1,0.6583,0.195595,[15 19] ; [ 6 10],[14.28 19.72] ; [6.72 9.28],0
a2,1,0.686047,0.163399,[ 3 31] ; [ 2 14],[ 3.4 30.6] ; [ 1.6 14.4],0
s1,1,0.686047,0.163399,[ 3 31] ; [ 2 14],[ 3.4 30.6] ; [ 1.6 14.4],0
b1,1,0.697051,0.151558,[19 15] ; [8 8],[18.36 15.64] ; [8.64 7.36],0
p6,1,0.799389,0.064586,[ 3 31] ; [ 1 14],[ 2.7755102 31.2244898] ; [ 1.2244898 13.7755102],0
p8,1,0.803566,0.061869,[ 5 28] ; [ 2 14],[ 4.71428571 28.28571429] ; [ 2.28571429 13.71428571],0
r2,1,0.9051,0.014214,[18 13] ; [9 7],[17.80851064 13.19148936] ; [9.19148936 6.80851064],0
v3,1,0.924558,0.008967,[ 6 28] ; [ 3 13],[ 6.12 27.88] ; [ 2.88 13.12],0
v1,1,0.953884,0.003344,[ 8 25] ; [ 4 12],[ 8.08163265 24.91836735] ; [ 3.91836735 12.08163265],0
n1,1,0.972671,0.001174,[6 7] ; [5 6],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
