Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,75.209127,[130   3] ; [31 36],[107.065  25.935] ; [53.935 13.065],1
d2,1,0.0,65.298128,[93 41] ; [ 6 61],[66. 68.] ; [33. 34.],1
d4,1,0.0,63.213785,[132   1] ; [38 29],[113.05  19.95] ; [56.95 10.05],1
d3,1,0.0,59.978317,[122  12] ; [27 40],[99.33333333 34.66666667] ; [49.66666667 17.33333333],1
a2,1,0.000126,14.702523,[43 92] ; [ 5 62],[ 32.07920792 102.92079208] ; [15.92079208 51.07920792],1
a5,1,0.000209,13.749136,[117  18] ; [43 24],[106.93069307  28.06930693] ; [53.06930693 13.93069307],1
a4,1,0.000217,13.679111,[75 59] ; [19 48],[62.66666667 71.33333333] ; [31.33333333 35.66666667],1
a3,1,0.000841,11.14743,[110  23] ; [41 26],[100.415  32.585] ; [50.585 16.415],1
p2,1,0.001563,10.003386,[129   6] ; [55 12],[122.97029703  12.02970297] ; [61.02970297  5.97029703],0
u1,1,0.001832,9.710835,[ 29 106] ; [ 3 64],[ 21.38613861 113.61386139] ; [10.61386139 56.38613861],0
s8,1,0.010348,6.573999,[83 47] ; [30 37],[74.56852792 55.43147208] ; [38.43147208 28.56852792],0
v1,1,0.016675,5.730247,[106  29] ; [42 25],[98.91089109 36.08910891] ; [49.08910891 17.91089109],0
a1,1,0.017159,5.680001,[ 15 120] ; [ 1 66],[ 10.69306931 124.30693069] ; [ 5.30693069 61.69306931],0
p10,1,0.027414,4.864566,[125   9] ; [55 11],[120.6  13.4] ; [59.4  6.6],0
p9,1,0.032891,4.551446,[126   8] ; [56 10],[121.94  12.06] ; [60.06  5.94],0
p11,1,0.033837,4.502912,[120  15] ; [52 15],[114.95049505  20.04950495] ; [57.04950495  9.95049505],0
a6,1,0.051678,3.786149,[92 41] ; [37 30],[85.785 47.215] ; [43.215 23.785],0
v4,1,0.080522,3.054335,[131   2] ; [63  4],[129.01   3.99] ; [64.99  2.01],0
p4,1,0.082993,3.0053,[109  24] ; [47 19],[104.26130653  28.73869347] ; [51.73869347 14.26130653],0
u3,1,0.089429,2.884615,[16  9] ; [10 15],[13. 12.] ; [13. 12.],0
n6,1,0.103192,2.655511,[122  10] ; [57 10],[118.73366834  13.26633166] ; [60.26633166  6.73366834],0
n3,1,0.107184,2.595262,[13  8] ; [9 1],[14.90322581  6.09677419] ; [7.09677419 2.90322581],0
n4,1,0.137139,2.209766,[119  16] ; [53 13],[115.52238806  19.47761194] ; [56.47761194  9.52238806],0
