Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,36.463214,[359 145] ; [27 48],[336. 168.] ; [50. 25.],1
p8,1,0.0,31.083715,[316 182] ; [23 54],[293.60347826 204.39652174] ; [45.39652174 31.60347826],1
p7,1,1e-06,23.583292,[357 138] ; [32 41],[339.00528169 155.99471831] ; [49.99471831 23.00528169],1
d5,1,9.2e-05,15.304447,[425  79] ; [50 26],[412.75862069  91.24137931] ; [62.24137931 13.75862069],1
p9,1,0.000746,11.370649,[484  20] ; [66 10],[477.93103448  26.06896552] ; [72.06896552  3.93103448],1
p6,1,0.001173,10.532627,[217 284] ; [18 58],[204.04679376 296.95320624] ; [30.95320624 45.04679376],0
d4,1,0.002213,9.363682,[424  80] ; [53 23],[414.49655172  89.50344828] ; [62.50344828 13.49655172],0
v1,1,0.00473,7.979735,[310 181] ; [34 40],[298.94513274 192.05486726] ; [45.05486726 28.94513274],0
r1,1,0.007545,7.138479,[417  86] ; [54 23],[408.47068966  94.52931034] ; [62.52931034 14.47068966],0
p3,1,0.010544,6.540513,[291 213] ; [32 44],[280.67586207 223.32413793] ; [42.32413793 33.67586207],0
r4,1,0.01873,5.52659,[467  38] ; [65 12],[461.61512027  43.38487973] ; [70.38487973  6.61512027],0
s6,1,0.02203,5.243444,[356 135] ; [46 31],[347.50352113 143.49647887] ; [54.49647887 22.50352113],0
n4,1,0.025703,4.975891,[456  49] ; [63 14],[450.33505155  54.66494845] ; [68.66494845  8.33505155],0
r3,1,0.027241,4.87546,[483  18] ; [70  7],[479.33044983  21.66955017] ; [73.66955017  3.33044983],0
s1,1,0.028608,4.791029,[ 11 488] ; [ 5 70],[ 13.90940767 485.09059233] ; [ 2.09059233 72.90940767],0
b1,1,0.035459,4.422939,[186 319] ; [38 39],[194.36426117 310.63573883] ; [29.63573883 47.36426117],0
d3,1,0.036976,4.351539,[352 152] ; [44 32],[344.11034483 159.88965517] ; [51.88965517 24.11034483],0
n6,1,0.059895,3.540299,[468  35] ; [66 10],[463.90673575  39.09326425] ; [70.09326425  5.90673575],0
n2,1,0.073952,3.193043,[68 17] ; [22  1],[70.83333333 14.16666667] ; [19.16666667  3.83333333],0
a3,1,0.081543,3.033877,[380 123] ; [51 26],[373.78103448 129.21896552] ; [57.21896552 19.78103448],0
v4,1,0.084655,2.973178,[484  18] ; [71  6],[481.19170984  20.80829016] ; [73.80829016  3.19170984],0
r2,1,0.085627,2.954715,[477  23] ; [68  7],[473.91304348  26.08695652] ; [71.08695652  3.91304348],0
p11,1,0.092803,2.825075,[442  63] ; [62 15],[437.31958763  67.68041237] ; [66.68041237 10.31958763],0
d1,1,0.143629,2.138642,[313 192] ; [41 36],[307.16494845 197.83505155] ; [46.83505155 30.16494845],0
a1,1,0.157903,1.994199,[ 21 484] ; [ 6 71],[ 23.42783505 481.57216495] ; [ 3.57216495 73.42783505],0
s5,1,0.173526,1.852212,[187 300] ; [22 51],[181.75535714 305.24464286] ; [27.24464286 45.75535714],0
s7,1,0.264887,1.243036,[267 213] ; [35 37],[262.60869565 217.39130435] ; [39.39130435 32.60869565],0
p1,1,0.282401,1.1555,[ 46 459] ; [10 67],[ 48.59106529 456.40893471] ; [ 7.40893471 69.59106529],0
p5,1,0.310987,1.026478,[ 77 427] ; [ 8 66],[ 74.11764706 429.88235294] ; [10.88235294 63.11764706],0
a2,1,0.331554,0.942821,[131 374] ; [16 61],[127.55154639 377.44845361] ; [19.44845361 57.55154639],0
u1,1,0.342008,0.90289,[102 403] ; [12 65],[ 98.91752577 406.08247423] ; [15.08247423 61.91752577],0
p12,1,0.380294,0.769751,[ 49 454] ; [10 67],[ 51.16724138 451.83275862] ; [ 7.83275862 69.16724138],0
a5,1,0.407135,0.687151,[389 116] ; [56 21],[386.12542955 118.87457045] ; [58.87457045 18.12542955],0
b4,1,0.428107,0.627954,[284 221] ; [47 30],[287.20790378 217.79209622] ; [43.79209622 33.20790378],0
n1,1,0.456215,0.555165,[35 50] ; [11 11],[36.54205607 48.45794393] ; [ 9.45794393 12.54205607],0
s2,1,0.484233,0.489315,[278 222] ; [39 37],[275.17361111 224.82638889] ; [41.82638889 34.17361111],0
a8,1,0.507422,0.439379,[ 72 386] ; [ 9 62],[ 70.12854442 387.87145558] ; [10.87145558 60.12854442],0
v3,1,0.520622,0.41266,[220 270] ; [29 42],[217.48663102 272.51336898] ; [31.51336898 39.48663102],0
n3,1,0.532868,0.388919,[61 24] ; [18  5],[62.17592593 22.82407407] ; [16.82407407  6.17592593],0
a7,1,0.562831,0.334827,[363 141] ; [53 24],[360.86746988 143.13253012] ; [55.13253012 21.86746988],0
u3,1,0.575831,0.313023,[70 55] ; [13 13],[68.70860927 56.29139073] ; [14.29139073 11.70860927],0
a6,1,0.603974,0.269043,[353 151] ; [51 25],[351.06206897 152.93793103] ; [52.93793103 23.06206897],0
a4,1,0.685452,0.164053,[235 269] ; [34 43],[233.34939759 270.65060241] ; [35.65060241 41.34939759],0
s8,1,0.731378,0.117851,[247 255] ; [39 37],[248.39446367 253.60553633] ; [37.60553633 38.39446367],0
s3,1,0.794971,0.067528,[294 205] ; [43 32],[292.96689895 206.03310105] ; [44.03310105 30.96689895],0
u2,1,0.81597,0.054164,[69 56] ; [15 11],[69.53642384 55.46357616] ; [14.46357616 11.53642384],0
s4,1,0.818548,0.05263,[ 80 418] ; [13 63],[ 80.68641115 417.31358885] ; [12.31358885 63.68641115],0
u4,1,0.818675,0.052555,[ 11 493] ; [ 2 75],[ 11.27710843 492.72289157] ; [ 1.72289157 75.27710843],0
b2,1,0.83225,0.044866,[124 180] ; [20 31],[123.31267606 180.68732394] ; [20.68732394 30.31267606],0
b3,1,0.83225,0.044866,[124 180] ; [20 31],[123.31267606 180.68732394] ; [20.68732394 30.31267606],0
v2,1,0.896533,0.016911,[291 196] ; [43 28],[291.50179211 195.49820789] ; [42.49820789 28.50179211],0
d2,1,0.939682,0.005726,[251 253] ; [37 38],[250.69430052 253.30569948] ; [37.30569948 37.69430052],0
b5,1,0.996597,1.8e-05,[295 210] ; [45 32],[295.01718213 209.98281787] ; [44.98281787 32.01718213],0
