Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-05,15.34508,[ 3 14] ; [43 18],[10.02564103  6.97435897] ; [35.97435897 25.02564103],1
p1,1,0.003243,8.665532,[ 5 12] ; [ 3 58],[ 1.74358974 15.25641026] ; [ 6.25641026 54.74358974],0
d5,1,0.003557,8.497184,[8 9] ; [50 11],[12.64102564  4.35897436] ; [45.35897436 15.64102564],0
s1,1,0.009976,6.63919,[ 5 12] ; [ 4 56],[ 1.98701299 15.01298701] ; [ 7.01298701 52.98701299],0
a4,1,0.025605,4.982517,[ 4 13] ; [33 28],[8.06410256 8.93589744] ; [28.93589744 32.06410256],0
d2,1,0.041348,4.161676,[ 5 12] ; [35 26],[8.71794872 8.28205128] ; [31.28205128 29.71794872],0
b2,1,0.095428,2.780331,[1 9] ; [15 25],[3.2 6.8] ; [12.8 27.2],0
b3,1,0.095428,2.780331,[1 9] ; [15 25],[3.2 6.8] ; [12.8 27.2],0
a3,1,0.099858,2.707811,[9 8] ; [45 16],[11.76923077  5.23076923] ; [42.23076923 18.76923077],0
a5,1,0.133783,2.248051,[9 8] ; [44 17],[11.55128205  5.44871795] ; [41.44871795 19.55128205],0
a2,1,0.142658,2.149056,[ 1 16] ; [13 48],[ 3.05128205 13.94871795] ; [10.94871795 50.05128205],0
u2,1,0.143235,2.142857,[3 5] ; [11  5],[4.66666667 3.33333333] ; [9.33333333 6.66666667],0
p5,1,0.186438,1.74554,[ 2 15] ; [ 2 55],[ 0.91891892 16.08108108] ; [ 3.08108108 53.91891892],0
n5,1,0.187886,1.734119,[13  4] ; [36 25],[10.67948718  6.32051282] ; [38.32051282 22.67948718],0
p7,1,0.215502,1.534073,[9 7] ; [23 36],[6.82666667 9.17333333] ; [25.17333333 33.82666667],0
p11,1,0.229328,1.445025,[13  4] ; [37 24],[10.8974359  6.1025641] ; [39.1025641 21.8974359],0
a7,1,0.258715,1.275623,[8 9] ; [38 23],[10.02564103  6.97435897] ; [35.97435897 25.02564103],0
b1,1,0.287661,1.130535,[10  7] ; [27 34],[8.06410256 8.93589744] ; [28.93589744 32.06410256],0
p8,1,0.302674,1.062375,[ 6 11] ; [14 47],[ 4.35897436 12.64102564] ; [15.64102564 45.35897436],0
r3,1,0.308096,1.038819,[15  2] ; [58  3],[15.91025641  1.08974359] ; [57.08974359  3.91025641],0
