Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,91.403039,[ 49 125] ; [261 103],[100.26022305  73.73977695] ; [209.73977695 154.26022305],1
p6,1,0.0,77.070679,[ 23 150] ; [195 173],[ 69.7116451 103.2883549] ; [148.2883549 219.7116451],1
p4,1,0.0,36.706633,[84 90] ; [274  93],[115.14232902  58.85767098] ; [242.85767098 124.14232902],1
p2,1,0.0,36.179827,[126  49] ; [337  31],[149.21731123  25.78268877] ; [313.78268877  54.21731123],1
p3,1,0.0,31.88515,[ 64 110] ; [230 137],[94.55822551 79.44177449] ; [199.44177449 167.55822551],1
r3,1,3.3e-05,17.229085,[158  16] ; [360   6],[166.91111111   7.08888889] ; [351.08888889  14.91111111],1
p10,1,7e-05,15.812984,[132  41] ; [327  39],[147.32282004  25.67717996] ; [311.67717996  54.32282004],1
s5,1,0.000113,14.899471,[ 43 125] ; [155 205],[ 63. 105.] ; [135. 225.],1
p9,1,0.000267,13.291446,[136  37] ; [329  36],[149.5260223  23.4739777] ; [315.4739777  49.5260223],1
v1,1,0.000327,12.909576,[82 88] ; [234 128],[100.97744361  69.02255639] ; [215.02255639 146.97744361],1
p11,1,0.000466,12.245239,[128  47] ; [315  53],[142.77163904  32.22836096] ; [300.22836096  67.77163904],1
r4,1,0.002999,8.808153,[162  13] ; [360   8],[168.2320442   6.7679558] ; [353.7679558  14.2320442],0
s1,1,0.003211,8.68336,[ 12 160] ; [  7 356],[  6.10841121 165.89158879] ; [ 12.89158879 350.10841121],0
s7,1,0.004391,8.114812,[76 90] ; [207 143],[91.04263566 74.95736434] ; [191.95736434 158.04263566],0
p5,1,0.005479,7.713977,[ 14 160] ; [ 62 304],[ 24.48888889 149.51111111] ; [ 51.51111111 314.48888889],0
v2,1,0.0057,7.642923,[85 83] ; [226 131],[99.52 68.48] ; [211.48 145.52],0
a8,1,0.00659,7.381509,[ 16 141] ; [ 66 263],[ 26.48971193 130.51028807] ; [ 55.51028807 273.48971193],0
s8,1,0.013756,6.069175,[ 73 100] ; [195 169],[86.33891993 86.66108007] ; [181.66108007 182.33891993],0
v4,1,0.017736,5.622065,[165  10] ; [359   7],[169.50092421   5.49907579] ; [354.49907579  11.50092421],0
d5,1,0.019504,5.455769,[136  39] ; [313  52],[145.50925926  29.49074074] ; [303.49074074  61.50925926],0
s2,1,0.051647,3.787155,[82 87] ; [210 155],[92.41198502 76.58801498] ; [199.58801498 165.41198502],0
b4,1,0.054596,3.694369,[109  66] ; [197 171],[98.61878453 76.38121547] ; [207.38121547 160.61878453],0
s6,1,0.057846,3.598086,[115  58] ; [267  92],[124.22180451  48.77819549] ; [257.77819549 101.22180451],0
v3,1,0.060415,3.525959,[ 66 102] ; [171 185],[75.98473282 92.01526718] ; [161.01526718 194.98473282],0
s3,1,0.061458,3.497589,[90 79] ; [225 139],[99.87804878 69.12195122] ; [215.12195122 148.87804878],0
d4,1,0.103239,2.654777,[139  35] ; [311  53],[145.53903346  28.46096654] ; [304.46096654  59.53903346],0
b2,1,0.203573,1.616554,[39 70] ; [ 99 131],[44.37168142 64.62831858] ; [ 93.62831858 136.37168142],0
b3,1,0.203573,1.616554,[39 70] ; [ 99 131],[44.37168142 64.62831858] ; [ 93.62831858 136.37168142],0
n3,1,0.214686,1.539539,[33 19] ; [41 14],[35.96261682 16.03738318] ; [38.03738318 16.96261682],0
n2,1,0.221209,1.496513,[40 14] ; [46  9],[42.60550459 11.39449541] ; [43.39449541 11.60550459],0
b5,1,0.244645,1.353628,[110  65] ; [212 156],[103.77532228  71.22467772] ; [218.22467772 149.77532228],0
a3,1,0.255645,1.292191,[125  48] ; [281  85],[130.31168831  42.68831169] ; [275.68831169  90.31168831],0
s4,1,0.302764,1.061981,[ 22 149] ; [ 59 303],[ 25.98686679 145.01313321] ; [ 55.01313321 306.98686679],0
r2,1,0.322306,0.979565,[168   7] ; [357   9],[169.82439926   5.17560074] ; [355.17560074  10.82439926],0
d1,1,0.387096,0.748046,[106  69] ; [237 131],[110.54327808  64.45672192] ; [232.45672192 135.54327808],0
n1,1,0.387179,0.747782,[26 27] ; [22 32],[23.77570093 29.22429907] ; [24.22429907 29.77570093],0
u1,1,0.46532,0.533067,[ 36 139] ; [ 86 282],[ 39.31860037 135.68139963] ; [ 82.68139963 285.31860037],0
p12,1,0.501743,0.451248,[ 20 155] ; [ 35 331],[ 17.79112754 157.20887246] ; [ 37.20887246 328.79112754],0
u4,1,0.513674,0.426576,[  6 169] ; [  9 359],[  4.83425414 170.16574586] ; [ 10.16574586 357.83425414],0
a1,1,0.553042,0.351895,[  7 168] ; [ 19 349],[  8.37937385 166.62062615] ; [ 17.62062615 350.37937385],0
a5,1,0.608603,0.262215,[135  40] ; [291  77],[137.29281768  37.70718232] ; [288.70718232  79.29281768],0
a6,1,0.615945,0.251607,[125  50] ; [253 112],[122.5  52.5] ; [255.5 109.5],0
d2,1,0.6784,0.171932,[95 78] ; [194 172],[92.75881262 80.24118738] ; [196.24118738 169.75881262],0
n6,1,0.697642,0.150936,[158  16] ; [336  30],[159.17777778  14.82222222] ; [334.82222222  31.17777778],0
n4,1,0.776158,0.080843,[157  18] ; [333  35],[157.91896869  17.08103131] ; [332.08103131  35.91896869],0
a7,1,0.784311,0.074915,[129  45] ; [268  99],[127.6857671  46.3142329] ; [269.3142329  97.6857671],0
a4,1,0.802854,0.062328,[85 89] ; [183 183],[86.35555556 87.64444444] ; [181.64444444 184.35555556],0
u3,1,0.810814,0.057301,[30 20] ; [54 33],[30.65693431 19.34306569] ; [53.34306569 33.65693431],0
b1,1,0.818943,0.052397,[ 70 105] ; [151 217],[ 71.22467772 103.77532228] ; [149.77532228 218.22467772],0
a2,1,0.84621,0.037619,[ 49 126] ; [106 262],[ 49.95395948 125.04604052] ; [105.04604052 262.95395948],0
d3,1,0.857092,0.032428,[123  52] ; [260 106],[123.8909427  51.1090573] ; [259.1090573 106.8909427],0
