Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.030303,[26 35] ; [52  9],[39. 22.] ; [39. 22.],1
s2,1,4e-06,21.316746,[12 49] ; [37 24],[24.5 36.5] ; [24.5 36.5],1
s7,1,4.4e-05,16.701926,[ 9 50] ; [29 28],[19.32758621 39.67241379] ; [18.67241379 38.32758621],1
r3,1,7.4e-05,15.701341,[35 25] ; [54  6],[44.5 15.5] ; [44.5 15.5],1
s5,1,8e-05,15.561761,[ 4 55] ; [22 38],[12.8907563 46.1092437] ; [13.1092437 46.8907563],1
s8,1,0.000106,15.018237,[ 5 56] ; [23 38],[14. 47.] ; [14. 47.],1
r1,1,0.000213,13.714286,[25 35] ; [45 15],[35. 25.] ; [35. 25.],1
n6,1,0.000459,12.275632,[26 33] ; [46 15],[35.4 23.6] ; [36.6 24.4],1
v2,1,0.000834,11.163503,[11 47] ; [28 30],[19.5 38.5] ; [19.5 38.5],1
a7,1,0.00088,11.063882,[27 32] ; [46 15],[35.89166667 23.10833333] ; [37.10833333 23.89166667],1
v1,1,0.001945,9.600787,[15 45] ; [32 29],[23.30578512 36.69421488] ; [23.69421488 37.30578512],0
v4,1,0.002156,9.411733,[39 21] ; [54  7],[46.11570248 13.88429752] ; [46.88429752 14.11570248],0
r2,1,0.002242,9.3402,[42 18] ; [56  5],[48.59504132 11.40495868] ; [49.40495868 11.59504132],0
s3,1,0.003204,8.687783,[18 42] ; [34 26],[26. 34.] ; [26. 34.],0
p4,1,0.0041,8.238992,[16 45] ; [31 29],[23.69421488 37.30578512] ; [23.30578512 36.69421488],0
p7,1,0.004468,8.083077,[20 40] ; [35 24],[27.73109244 32.26890756] ; [27.26890756 31.73109244],0
d5,1,0.008394,6.947401,[23 37] ; [38 23],[30.24793388 29.75206612] ; [30.75206612 30.24793388],0
p9,1,0.015637,5.843219,[24 34] ; [37 21],[30.5 27.5] ; [30.5 27.5],0
u3,1,0.01783,5.612727,[10 23] ; [18 12],[14.66666667 18.33333333] ; [13.33333333 16.66666667],0
a5,1,0.018513,5.546946,[23 38] ; [36 25],[29.5 31.5] ; [29.5 31.5],0
p10,1,0.026249,4.939535,[20 39] ; [31 26],[25.93965517 33.06034483] ; [25.06034483 31.93965517],0
p2,1,0.042206,4.126922,[31 30] ; [42 19],[36.5 24.5] ; [36.5 24.5],0
p3,1,0.043457,4.07754,[12 49] ; [22 39],[17. 44.] ; [17. 44.],0
d4,1,0.046277,3.971482,[26 35] ; [37 24],[31.5 29.5] ; [31.5 29.5],0
a8,1,0.052442,3.761616,[ 4 53] ; [11 46],[ 7.5 49.5] ; [ 7.5 49.5],0
v3,1,0.059749,3.544349,[13 44] ; [23 36],[17.68965517 39.31034483] ; [18.31034483 40.68965517],0
a1,1,0.083315,2.999017,[ 7 54] ; [ 2 59],[ 4.5 56.5] ; [ 4.5 56.5],0
p1,1,0.083315,2.999017,[ 2 59] ; [ 7 54],[ 4.5 56.5] ; [ 4.5 56.5],0
n5,1,0.086643,2.935669,[34 26] ; [43 17],[38.5 21.5] ; [38.5 21.5],0
d3,1,0.114758,2.487442,[17 42] ; [26 35],[21.14166667 37.85833333] ; [21.85833333 39.14166667],0
n3,1,0.130826,2.282673,[ 8 10] ; [15  7],[10.35  7.65] ; [12.65  9.35],0
b3,1,0.199775,1.644017,[13 20] ; [ 7 22],[10.64516129 22.35483871] ; [ 9.35483871 19.64516129],0
b2,1,0.199775,1.644017,[13 20] ; [ 7 22],[10.64516129 22.35483871] ; [ 9.35483871 19.64516129],0
s1,1,0.205394,1.603599,[ 7 53] ; [ 3 55],[ 5.08474576 54.91525424] ; [ 4.91525424 53.08474576],0
n2,1,0.22654,1.462455,[12  8] ; [17  5],[13.80952381  6.19047619] ; [15.19047619  6.80952381],0
s4,1,0.230463,1.438001,[ 8 53] ; [13 48],[10.5 50.5] ; [10.5 50.5],0
p8,1,0.262837,1.253754,[12 48] ; [17 42],[14.62184874 45.37815126] ; [14.37815126 44.62184874],0
n4,1,0.353091,0.862317,[33 27] ; [38 22],[35.5 24.5] ; [35.5 24.5],0
a4,1,0.471509,0.518438,[11 50] ; [14 46],[12.60330579 48.39669421] ; [12.39669421 47.60330579],0
d2,1,0.487421,0.482213,[13 48] ; [10 51],[11.5 49.5] ; [11.5 49.5],0
u2,1,0.497847,0.459524,[12 21] ; [13 16],[13.30645161 19.69354839] ; [11.69354839 17.30645161],0
b1,1,0.714253,0.134066,[34 27] ; [36 25],[35. 26.] ; [35. 26.],0
a6,1,0.716917,0.131466,[30 31] ; [28 33],[29. 32.] ; [29. 32.],0
b5,1,0.85348,0.034107,[36 25] ; [37 24],[36.5 24.5] ; [36.5 24.5],0
n1,1,0.910434,0.012654,[ 7 13] ; [ 7 14],[ 6.82926829 13.17073171] ; [ 7.17073171 13.82926829],0
a3,1,0.923831,0.009141,[28 31] ; [29 31],[28.2605042 30.7394958] ; [28.7394958 31.2605042],0
p6,1,0.965177,0.001906,[11 49] ; [11 48],[11.09243697 48.90756303] ; [10.90756303 48.09243697],0
a2,1,1.0,0.0,[ 3 58] ; [ 3 58],[ 3. 58.] ; [ 3. 58.],0
b4,1,1.0,0.0,[31 30] ; [31 30],[31. 30.] ; [31. 30.],0
