Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.001389,10.220486,[ 1 11] ; [11  5],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
v1,1,0.002174,9.396307,[ 1 11] ; [10  5],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
n6,1,0.030522,4.67963,[5 7] ; [13  3],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
a3,1,0.062942,3.45812,[4 8] ; [11  5],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
d1,1,0.068504,3.318519,[ 2 10] ; [8 8],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
n4,1,0.073896,3.194296,[5 7] ; [12  4],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
b1,1,0.073896,3.194296,[5 7] ; [12  4],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
d5,1,0.07776,3.111111,[7 5] ; [14  2],[9. 3.] ; [12.  4.],0
v3,1,0.07776,3.111111,[ 1 11] ; [ 6 10],[3. 9.] ; [ 4. 12.],0
p8,1,0.09821,2.734375,[9 3] ; [7 9],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
n5,1,0.142781,2.147727,[7 4] ; [14  2],[8.55555556 2.44444444] ; [12.44444444  3.55555556],0
p3,1,0.151825,2.053819,[5 7] ; [11  5],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
a5,1,0.171857,1.866667,[6 6] ; [12  4],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
s4,1,0.184054,1.764583,[5 7] ; [ 3 13],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
n1,1,0.220671,1.5,[3 3] ; [1 5],[2. 4.] ; [2. 4.],0
n3,1,0.248213,1.333333,[2 4] ; [4 2],[3. 3.] ; [3. 3.],0
a2,1,0.254478,1.298551,[ 1 11] ; [ 4 12],[2.14285714 9.85714286] ; [ 2.85714286 13.14285714],0
d4,1,0.314736,1.010695,[6 6] ; [11  5],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
s6,1,0.343446,0.897527,[5 7] ; [9 6],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
b5,1,0.377822,0.777778,[8 4] ; [13  3],[9. 3.] ; [12.  4.],0
p9,1,0.377822,0.777778,[8 4] ; [13  3],[9. 3.] ; [12.  4.],0
b2,1,0.402388,0.701178,[2 6] ; [4 5],[2.82352941 5.17647059] ; [3.17647059 5.82352941],0
b3,1,0.402388,0.701178,[2 6] ; [4 5],[2.82352941 5.17647059] ; [3.17647059 5.82352941],0
u1,1,0.435678,0.607639,[ 1 11] ; [ 3 13],[ 1.71428571 10.28571429] ; [ 2.28571429 13.71428571],0
s7,1,0.469064,0.524179,[7 5] ; [8 3],[7.82608696 4.17391304] ; [7.17391304 3.82608696],0
d3,1,0.483522,0.490909,[4 7] ; [8 8],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
n2,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
s3,1,0.54659,0.363462,[7 5] ; [7 8],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
u2,1,0.568618,0.325,[6 2] ; [3 2],[5.53846154 2.46153846] ; [3.46153846 1.53846154],0
a6,1,0.56917,0.324074,[7 5] ; [11  5],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
a4,1,0.57649,0.311943,[4 8] ; [7 9],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
p11,1,0.629063,0.233333,[8 4] ; [12  4],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
r3,1,0.706197,0.142105,[8 4] ; [11  4],[8.44444444 3.55555556] ; [10.55555556  4.44444444],0
r1,1,0.71714,0.13125,[3 9] ; [ 5 11],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
p2,1,0.724263,0.124444,[11  1] ; [14  2],[10.71428571  1.28571429] ; [14.28571429  1.71428571],0
u3,1,0.735317,0.114286,[2 5] ; [1 4],[1.75 5.25] ; [1.25 3.75],0
p7,1,0.768458,0.086667,[8 2] ; [12  4],[7.69230769 2.30769231] ; [12.30769231  3.69230769],0
s5,1,0.768589,0.086566,[2 9] ; [ 3 10],[2.29166667 8.70833333] ; [ 2.70833333 10.29166667],0
p10,1,0.781814,0.076705,[7 4] ; [11  5],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
s8,1,0.795012,0.0675,[5 7] ; [7 8],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
d2,1,0.819872,0.051852,[4 8] ; [ 6 10],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
p4,1,0.907008,0.013645,[8 4] ; [11  5],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
a7,1,0.912219,0.012153,[7 5] ; [9 7],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
v4,1,0.921775,0.009643,[9 3] ; [11  4],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
s2,1,0.93021,0.00767,[7 5] ; [9 6],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
r2,1,0.946434,0.004514,[7 3] ; [11  5],[6.92307692 3.07692308] ; [11.07692308  4.92307692],0
