Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.012419,6.25,[12  3] ; [3 7],[9. 6.] ; [6. 4.],0
a5,1,0.014266,6.004902,[13  2] ; [4 6],[10.2  4.8] ; [6.8 3.2],0
a4,1,0.018678,5.531429,[9 6] ; [1 8],[6.25 8.75] ; [3.75 5.25],0
d4,1,0.041227,4.166667,[12  3] ; [4 6],[9.6 5.4] ; [6.4 3.6],0
b5,1,0.095581,2.777778,[11  4] ; [4 6],[9. 6.] ; [6. 4.],0
v2,1,0.101707,2.678571,[6 9] ; [1 9],[ 4.2 10.8] ; [2.8 7.2],0
p10,1,0.115184,2.481618,[12  3] ; [5 5],[10.2  4.8] ; [6.8 3.2],0
p9,1,0.126156,2.339181,[13  2] ; [6 4],[11.4  3.6] ; [7.6 2.4],0
p11,1,0.141326,2.163462,[9 6] ; [3 7],[7.2 7.8] ; [4.8 5.2],0
b3,1,0.204894,1.607143,[3 6] ; [4 2],[4.2 4.8] ; [2.8 3.2],0
b2,1,0.204894,1.607143,[3 6] ; [4 2],[4.2 4.8] ; [2.8 3.2],0
p5,1,0.26939,1.21985,[ 4 10] ; [1 9],[ 2.91666667 11.08333333] ; [2.08333333 7.91666667],0
r4,1,0.275234,1.190476,[ 3 12] ; [4 6],[ 4.2 10.8] ; [2.8 7.2],0
b1,1,0.275234,1.190476,[12  3] ; [6 4],[10.8  4.2] ; [7.2 2.8],0
s8,1,0.307434,1.041667,[ 4 11] ; [1 9],[ 3. 12.] ; [2. 8.],0
s1,1,0.314879,1.010101,[ 1 14] ; [2 8],[ 1.8 13.2] ; [1.2 8.8],0
p8,1,0.3268,0.961538,[6 9] ; [6 4],[7.2 7.8] ; [4.8 5.2],0
p3,1,0.327187,0.96,[7 7] ; [3 7],[5.83333333 8.16666667] ; [4.16666667 5.83333333],0
a6,1,0.404657,0.694444,[10  5] ; [5 5],[9. 6.] ; [6. 4.],0
s2,1,0.404657,0.694444,[ 5 10] ; [5 5],[6. 9.] ; [4. 6.],0
n4,1,0.404657,0.694444,[10  5] ; [5 5],[9. 6.] ; [6. 4.],0
p4,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
s5,1,0.466985,0.529101,[ 5 10] ; [2 8],[ 4.2 10.8] ; [2.8 7.2],0
v4,1,0.48384,0.490196,[11  4] ; [6 4],[10.2  4.8] ; [6.8 3.2],0
n5,1,0.48384,0.490196,[11  4] ; [6 4],[10.2  4.8] ; [6.8 3.2],0
p2,1,0.484018,0.489796,[9 5] ; [5 5],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
s7,1,0.521245,0.411429,[6 8] ; [3 7],[5.25 8.75] ; [3.75 6.25],0
p7,1,0.580013,0.306213,[5 8] ; [5 5],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
s3,1,0.590726,0.289211,[ 4 11] ; [3 5],[ 4.56521739 10.43478261] ; [2.43478261 5.56521739],0
b4,1,0.609834,0.260417,[9 6] ; [7 3],[9.6 5.4] ; [6.4 3.6],0
p1,1,0.656005,0.198413,[ 2 13] ; [2 8],[ 2.4 12.6] ; [1.6 8.4],0
u3,1,0.659243,0.194444,[2 2] ; [1 2],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
p6,1,0.702195,0.146199,[ 4 11] ; [2 8],[ 3.6 11.4] ; [2.4 7.6],0
r2,1,0.702195,0.146199,[11  4] ; [8 2],[11.4  3.6] ; [7.6 2.4],0
v3,1,0.742174,0.108225,[7 8] ; [4 6],[6.6 8.4] ; [4.4 5.6],0
a7,1,0.742174,0.108225,[8 7] ; [6 4],[8.4 6.6] ; [5.6 4.4],0
r1,1,0.742174,0.108225,[7 8] ; [4 6],[6.6 8.4] ; [4.4 5.6],0
a1,1,0.801614,0.063131,[ 2 13] ; [1 9],[ 1.8 13.2] ; [1.2 8.8],0
a3,1,0.807671,0.059259,[11  4] ; [7 2],[11.25  3.75] ; [6.75 2.25],0
n6,1,0.87018,0.026709,[8 7] ; [5 5],[7.8 7.2] ; [5.2 4.8],0
s6,1,0.87018,0.026709,[8 7] ; [5 5],[7.8 7.2] ; [5.2 4.8],0
n1,1,0.928177,0.008125,[5 3] ; [3 2],[4.92307692 3.07692308] ; [3.07692308 1.92307692],0
