Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3.2e-05,17.2687,[3 4] ; [ 3 86],[0.4375 6.5625] ; [ 5.5625 83.4375],1
p8,1,0.001387,10.223585,[5 2] ; [17 73],[1.58762887 5.41237113] ; [20.41237113 69.58762887],0
v1,1,0.048722,3.884895,[5 2] ; [30 58],[2.57894737 4.42105263] ; [32.42105263 55.57894737],0
p7,1,0.062303,3.474986,[4 2] ; [26 61],[1.93548387 4.06451613] ; [28.06451613 58.93548387],0
p4,1,0.066202,3.37477,[4 2] ; [27 62],[1.95789474 4.04210526] ; [29.04210526 59.95789474],0
r3,1,0.067235,3.349262,[4 3] ; [76 14],[5.77319588 1.22680412] ; [74.22680412 15.77319588],0
s5,1,0.073573,3.201441,[4 3] ; [22 64],[1.95698925 5.04301075] ; [24.04301075 61.95698925],0
p11,1,0.077005,3.127003,[6 1] ; [46 44],[3.75257732 3.24742268] ; [48.24742268 41.75257732],0
s8,1,0.14376,2.137242,[4 2] ; [33 57],[2.3125 3.6875] ; [34.6875 55.3125],0
a3,1,0.157255,2.00043,[4 3] ; [72 18],[5.48453608 1.51546392] ; [70.51546392 19.48453608],0
v3,1,0.164069,1.936317,[4 3] ; [26 57],[2.33333333 4.66666667] ; [27.66666667 55.33333333],0
p6,1,0.169208,1.889949,[3 4] ; [18 70],[1.54736842 5.45263158] ; [19.45263158 68.54736842],0
b4,1,0.177295,1.820154,[6 1] ; [54 36],[4.32989691 2.67010309] ; [55.67010309 34.32989691],0
s3,1,0.186667,1.743727,[5 2] ; [41 49],[3.31958763 3.68041237] ; [42.68041237 47.31958763],0
p9,1,0.191727,1.704294,[6 1] ; [53 34],[4.39361702 2.60638298] ; [54.60638298 32.39361702],0
s7,1,0.214137,1.543237,[5 2] ; [39 44],[3.42222222 3.57777778] ; [40.57777778 42.42222222],0
p3,1,0.284553,1.145213,[3 3] ; [26 63],[1.83157895 4.16842105] ; [27.16842105 61.83157895],0
b1,1,0.326343,0.963354,[2 5] ; [43 47],[3.24742268 3.75257732] ; [41.75257732 48.24742268],0
s6,1,0.341114,0.90624,[5 2] ; [47 42],[3.79166667 3.20833333] ; [48.20833333 40.79166667],0
r1,1,0.348949,0.877276,[6 1] ; [62 28],[4.90721649 2.09278351] ; [63.09278351 26.90721649],0
r4,1,0.357244,0.847559,[4 3] ; [66 24],[5.05154639 1.94845361] ; [64.94845361 25.05154639],0
s1,1,0.361665,0.832103,[1 6] ; [ 5 84],[0.4375 6.5625] ; [ 5.5625 83.4375],0
a7,1,0.376812,0.781078,[6 1] ; [63 27],[4.97938144 2.02061856] ; [64.02061856 25.97938144],0
u2,1,0.413247,0.669439,[1 2] ; [10  7],[1.65 1.35] ; [9.35 7.65],0
p10,1,0.432271,0.616714,[5 2] ; [50 39],[4.01041667 2.98958333] ; [50.98958333 38.01041667],0
n3,1,0.444639,0.584282,[1 2] ; [23 18],[1.63636364 1.36363636] ; [22.36363636 18.63636364],0
n1,1,0.449774,0.571222,[2 1] ; [19 24],[1.36956522 1.63043478] ; [19.63043478 23.36956522],0
b2,1,0.495458,0.464653,[3 3] ; [23 41],[2.22857143 3.77142857] ; [23.77142857 40.22857143],0
b3,1,0.495458,0.464653,[3 3] ; [23 41],[2.22857143 3.77142857] ; [23.77142857 40.22857143],0
v2,1,0.525444,0.403195,[3 4] ; [47 38],[3.80434783 3.19565217] ; [46.19565217 38.80434783],0
a1,1,0.635458,0.224731,[1 6] ; [ 8 82],[0.64948454 6.35051546] ; [ 8.35051546 81.64948454],0
d2,1,0.645935,0.211063,[5 1] ; [66 22],[4.53191489 1.46808511] ; [66.46808511 21.53191489],0
n6,1,0.704186,0.144153,[4 1] ; [65 25],[3.63157895 1.36842105] ; [65.36842105 24.63157895],0
n2,1,0.713906,0.134407,[2 1] ; [24 19],[1.69565217 1.30434783] ; [24.30434783 18.69565217],0
a4,1,0.761078,0.092456,[4 3] ; [56 33],[4.375 2.625] ; [55.625 33.375],0
v4,1,0.762834,0.09106,[6 1] ; [73 17],[5.70103093 1.29896907] ; [73.29896907 16.70103093],0
a2,1,0.796322,0.066621,[2 5] ; [30 60],[2.30927835 4.69072165] ; [29.69072165 60.30927835],0
u1,1,0.86051,0.030879,[2 5] ; [23 67],[1.80412371 5.19587629] ; [23.19587629 66.80412371],0
b5,1,0.973869,0.001073,[4 3] ; [52 38],[4.04123711 2.95876289] ; [51.95876289 38.04123711],0
s2,1,0.973869,0.001073,[3 4] ; [38 52],[2.95876289 4.04123711] ; [38.04123711 51.95876289],0
u3,1,1.0,0.0,[2 1] ; [12  6],[2. 1.] ; [12.  6.],0
