Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3.9e-05,16.91249,[33 41] ; [ 80 288],[18.91855204 55.08144796] ; [ 94.08144796 273.91855204],1
s2,1,0.000141,14.487871,[51 27] ; [158 220],[35.75 42.25] ; [173.25 204.75],1
s6,1,0.000704,11.477827,[59 20] ; [204 174],[45.46389497 33.53610503] ; [217.53610503 160.46389497],1
n4,1,0.003474,8.539958,[45 35] ; [275 103],[55.89519651 24.10480349] ; [264.10480349 113.89519651],0
s3,1,0.004339,8.136012,[52 26] ; [184 192],[40.54625551 37.45374449] ; [195.45374449 180.54625551],0
a8,1,0.006765,7.334374,[ 2 72] ; [ 49 302],[ 8.88 65.12] ; [ 42.12 308.88],0
n5,1,0.013016,6.166954,[43 37] ; [256 119],[52.57142857 27.42857143] ; [246.42857143 128.57142857],0
b3,1,0.047156,3.939801,[10 32] ; [ 93 140],[15.73090909 26.26909091] ; [ 87.26909091 145.73090909],0
b2,1,0.047156,3.939801,[10 32] ; [ 93 140],[15.73090909 26.26909091] ; [ 87.26909091 145.73090909],0
p11,1,0.047225,3.937364,[44 36] ; [254 127],[51.71366594 28.28633406] ; [246.28633406 134.71366594],0
p2,1,0.086768,2.933338,[48 32] ; [266 115],[54.49023861 25.50976139] ; [259.50976139 121.49023861],0
d3,1,0.088563,2.900299,[56 23] ; [230 149],[49.33187773 29.66812227] ; [236.66812227 142.33187773],0
b1,1,0.106137,2.610813,[26 54] ; [161 220],[32.45119306 47.54880694] ; [154.54880694 226.45119306],0
v1,1,0.181332,1.786677,[29 51] ; [163 204],[34.36241611 45.63758389] ; [157.63758389 209.36241611],0
v3,1,0.186295,1.746678,[20 58] ; [121 242],[24.93877551 53.06122449] ; [116.06122449 246.93877551],0
p1,1,0.186793,1.742733,[ 7 73] ; [ 19 361],[ 4.52173913 75.47826087] ; [ 21.47826087 358.52173913],0
s7,1,0.239653,1.382634,[35 41] ; [140 221],[30.43478261 45.56521739] ; [144.56521739 216.43478261],0
r2,1,0.278985,1.172028,[73  5] ; [336  39],[70.42384106  7.57615894] ; [338.57615894  36.42384106],0
p12,1,0.301089,1.069364,[ 2 77] ; [ 20 360],[ 3.78649237 75.21350763] ; [ 18.21350763 361.78649237],0
n1,1,0.318086,0.996801,[ 9 23] ; [47 78],[11.41401274 20.58598726] ; [44.58598726 80.41401274],0
a6,1,0.337669,0.919263,[49 31] ; [254 126],[52.69565217 27.30434783] ; [250.30434783 129.69565217],0
b5,1,0.349513,0.875223,[54 26] ; [236 145],[50.32537961 29.67462039] ; [239.67462039 141.32537961],0
u2,1,0.35188,0.866667,[10 12] ; [68 53],[12. 10.] ; [66. 55.],0
a3,1,0.362537,0.829085,[58 22] ; [255 124],[54.55337691 25.44662309] ; [258.44662309 120.55337691],0
u3,1,0.382803,0.761682,[14  8] ; [67 58],[12.12244898  9.87755102] ; [68.87755102 56.12244898],0
v4,1,0.399551,0.709678,[72  7] ; [331  46],[69.81798246  9.18201754] ; [333.18201754  43.81798246],0
v2,1,0.416527,0.660092,[35 42] ; [183 179],[38.23690205 38.76309795] ; [179.76309795 182.23690205],0
d5,1,0.418727,0.653887,[58 21] ; [295  85],[60.75599129 18.24400871] ; [292.24400871  87.75599129],0
r4,1,0.420546,0.648788,[66 14] ; [299  82],[63.34056399 16.65943601] ; [301.65943601  79.34056399],0
a2,1,0.425949,0.633843,[16 64] ; [ 92 289],[18.74186551 61.25813449] ; [ 89.25813449 291.74186551],0
p9,1,0.446313,0.579999,[59 19] ; [267 107],[56.25663717 21.74336283] ; [269.74336283 104.25663717],0
s8,1,0.455898,0.555948,[30 50] ; [126 254],[27.13043478 52.86956522] ; [128.86956522 251.13043478],0
a1,1,0.467349,0.528238,[ 3 77] ; [ 22 359],[ 4.33839479 75.66160521] ; [ 20.66160521 360.33839479],0
p6,1,0.510963,0.432094,[15 65] ; [ 83 293],[17.19298246 62.80701754] ; [ 80.80701754 295.19298246],0
