Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.3e-05,19.024767,[46 87] ; [21  5],[56.04402516 76.95597484] ; [10.95597484 15.04402516],1
p8,1,0.000154,14.322773,[37 99] ; [18 10],[45.6097561 90.3902439] ; [ 9.3902439 18.6097561],1
a8,1,0.009396,6.745946,[  4 126] ; [ 4 22],[  6.66666667 123.33333333] ; [ 1.33333333 24.66666667],0
b5,1,0.019357,5.46893,[81 57] ; [23  5],[86.45783133 51.54216867] ; [17.54216867 10.45783133],0
v3,1,0.032282,4.583446,[35 97] ; [ 2 25],[ 30.71698113 101.28301887] ; [ 6.28301887 20.71698113],0
p2,1,0.041548,4.153512,[85 52] ; [23  5],[89.67272727 47.32727273] ; [18.32727273  9.67272727],0
p4,1,0.064431,3.419492,[ 35 102] ; [12 16],[39.02424242 97.97575758] ; [ 7.97575758 20.02424242],0
a5,1,0.072639,3.222356,[70 68] ; [ 9 19],[65.6746988 72.3253012] ; [13.3253012 14.6746988],0
n2,1,0.075606,3.156905,[37 24] ; [12  2],[39.85333333 21.14666667] ; [9.14666667 4.85333333],0
s2,1,0.078092,3.104169,[49 88] ; [15 13],[53.13939394 83.86060606] ; [10.86060606 17.13939394],0
p11,1,0.106058,2.611992,[81 57] ; [21  7],[84.79518072 53.20481928] ; [17.20481928 10.79518072],0
b4,1,0.106865,2.599983,[82 56] ; [12 16],[78.14457831 59.85542169] ; [15.85542169 12.14457831],0
d3,1,0.119014,2.430255,[84 54] ; [20  6],[87.51219512 50.48780488] ; [16.48780488  9.51219512],0
n1,1,0.128766,2.307324,[14 47] ; [6 8],[16.26666667 44.73333333] ; [ 3.73333333 10.26666667],0
u2,1,0.146443,2.108911,[28 30] ; [11  5],[30.56756757 27.43243243] ; [8.43243243 7.56756757],0
a3,1,0.151134,2.060767,[79 58] ; [12 16],[75.55757576 61.44242424] ; [15.44242424 12.55757576],0
a2,1,0.151165,2.060451,[ 18 120] ; [ 1 27],[ 15.79518072 122.20481928] ; [ 3.20481928 24.79518072],0
r2,1,0.1946,1.682445,[114  23] ; [26  2],[116.24242424  20.75757576] ; [23.75757576  4.24242424],0
s4,1,0.201274,1.633106,[ 29 109] ; [ 9 19],[ 31.59036145 106.40963855] ; [ 6.40963855 21.59036145],0
a7,1,0.203351,1.61814,[90 48] ; [21  6],[92.83636364 45.16363636] ; [18.16363636  8.83636364],0
r1,1,0.262831,1.253782,[94 44] ; [16 12],[91.44578313 46.55421687] ; [18.55421687  9.44578313],0
d2,1,0.283635,1.149588,[49 89] ; [ 7 21],[46.55421687 91.44578313] ; [ 9.44578313 18.55421687],0
s7,1,0.336552,0.923521,[ 31 101] ; [ 9 19],[33. 99.] ; [ 7. 21.],0
s8,1,0.373153,0.793137,[ 30 108] ; [ 8 19],[ 31.78181818 106.21818182] ; [ 6.21818182 20.78181818],0
b1,1,0.375109,0.786671,[47 91] ; [12 16],[49.04819277 88.95180723] ; [ 9.95180723 18.04819277],0
n6,1,0.420358,0.649314,[88 50] ; [15 12],[86.14545455 51.85454545] ; [16.85454545 10.14545455],0
p10,1,0.435342,0.608528,[86 49] ; [20  8],[87.79141104 47.20858896] ; [18.20858896  9.79141104],0
r4,1,0.45836,0.549896,[99 39] ; [22  6],[100.59036145  37.40963855] ; [20.40963855  7.59036145],0
v4,1,0.469363,0.523474,[119  16] ; [26  2],[120.09202454  14.90797546] ; [24.90797546  3.09202454],0
a6,1,0.472956,0.515062,[84 54] ; [15 13],[82.30120482 55.69879518] ; [16.69879518 11.30120482],0
d1,1,0.535572,0.383809,[58 80] ; [10 18],[56.53012048 81.46987952] ; [11.46987952 16.53012048],0
