Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.4e-05,15.976014,[20 36] ; [65 29],[31.73333333 24.26666667] ; [53.26666667 40.73333333],1
a6,1,0.000338,12.84756,[22 34] ; [65 29],[32.48 23.52] ; [54.52 39.48],1
d4,1,0.000422,12.431269,[28 27] ; [74 20],[37.65100671 17.34899329] ; [64.34899329 29.65100671],1
r3,1,0.00175,9.794461,[36 20] ; [81 13],[43.68 12.32] ; [73.32 20.68],0
b5,1,0.002278,9.311127,[22 34] ; [61 33],[30.98666667 25.01333333] ; [52.01333333 41.98666667],0
a2,1,0.003029,8.78971,[ 2 54] ; [20 74],[ 8.21333333 47.78666667] ; [13.78666667 80.21333333],0
v4,1,0.005002,7.878852,[36 18] ; [81 13],[42.68918919 11.31081081] ; [74.31081081 19.68918919],0
d5,1,0.005539,7.694379,[30 26] ; [71 23],[37.70666667 18.29333333] ; [63.29333333 30.70666667],0
d1,1,0.00706,7.257722,[16 40] ; [48 46],[23.89333333 32.10666667] ; [40.10666667 53.89333333],0
r4,1,0.015781,5.827119,[31 25] ; [70 24],[37.70666667 18.29333333] ; [63.29333333 30.70666667],0
s6,1,0.02896,4.770011,[15 41] ; [42 52],[21.28 34.72] ; [35.72 58.28],0
r1,1,0.03292,4.549955,[33 23] ; [71 23],[38.82666667 17.17333333] ; [65.17333333 28.82666667],0
p2,1,0.03456,4.466764,[24 32] ; [57 37],[30.24 25.76] ; [50.76 43.24],0
u1,1,0.042798,4.103343,[ 2 54] ; [13 81],[ 5.6 50.4] ; [ 9.4 84.6],0
a3,1,0.047874,3.914397,[25 31] ; [57 36],[30.81879195 25.18120805] ; [51.18120805 41.81879195],0
a5,1,0.056984,3.623071,[25 31] ; [57 37],[30.61333333 25.38666667] ; [51.38666667 42.61333333],0
p4,1,0.062151,3.47904,[15 40] ; [40 54],[20.30201342 34.69798658] ; [34.69798658 59.30201342],0
