Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000134,14.578532,[10 59] ; [9 6],[15.60714286 53.39285714] ; [ 3.39285714 11.60714286],1
d3,1,0.004572,8.041442,[32 37] ; [13  2],[36.96428571 32.03571429] ; [8.03571429 6.96428571],0
p6,1,0.004994,7.881666,[ 3 65] ; [ 4 11],[ 5.73493976 62.26506024] ; [ 1.26506024 13.73493976],0
d1,1,0.005595,7.676206,[28 41] ; [12  3],[32.85714286 36.14285714] ; [7.14285714 7.85714286],0
p2,1,0.005595,7.676206,[28 41] ; [12  3],[32.85714286 36.14285714] ; [7.14285714 7.85714286],0
s2,1,0.009497,6.726867,[11 57] ; [7 8],[14.74698795 53.25301205] ; [ 3.25301205 11.74698795],0
d5,1,0.012287,6.268916,[41 28] ; [14  1],[45.17857143 23.82142857] ; [9.82142857 5.17857143],0
d4,1,0.022915,5.174954,[43 25] ; [14  1],[46.69879518 21.30120482] ; [10.30120482  4.69879518],0
s5,1,0.037491,4.327947,[ 8 60] ; [ 5 10],[10.65060241 57.34939759] ; [ 2.34939759 12.65060241],0
r2,1,0.056068,3.650023,[35 31] ; [12  3],[38.2962963 27.7037037] ; [8.7037037 6.2962963],0
p5,1,0.08544,2.958261,[ 2 67] ; [ 2 13],[ 3.28571429 65.71428571] ; [ 0.71428571 14.28571429],0
b2,1,0.09896,2.722222,[20 22] ; [1 6],[18. 24.] ; [3. 4.],0
b3,1,0.09896,2.722222,[20 22] ; [1 6],[18. 24.] ; [3. 4.],0
n6,1,0.124869,2.35516,[40 28] ; [12  3],[42.60240964 25.39759036] ; [9.39759036 5.60240964],0
p10,1,0.133588,2.250303,[26 41] ; [9 6],[28.59756098 38.40243902] ; [6.40243902 8.59756098],0
n5,1,0.145708,2.116616,[46 23] ; [7 8],[43.53571429 25.46428571] ; [9.46428571 5.53571429],0
p9,1,0.167596,1.904314,[30 34] ; [10  5],[32.40506329 31.59493671] ; [7.59493671 7.40506329],0
r3,1,0.185468,1.753258,[32 35] ; [10  5],[34.31707317 32.68292683] ; [7.68292683 7.31707317],0
a4,1,0.193854,1.688082,[24 44] ; [8 7],[26.21686747 41.78313253] ; [5.78313253 9.21686747],0
b5,1,0.221586,1.494071,[35 34] ; [ 5 10],[32.85714286 36.14285714] ; [7.14285714 7.85714286],0
s3,1,0.254345,1.29928,[17 50] ; [6 9],[18.79268293 48.20731707] ; [ 4.20731707 10.79268293],0
u3,1,0.257359,1.282909,[ 8 22] ; [3 3],[ 9.16666667 20.83333333] ; [1.83333333 4.16666667],0
a5,1,0.261838,1.259012,[35 34] ; [10  5],[36.96428571 32.03571429] ; [8.03571429 6.96428571],0
v1,1,0.269486,1.219361,[17 49] ; [6 9],[18.74074074 47.25925926] ; [ 4.25925926 10.74074074],0
p1,1,0.285429,1.141058,[ 7 62] ; [ 3 12],[ 8.21428571 60.78571429] ; [ 1.78571429 13.21428571],0
n3,1,0.291841,1.111111,[17 19] ; [3 1],[18. 18.] ; [2. 2.],0
v4,1,0.306737,1.044672,[36 33] ; [10  5],[37.78571429 31.21428571] ; [8.21428571 6.78571429],0
b1,1,0.392742,0.730435,[33 36] ; [9 6],[34.5 34.5] ; [7.5 7.5],0
p8,1,0.394523,0.724955,[ 8 60] ; [ 3 12],[ 9.01204819 58.98795181] ; [ 1.98795181 13.01204819],0
a1,1,0.41546,0.663122,[10 59] ; [ 1 14],[ 9.03571429 59.96428571] ; [ 1.96428571 13.03571429],0
s4,1,0.41546,0.663122,[10 59] ; [ 1 14],[ 9.03571429 59.96428571] ; [ 1.96428571 13.03571429],0
u2,1,0.418492,0.654545,[10 20] ; [1 5],[ 9.16666667 20.83333333] ; [1.83333333 4.16666667],0
d2,1,0.479548,0.499892,[29 38] ; [8 7],[30.23170732 36.76829268] ; [6.76829268 8.23170732],0
n1,1,0.481518,0.495424,[12 25] ; [2 2],[12.63414634 24.36585366] ; [1.36585366 2.63414634],0
s8,1,0.485288,0.486957,[ 9 60] ; [ 3 12],[ 9.85714286 59.14285714] ; [ 2.14285714 12.85714286],0
a6,1,0.581752,0.303411,[33 36] ; [6 9],[32.03571429 36.96428571] ; [6.96428571 8.03571429],0
a7,1,0.659789,0.19378,[32 36] ; [8 7],[32.77108434 35.22891566] ; [7.22891566 7.77108434],0
n4,1,0.675195,0.175585,[42 27] ; [10  5],[42.71428571 26.28571429] ; [9.28571429 5.71428571],0
