Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.2e-05,16.78193,[14 20] ; [45  9],[22.79545455 11.20454545] ; [36.20454545 17.79545455],1
n2,1,0.001931,9.613795,[5 8] ; [14  1],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
p10,1,0.002552,9.103061,[16 17] ; [43 11],[22.37931034 10.62068966] ; [36.62068966 17.37931034],0
n6,1,0.006315,7.45803,[20 14] ; [45  8],[25.40229885  8.59770115] ; [39.59770115 13.40229885],0
p7,1,0.009596,6.708427,[ 9 25] ; [28 23],[14.8 19.2] ; [22.2 28.8],0
v4,1,0.013049,6.162465,[26  8] ; [51  3],[29.75  4.25] ; [47.25  6.75],0
p11,1,0.014282,6.002887,[15 19] ; [38 16],[20.47727273 13.52272727] ; [32.52272727 21.47727273],0
p9,1,0.023561,5.126631,[16 16] ; [40 14],[20.8372093 11.1627907] ; [35.1627907 18.8372093],0
a8,1,0.043175,4.088549,[ 1 33] ; [ 8 38],[ 3.825 30.175] ; [ 5.175 40.825],0
s4,1,0.051455,3.793404,[12 22] ; [ 9 44],[ 8.20689655 25.79310345] ; [12.79310345 40.20689655],0
s8,1,0.053521,3.727583,[ 9 25] ; [25 28],[13.28735632 20.71264368] ; [20.71264368 32.28735632],0
v1,1,0.064337,3.421897,[11 22] ; [29 25],[15.17241379 17.82758621] ; [24.82758621 29.17241379],0
d4,1,0.095947,2.771656,[31  3] ; [41 12],[28.13793103  5.86206897] ; [43.86206897  9.13793103],0
a1,1,0.111311,2.535512,[ 1 33] ; [ 7 47],[ 3.09090909 30.90909091] ; [ 4.90909091 49.09090909],0
p3,1,0.132507,2.262888,[ 9 24] ; [23 30],[12.27906977 20.72093023] ; [19.72093023 33.27906977],0
a7,1,0.134764,2.236747,[20 14] ; [40 14],[23.18181818 10.81818182] ; [36.81818182 17.18181818],0
d5,1,0.141398,2.162678,[29  5] ; [38 15],[26.18390805  7.81609195] ; [40.81609195 12.18390805],0
a2,1,0.149306,2.079323,[ 3 31] ; [11 43],[ 5.40909091 28.59090909] ; [ 8.59090909 45.40909091],0
p6,1,0.156906,2.003793,[ 6 27] ; [17 36],[ 8.8255814 24.1744186] ; [14.1744186 38.8255814],0
p8,1,0.248319,1.332735,[ 8 26] ; [19 35],[10.43181818 23.56818182] ; [16.56818182 37.43181818],0
r3,1,0.252237,1.310874,[33  1] ; [49  5],[31.68181818  2.31818182] ; [50.31818182  3.68181818],0
s2,1,0.252333,1.310342,[14 20] ; [29 25],[16.61363636 17.38636364] ; [26.38636364 27.61363636],0
s3,1,0.295948,1.092365,[15 19] ; [30 24],[17.38636364 16.61363636] ; [27.61363636 26.38636364],0
p4,1,0.300104,1.07373,[10 24] ; [21 31],[12.25581395 21.74418605] ; [18.74418605 33.25581395],0
p12,1,0.305009,1.052167,[ 2 31] ; [ 7 47],[ 3.4137931 29.5862069] ; [ 5.5862069 48.4137931],0
a5,1,0.348302,0.879634,[22 12] ; [40 14],[23.95454545 10.04545455] ; [38.04545455 15.95454545],0
b1,1,0.362044,0.830792,[13 21] ; [26 28],[15.06818182 18.93181818] ; [23.93181818 30.06818182],0
r4,1,0.377351,0.779315,[25  9] ; [44 10],[26.65909091  7.34090909] ; [42.34090909 11.65909091],0
p5,1,0.378187,0.776586,[ 1 33] ; [ 4 50],[ 1.93181818 32.06818182] ; [ 3.06818182 50.93181818],0
n3,1,0.381133,0.767045,[6 6] ; [10  5],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
a6,1,0.388963,0.742182,[18 16] ; [33 20],[19.93103448 14.06896552] ; [31.06896552 21.93103448],0
u1,1,0.528025,0.39819,[ 4 30] ; [ 9 45],[ 5.02272727 28.97727273] ; [ 7.97727273 46.02272727],0
s7,1,0.540131,0.375297,[13 20] ; [24 28],[14.36470588 18.63529412] ; [22.63529412 29.36470588],0
s1,1,0.554592,0.349155,[ 1 33] ; [ 3 50],[ 1.56321839 32.43678161] ; [ 2.43678161 50.56321839],0
a4,1,0.565599,0.330102,[13 21] ; [24 30],[14.29545455 19.70454545] ; [22.70454545 31.29545455],0
u2,1,0.59737,0.27898,[5 6] ; [10  8],[5.68965517 5.31034483] ; [9.31034483 8.68965517],0
v3,1,0.608716,0.262049,[13 19] ; [25 29],[14.13953488 17.86046512] ; [23.86046512 30.13953488],0
u3,1,0.642636,0.215311,[6 5] ; [12  7],[6.6 4.4] ; [11.4  7.6],0
s5,1,0.687934,0.161331,[11 21] ; [16 37],[10.16470588 21.83529412] ; [16.83529412 36.16470588],0
b3,1,0.725962,0.122851,[ 5 12] ; [13 25],[ 5.56363636 11.43636364] ; [12.43636364 25.56363636],0
