Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.015725,5.833333,[3 4] ; [ 2 26],[1. 6.] ; [ 4. 24.],0
a3,1,0.101319,2.684659,[3 4] ; [21  7],[4.8 2.2] ; [19.2  8.8],0
v4,1,0.121445,2.398589,[5 2] ; [25  2],[6.17647059 0.82352941] ; [23.82352941  3.17647059],0
u2,1,0.136844,2.213095,[3 1] ; [2 5],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
s3,1,0.147177,2.101264,[2 5] ; [16 11],[3.70588235 3.29411765] ; [14.29411765 12.70588235],0
s7,1,0.151317,2.058924,[3 4] ; [18  7],[4.59375 2.40625] ; [16.40625  8.59375],0
a7,1,0.154324,2.028986,[3 4] ; [20  8],[4.6 2.4] ; [18.4  9.6],0
n3,1,0.157299,2.0,[1 2] ; [7 2],[2. 1.] ; [6. 3.],0
s6,1,0.159909,1.975088,[5 2] ; [22  2],[6.09677419 0.90322581] ; [20.90322581  3.09677419],0
v3,1,0.191825,1.703543,[1 6] ; [11 16],[2.47058824 4.52941176] ; [ 9.52941176 17.47058824],0
v2,1,0.191825,1.703543,[1 6] ; [11 16],[2.47058824 4.52941176] ; [ 9.52941176 17.47058824],0
p1,1,0.212628,1.553442,[1 6] ; [11 17],[2.4 4.6] ; [ 9.6 18.4],0
r4,1,0.227195,1.458333,[5 2] ; [25  3],[6. 1.] ; [24.  4.],0
r2,1,0.227195,1.458333,[5 2] ; [25  3],[6. 1.] ; [24.  4.],0
p2,1,0.266716,1.23356,[4 2] ; [24  4],[4.94117647 1.05882353] ; [23.05882353  4.94117647],0
a6,1,0.274689,1.193182,[6 1] ; [18 10],[4.8 2.2] ; [19.2  8.8],0
b5,1,0.300623,1.071429,[4 3] ; [10 18],[2.8 4.2] ; [11.2 16.8],0
d2,1,0.308711,1.036184,[2 5] ; [14 14],[3.2 3.8] ; [12.8 15.2],0
n2,1,0.310494,1.028571,[1 2] ; [6 3],[1.75 1.25] ; [5.25 3.75],0
d5,1,0.349575,0.875,[4 3] ; [21  7],[5. 2.] ; [20.  8.],0
n4,1,0.369722,0.804598,[5 2] ; [24  4],[5.8 1.2] ; [23.2  4.8],0
p3,1,0.369722,0.804598,[5 2] ; [24  4],[5.8 1.2] ; [23.2  4.8],0
p12,1,0.369722,0.804598,[2 5] ; [ 4 24],[1.2 5.8] ; [ 4.8 23.2],0
s5,1,0.37471,0.787986,[3 4] ; [16 10],[4.03030303 2.96969697] ; [14.96969697 11.03030303],0
b4,1,0.393153,0.729167,[5 2] ; [15 13],[4. 3.] ; [16. 12.],0
s8,1,0.403454,0.698009,[2 5] ; [12 14],[2.96969697 4.03030303] ; [11.03030303 14.96969697],0
p8,1,0.412215,0.672404,[6 1] ; [19  8],[5.14705882 1.85294118] ; [19.85294118  7.14705882],0
n6,1,0.455434,0.557092,[5 1] ; [26  2],[5.47058824 0.52941176] ; [25.52941176  2.47058824],0
s1,1,0.545972,0.364583,[1 6] ; [ 2 26],[0.6 6.4] ; [ 2.4 25.6],0
d3,1,0.599766,0.27535,[5 2] ; [17 11],[4.4 2.6] ; [17.6 10.4],0
p7,1,0.643526,0.21416,[6 1] ; [21  6],[5.55882353 1.44117647] ; [21.44117647  5.55882353],0
p6,1,0.667082,0.185034,[4 2] ; [16 12],[3.52941176 2.47058824] ; [16.47058824 11.52941176],0
n5,1,0.672604,0.178571,[6 1] ; [22  6],[5.6 1.4] ; [22.4  5.6],0
s2,1,0.676193,0.174443,[2 5] ; [10 17],[2.47058824 4.52941176] ; [ 9.52941176 17.47058824],0
a4,1,0.721761,0.126812,[2 5] ; [10 18],[2.4 4.6] ; [ 9.6 18.4],0
b1,1,0.72647,0.122378,[3 4] ; [10 18],[2.6 4.4] ; [10.4 17.6],0
b3,1,0.754293,0.097959,[1 2] ; [ 9 12],[1.25 1.75] ; [ 8.75 12.25],0
b2,1,0.754293,0.097959,[1 2] ; [ 9 12],[1.25 1.75] ; [ 8.75 12.25],0
p4,1,0.793488,0.068531,[6 1] ; [22  5],[5.76470588 1.23529412] ; [22.23529412  4.76470588],0
p10,1,0.793488,0.068531,[6 1] ; [22  5],[5.76470588 1.23529412] ; [22.23529412  4.76470588],0
r3,1,0.816297,0.053968,[6 1] ; [24  3],[6.17647059 0.82352941] ; [23.82352941  3.17647059],0
p9,1,0.816297,0.053968,[6 1] ; [24  3],[6.17647059 0.82352941] ; [23.82352941  3.17647059],0
u3,1,0.818971,0.052381,[2 2] ; [3 4],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
d4,1,0.846667,0.037393,[5 2] ; [21  7],[5.2 1.8] ; [20.8  7.2],0
d1,1,0.865281,0.028783,[3 4] ; [13 15],[3.2 3.8] ; [12.8 15.2],0
a2,1,1.0,0.0,[1 6] ; [ 4 24],[1. 6.] ; [ 4. 24.],0
