Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9.6e-05,15.21582,[13  7] ; [23 82],[ 5.76 14.24] ; [30.24 74.76],1
s3,1,0.009373,6.750317,[12  8] ; [31 73],[ 6.93548387 13.06451613] ; [36.06451613 67.93548387],0
b5,1,0.014056,6.031036,[17  4] ; [55 51],[11.90551181  9.09448819] ; [60.09448819 45.90551181],0
s6,1,0.018044,5.591901,[14  7] ; [41 65],[ 9.09448819 11.90551181] ; [45.90551181 60.09448819],0
a6,1,0.040174,4.210518,[ 8 13] ; [66 40],[12.23622047  8.76377953] ; [61.76377953 44.23622047],0
r3,1,0.092231,2.835,[13  8] ; [83 22],[16.  5.] ; [80. 25.],0
s5,1,0.159913,1.975044,[ 5 14] ; [14 89],[ 2.95901639 16.04098361] ; [16.04098361 86.95901639],0
d4,1,0.174074,1.847507,[13  8] ; [80 25],[15.5  5.5] ; [77.5 27.5],0
p8,1,0.175891,1.832006,[ 1 20] ; [17 89],[ 2.97637795 18.02362205] ; [15.02362205 90.97637795],0
p3,1,0.179712,1.8,[ 7 14] ; [21 84],[ 4.66666667 16.33333333] ; [23.33333333 81.66666667],0
p11,1,0.180659,1.792195,[ 6 15] ; [47 59],[ 8.76377953 12.23622047] ; [44.23622047 61.76377953],0
u2,1,0.193732,1.689009,[1 5] ; [17 21],[2.45454545 3.54545455] ; [15.54545455 22.45454545],0
s7,1,0.230697,1.436559,[ 8 11] ; [28 71],[ 5.79661017 13.20338983] ; [30.20338983 68.79661017],0
n6,1,0.235815,1.405438,[15  6] ; [61 45],[12.56692913  8.43307087] ; [63.43307087 42.56692913],0
s1,1,0.238347,1.390345,[ 3 18] ; [ 7 98],[ 1.66666667 19.33333333] ; [ 8.33333333 96.66666667],0
v1,1,0.262698,1.254483,[ 5 16] ; [38 66],[ 7.224 13.776] ; [35.776 68.224],0
d1,1,0.281882,1.157992,[ 8 13] ; [54 52],[10.2519685 10.7480315] ; [51.7480315 54.2519685],0
a4,1,0.317008,1.00125,[12  9] ; [47 57],[ 9.912 11.088] ; [49.088 54.912],0
u1,1,0.329625,0.95037,[ 4 17] ; [12 94],[ 2.64566929 18.35433071] ; [13.35433071 92.64566929],0
v2,1,0.333468,0.935382,[ 6 15] ; [41 62],[ 7.95967742 13.04032258] ; [39.04032258 63.95967742],0
u3,1,0.349397,0.875646,[4 2] ; [18 21],[2.93333333 3.06666667] ; [19.06666667 19.93333333],0
v3,1,0.351874,0.866687,[ 4 17] ; [29 71],[ 5.72727273 15.27272727] ; [27.27272727 72.72727273],0
p4,1,0.370582,0.801711,[ 8 13] ; [30 76],[ 6.28346457 14.71653543] ; [31.71653543 74.28346457],0
a7,1,0.418371,0.654886,[14  7] ; [60 45],[12.33333333  8.66666667] ; [61.66666667 43.33333333],0
r1,1,0.43624,0.606153,[12  9] ; [70 36],[13.55905512  7.44094488] ; [68.44094488 37.55905512],0
d5,1,0.457267,0.552577,[14  7] ; [79 27],[15.37795276  5.62204724] ; [77.62204724 28.37795276],0
