Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,81.321152,[ 55 114] ; [289 107],[102.89557522  66.10442478] ; [241.10442478 154.89557522],1
p6,1,0.0,53.393854,[ 32 136] ; [209 191],[71.28169014 96.71830986] ; [169.71830986 230.28169014],1
p3,1,0.0,36.106436,[ 61 108] ; [254 146],[93.55887522 75.44112478] ; [221.44112478 178.55887522],1
p4,1,3e-06,21.719058,[95 75] ; [302  98],[118.40350877  51.59649123] ; [278.59649123 121.40350877],1
s5,1,9e-05,15.345827,[ 38 123] ; [160 228],[ 58.06557377 102.93442623] ; [139.93442623 248.06557377],1
s8,1,0.001113,10.63007,[ 62 106] ; [206 191],[79.68849558 88.31150442] ; [188.31150442 208.68849558],0
p5,1,0.001384,10.227155,[ 12 158] ; [ 69 330],[ 24.20035149 145.79964851] ; [ 56.79964851 342.20035149],0
r1,1,0.001905,9.638579,[126  44] ; [337  59],[139.06360424  30.93639576] ; [323.93639576  72.06360424],0
b5,1,0.002556,9.100174,[119  51] ; [226 174],[102.89473684  67.10526316] ; [242.10526316 157.89473684],0
v3,1,0.002683,9.011673,[ 55 111] ; [182 206],[71.01444043 94.98555957] ; [165.98555957 222.01444043],0
v1,1,0.005225,7.799883,[84 80] ; [250 141],[98.6954955 65.3045045] ; [235.3045045 155.6954955],0
s7,1,0.005342,7.760004,[72 89] ; [219 160],[86.76111111 74.23888889] ; [204.23888889 174.76111111],0
p10,1,0.006574,7.385706,[138  31] ; [357  40],[147.80035336  21.19964664] ; [347.19964664  49.80035336],0
r4,1,0.008856,6.851639,[147  23] ; [373  27],[155.0877193  14.9122807] ; [364.9122807  35.0877193],0
v4,1,0.010526,6.543646,[158  12] ; [386  10],[163.39222615   6.60777385] ; [380.60777385  15.39222615],0
p11,1,0.010992,6.466605,[132  38] ; [345  55],[142.26315789  27.73684211] ; [334.73684211  65.26315789],0
s1,1,0.011252,6.425077,[  8 159] ; [  5 389],[  3.86987522 163.13012478] ; [  9.13012478 384.86987522],0
v2,1,0.018682,5.53104,[82 82] ; [236 152],[94.47826087 69.52173913] ; [223.52173913 164.47826087],0
a1,1,0.018702,5.529129,[  2 168] ; [ 22 378],[  7.15789474 162.84210526] ; [ 16.84210526 383.15789474],0
s6,1,0.019369,5.467913,[107  60] ; [286 101],[118.46750903  48.53249097] ; [274.53249097 112.46750903],0
b4,1,0.035602,4.416069,[108  62] ; [216 184],[96.63157895 73.36842105] ; [227.36842105 172.63157895],0
r3,1,0.040979,4.176902,[156  12] ; [384  13],[160.56637168   7.43362832] ; [379.43362832  17.56637168],0
a2,1,0.051939,3.777724,[ 34 136] ; [111 289],[ 43.24561404 126.75438596] ; [101.75438596 298.24561404],0
p9,1,0.065864,3.383196,[145  23] ; [362  34],[151.0212766  16.9787234] ; [355.9787234  40.0212766],0
a3,1,0.078302,3.099797,[116  54] ; [300  98],[124.50704225  45.49295775] ; [291.49295775 106.50704225],0
d3,1,0.09536,2.781473,[109  61] ; [284 115],[117.41652021  52.58347979] ; [275.58347979 123.41652021],0
