Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,148.28646,[ 41 131] ; [153  19],[97. 75.] ; [97. 75.],1
s6,1,0.0,60.983197,[77 96] ; [145  26],[111.64534884  61.35465116] ; [110.35465116  60.64534884],1
s7,1,0.0,55.44504,[ 43 124] ; [108  54],[76.64741641 90.35258359] ; [74.35258359 87.64741641],1
s8,1,0.0,36.7439,[ 40 133] ; [95 78],[ 67.5 105.5] ; [ 67.5 105.5],1
s5,1,2.5e-05,17.744257,[ 31 138] ; [ 65 101],[ 48.42985075 120.57014925] ; [ 47.57014925 118.42985075],1
p9,1,4.6e-05,16.607723,[113  61] ; [143  27],[129.48837209  44.51162791] ; [126.51162791  43.48837209],1
p10,1,0.000136,14.554563,[108  64] ; [139  32],[123.86005831  48.13994169] ; [123.13994169  47.86005831],1
s4,1,0.000214,13.70806,[ 15 157] ; [ 40 131],[ 27.58017493 144.41982507] ; [ 27.41982507 143.58017493],1
d2,1,0.001222,10.456485,[ 70 103] ; [99 72],[84.99127907 88.00872093] ; [84.00872093 86.99127907],0
p4,1,0.001297,10.347305,[ 59 113] ; [89 84],[73.78550725 98.21449275] ; [74.21449275 98.78550725],0
u1,1,0.0036,8.475458,[ 26 148] ; [ 48 125],[ 37.10662824 136.89337176] ; [ 36.89337176 136.10662824],0
r4,1,0.005011,7.875501,[151  23] ; [165   8],[158.45533141  15.54466859] ; [157.54466859  15.45533141],0
d1,1,0.007817,7.075025,[86 88] ; [110  63],[98.28242075 75.71757925] ; [97.71757925 75.28242075],0
a2,1,0.01043,6.559913,[ 37 137] ; [ 58 115],[ 47.63688761 126.36311239] ; [ 47.36311239 125.63688761],0
p6,1,0.01115,6.441328,[ 28 145] ; [ 47 124],[ 37.71802326 135.28197674] ; [ 37.28197674 133.71802326],0
v4,1,0.01273,6.206247,[155  16] ; [167   5],[160.53061224  10.46938776] ; [161.46938776  10.53061224],0
n5,1,0.013914,6.04907,[105  67] ; [125  45],[115.67251462  56.32748538] ; [114.32748538  55.67251462],0
r3,1,0.016022,5.800412,[159  14] ; [168   4],[163.97391304   9.02608696] ; [163.02608696   8.97391304],0
r2,1,0.018052,5.591088,[161  12] ; [169   3],[165.47826087   7.52173913] ; [164.52173913   7.47826087],0
v1,1,0.022792,5.184325,[ 71 100] ; [90 77],[81.45266272 89.54733728] ; [79.54733728 87.45266272],0
d5,1,0.023809,5.108494,[132  42] ; [147  25],[140.30635838  33.69364162] ; [138.69364162  33.30635838],0
s1,1,0.030485,4.681721,[  5 168] ; [ 14 156],[  9.58309038 163.41690962] ; [  9.41690962 160.58309038],0
n3,1,0.045111,4.014498,[38 19] ; [41  8],[42.48113208 14.51886792] ; [36.51886792 12.48113208],0
p7,1,0.046441,3.965515,[ 65 107] ; [81 86],[74.07669617 97.92330383] ; [71.92330383 95.07669617],0
p3,1,0.052363,3.764126,[ 49 124] ; [ 66 107],[ 57.5 115.5] ; [ 57.5 115.5],0
a4,1,0.052846,3.748796,[75 98] ; [93 80],[84. 89.] ; [84. 89.],0
a3,1,0.059224,3.558984,[114  59] ; [130  43],[122.  51.] ; [122.  51.],0
p5,1,0.059236,3.558641,[ 13 160] ; [  5 164],[  9.10526316 163.89473684] ; [  8.89473684 160.10526316],0
p12,1,0.063391,3.446361,[  6 167] ; [ 14 158],[ 10.02898551 162.97101449] ; [  9.97101449 162.02898551],0
n4,1,0.098553,2.728808,[122  52] ; [134  38],[128.73988439  45.26011561] ; [127.26011561  44.73988439],0
b5,1,0.129368,2.300077,[103  71] ; [116  57],[109.81556196  64.18443804] ; [109.18443804  63.81556196],0
a5,1,0.130643,2.284853,[118  56] ; [130  43],[124.3573487  49.6426513] ; [123.6426513  49.3573487],0
v2,1,0.145589,2.11787,[84 83] ; [95 68],[90.58484848 76.41515152] ; [88.41515152 74.58484848],0
n1,1,0.146827,2.104911,[17 43] ; [20 28],[20.55555556 39.44444444] ; [16.44444444 31.55555556],0
u3,1,0.148234,2.090332,[36 24] ; [31 11],[39.41176471 20.58823529] ; [27.58823529 14.41176471],0
v3,1,0.150308,2.069126,[ 54 114] ; [64 97],[ 60.25531915 107.74468085] ; [ 57.74468085 103.25531915],0
n6,1,0.180673,1.792077,[132  42] ; [139  31],[137.0755814  36.9244186] ; [133.9244186  36.0755814],0
a7,1,0.193351,1.691897,[117  56] ; [128  45],[122.5  50.5] ; [122.5  50.5],0
b4,1,0.209819,1.572673,[112  62] ; [100  73],[106.3054755  67.6945245] ; [105.6945245  67.3054755],0
d4,1,0.316721,1.002438,[139  33] ; [146  26],[142.5  29.5] ; [142.5  29.5],0
n2,1,0.318548,0.994899,[37 23] ; [34 14],[39.44444444 20.55555556] ; [31.55555556 16.44444444],0
a8,1,0.320294,0.987744,[ 17 140] ; [ 23 135],[ 19.93650794 137.06349206] ; [ 20.06349206 137.93650794],0
p11,1,0.3976,0.715573,[123  51] ; [115  58],[119.34293948  54.65706052] ; [118.65706052  54.34293948],0
u4,1,0.406102,0.690184,[  2 172] ; [  4 169],[  3.00864553 170.99135447] ; [  2.99135447 170.00864553],0
p2,1,0.407819,0.685149,[119  54] ; [126  47],[122.5  50.5] ; [122.5  50.5],0
d3,1,0.615691,0.251971,[116  58] ; [119  53],[118.17919075  55.82080925] ; [116.82080925  55.17919075],0
a1,1,0.616976,0.250141,[  9 165] ; [  7 166],[  8.02305476 165.97694524] ; [  7.97694524 165.02305476],0
u2,1,0.627786,0.235075,[34 25] ; [25 15],[35.16161616 23.83838384] ; [23.83838384 16.16161616],0
p1,1,0.628268,0.234417,[  8 165] ; [ 10 163],[  9. 164.] ; [  9. 164.],0
b1,1,0.628651,0.233894,[ 65 109] ; [ 69 104],[ 67.19308357 106.80691643] ; [ 66.80691643 106.19308357],0
a6,1,0.673825,0.17716,[122  52] ; [117  55],[120.19075145  53.80924855] ; [118.80924855  53.19075145],0
b2,1,0.74875,0.102584,[38 67] ; [41 66],[39.12735849 65.87264151] ; [39.87264151 67.12735849],0
b3,1,0.74875,0.102584,[38 67] ; [41 66],[39.12735849 65.87264151] ; [39.87264151 67.12735849],0
