Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.584961,[10 26] ; [63 21],[21.9 14.1] ; [51.1 32.9],1
a5,1,0.000651,11.625172,[15 21] ; [63 22],[23.20661157 12.79338843] ; [54.79338843 30.20661157],1
r1,1,0.00188,9.662822,[21 15] ; [71 13],[27.6  8.4] ; [64.4 19.6],0
d5,1,0.002295,9.297364,[20 16] ; [69 15],[26.7  9.3] ; [62.3 21.7],0
p9,1,0.006416,7.429704,[18 17] ; [63 19],[24.23076923 10.76923077] ; [56.76923077 25.23076923],0
d3,1,0.01123,6.428571,[18 18] ; [62 22],[24. 12.] ; [56. 28.],0
u1,1,0.019104,5.492012,[ 2 34] ; [20 65],[ 6.54545455 29.45454545] ; [15.45454545 69.54545455],0
a2,1,0.029278,4.751178,[ 3 33] ; [22 63],[ 7.43801653 28.56198347] ; [17.56198347 67.43801653],0
s6,1,0.031053,4.65003,[21 13] ; [67 16],[25.57264957  8.42735043] ; [62.42735043 20.57264957],0
r2,1,0.039786,4.22698,[31  5] ; [80  3],[33.57983193  2.42016807] ; [77.42016807  5.57983193],0
r4,1,0.048832,3.881114,[26 10] ; [74 11],[29.75206612  6.24793388] ; [70.24793388 14.75206612],0
s2,1,0.061878,3.486329,[22 14] ; [66 19],[26.18181818  9.81818182] ; [61.81818182 23.18181818],0
v4,1,0.068042,3.329634,[28  7] ; [78  7],[30.91666667  4.08333333] ; [75.08333333  9.91666667],0
b5,1,0.07719,3.1231,[18 18] ; [57 28],[22.31404959 13.68595041] ; [52.68595041 32.31404959],0
n6,1,0.098948,2.722412,[20 15] ; [61 23],[23.82352941 11.17647059] ; [57.17647059 26.82352941],0
p10,1,0.127435,2.323475,[16 19] ; [50 32],[19.74358974 15.25641026] ; [46.25641026 35.74358974],0
p6,1,0.134554,2.239156,[ 8 28] ; [30 53],[11.49579832 24.50420168] ; [26.50420168 56.49579832],0
a3,1,0.14748,2.098125,[19 16] ; [58 27],[22.45833333 12.54166667] ; [54.54166667 30.45833333],0
p2,1,0.152511,2.046957,[22 14] ; [63 22],[25.2892562 10.7107438] ; [59.7107438 25.2892562],0
p3,1,0.181086,1.788691,[18 18] ; [31 53],[14.7 21.3] ; [34.3 49.7],0
r3,1,0.186004,1.74899,[30  6] ; [76  7],[32.06722689  3.93277311] ; [73.93277311  9.06722689],0
d1,1,0.195272,1.677385,[17 19] ; [51 34],[20.23140496 15.76859504] ; [47.76859504 37.23140496],0
s8,1,0.220006,1.50433,[13 23] ; [41 44],[16.0661157 19.9338843] ; [37.9338843 47.0661157],0
b1,1,0.238535,1.389233,[22 14] ; [42 43],[19.04132231 16.95867769] ; [44.95867769 40.04132231],0
s7,1,0.254743,1.297106,[15 15] ; [49 30],[17.6146789 12.3853211] ; [46.3853211 32.6146789],0
d4,1,0.32267,0.978093,[25 10] ; [67 17],[27.05882353  7.94117647] ; [64.94117647 19.05882353],0
b4,1,0.3452,0.891024,[22 14] ; [44 41],[19.63636364 16.36363636] ; [46.36363636 38.63636364],0
p5,1,0.352567,0.864198,[ 5 31] ; [ 7 77],[ 3.6 32.4] ; [ 8.4 75.6],0
s1,1,0.36029,0.836882,[ 2 34] ; [ 9 74],[ 3.32773109 32.67226891] ; [ 7.67226891 75.32773109],0
n1,1,0.413811,0.667826,[9 7] ; [14 18],[7.66666667 8.33333333] ; [15.33333333 16.66666667],0
v3,1,0.57429,0.315557,[11 23] ; [22 59],[ 9.75652174 24.24347826] ; [23.24347826 57.75652174],0
v2,1,0.604591,0.268127,[15 20] ; [38 41],[16.27192982 18.72807018] ; [36.72807018 42.27192982],0
p4,1,0.617058,0.250025,[20 16] ; [43 42],[18.74380165 17.25619835] ; [44.25619835 40.74380165],0
u3,1,0.650014,0.205882,[9 8] ; [15 10],[9.71428571 7.28571429] ; [14.28571429 10.71428571],0
p8,1,0.704049,0.144294,[13 23] ; [27 56],[12.10084034 23.89915966] ; [27.89915966 55.10084034],0
p7,1,0.706692,0.141603,[20 16] ; [43 40],[19.05882353 16.94117647] ; [43.94117647 39.05882353],0
d2,1,0.809401,0.058177,[21 15] ; [47 37],[20.4 15.6] ; [47.6 36.4],0
s4,1,0.814404,0.055107,[ 9 27] ; [23 62],[ 9.52066116 26.47933884] ; [22.47933884 62.52066116],0
u4,1,0.832563,0.044697,[ 1 35] ; [ 3 82],[ 1.19008264 34.80991736] ; [ 2.80991736 82.19008264],0
a8,1,0.838037,0.041782,[ 5 30] ; [12 64],[ 5.36036036 29.63963964] ; [11.63963964 64.36036036],0
a1,1,0.843964,0.03874,[ 2 34] ; [ 4 81],[ 1.78512397 34.21487603] ; [ 4.21487603 80.78512397],0
u2,1,0.845006,0.038218,[8 9] ; [11 14],[7.69047619 9.30952381] ; [11.30952381 13.69047619],0
p12,1,0.852073,0.034773,[ 1 34] ; [ 3 82],[ 1.16666667 33.83333333] ; [ 2.83333333 82.16666667],0
s5,1,0.853143,0.034265,[14 21] ; [29 47],[13.55855856 21.44144144] ; [29.44144144 46.55855856],0
b2,1,0.859357,0.031397,[ 6 15] ; [12 27],[ 6.3 14.7] ; [11.7 27.3],0
b3,1,0.859357,0.031397,[ 6 15] ; [12 27],[ 6.3 14.7] ; [11.7 27.3],0
n3,1,0.917021,0.010855,[11  4] ; [23  9],[10.85106383  4.14893617] ; [23.14893617  8.85106383],0
p1,1,0.954444,0.003263,[ 5 31] ; [12 72],[ 5.1 30.9] ; [11.9 72.1],0
n5,1,0.958643,0.002689,[22 13] ; [53 32],[21.875 13.125] ; [53.125 31.875],0
a4,1,0.960073,0.002506,[15 21] ; [35 50],[14.87603306 21.12396694] ; [35.12396694 49.87603306],0
v1,1,0.962082,0.00226,[16 19] ; [38 46],[15.88235294 19.11764706] ; [38.11764706 45.88235294],0
n4,1,0.980441,0.000601,[22 13] ; [53 31],[22.05882353 12.94117647] ; [52.94117647 31.05882353],0
n2,1,1.0,0.0,[12  4] ; [24  8],[12.  4.] ; [24.  8.],0
