Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,22.009456,[17 30] ; [40  8],[28.2 18.8] ; [28.8 19.2],1
p9,1,2.1e-05,18.082247,[12 32] ; [35 14],[22.23655914 21.76344086] ; [24.76344086 24.23655914],1
p7,1,3.4e-05,17.170251,[ 4 41] ; [23 25],[13.06451613 31.93548387] ; [13.93548387 34.06451613],1
p11,1,6.7e-05,15.89361,[12 36] ; [32 17],[21.77319588 26.22680412] ; [22.22680412 26.77319588],1
d2,1,0.000101,15.109792,[27 20] ; [ 9 39],[17.81052632 29.18947368] ; [18.18947368 29.81052632],1
p10,1,0.001899,9.644323,[14 33] ; [29 18],[21.5 25.5] ; [21.5 25.5],0
p4,1,0.001991,9.558086,[ 6 41] ; [20 29],[12.72916667 34.27083333] ; [13.27083333 35.72916667],0
p6,1,0.002591,9.075376,[ 1 45] ; [11 37],[ 5.87234043 40.12765957] ; [ 6.12765957 41.87234043],0
s6,1,0.004308,8.149345,[ 5 43] ; [17 32],[10.88659794 37.11340206] ; [11.11340206 37.88659794],0
n6,1,0.00588,7.586683,[19 27] ; [34 15],[25.66315789 20.33684211] ; [27.33684211 21.66315789],0
p3,1,0.006588,7.381906,[ 4 43] ; [15 34],[ 9.30208333 37.69791667] ; [ 9.69791667 39.30208333],0
p8,1,0.006705,7.350413,[ 6 41] ; [18 31],[11.75 35.25] ; [12.25 36.75],0
r3,1,0.007114,7.243958,[15 32] ; [28 19],[21.5 25.5] ; [21.5 25.5],0
a1,1,0.013052,6.162063,[ 8 40] ; [ 1 48],[ 4.45360825 43.54639175] ; [ 4.54639175 44.45360825],0
d1,1,0.013708,6.07538,[21 27] ; [10 39],[15.34020619 32.65979381] ; [15.65979381 33.34020619],0
a5,1,0.033056,4.542895,[29 19] ; [19 30],[23.75257732 24.24742268] ; [24.24742268 24.75257732],0
n3,1,0.040004,4.217695,[10 16] ; [15  7],[13.54166667 12.45833333] ; [11.45833333 10.54166667],0
s1,1,0.04334,4.082095,[ 6 41] ; [ 1 48],[ 3.42708333 43.57291667] ; [ 3.57291667 45.42708333],0
n5,1,0.044367,4.042553,[33 14] ; [24 24],[28.2 18.8] ; [28.8 19.2],0
v1,1,0.044453,4.039257,[10 37] ; [19 28],[14.5 32.5] ; [14.5 32.5],0
u2,1,0.064777,3.410644,[ 5 14] ; [14 12],[ 8.02222222 10.97777778] ; [10.97777778 15.02222222],0
b3,1,0.068208,3.325621,[17 18] ; [ 6 18],[13.6440678 21.3559322] ; [ 9.3559322 14.6440678],0
b2,1,0.068208,3.325621,[17 18] ; [ 6 18],[13.6440678 21.3559322] ; [ 9.3559322 14.6440678],0
a4,1,0.098474,2.730081,[20 27] ; [13 36],[16.15625 30.84375] ; [16.84375 32.15625],0
a2,1,0.101532,2.681308,[ 8 40] ; [ 3 46],[ 5.44329897 42.55670103] ; [ 5.55670103 43.44329897],0
a3,1,0.120943,2.40507,[29 18] ; [22 26],[25.23157895 21.76842105] ; [25.76842105 22.23157895],0
b5,1,0.127452,2.323271,[20 28] ; [28 21],[23.75257732 24.24742268] ; [24.24742268 24.75257732],0
p1,1,0.170647,1.877247,[ 7 41] ; [ 3 46],[ 4.94845361 43.05154639] ; [ 5.05154639 43.94845361],0
a8,1,0.175348,1.836615,[ 4 41] ; [ 1 43],[ 2.52808989 42.47191011] ; [ 2.47191011 41.52808989],0
a6,1,0.188081,1.732585,[25 23] ; [19 30],[21.77319588 26.22680412] ; [22.22680412 26.77319588],0
n4,1,0.204675,1.608699,[30 17] ; [25 24],[26.92708333 20.07291667] ; [28.07291667 20.92708333],0
n1,1,0.247349,1.338213,[13 14] ; [ 7 15],[11.02040816 15.97959184] ; [ 8.97959184 13.02040816],0
s5,1,0.33641,0.924064,[ 4 44] ; [ 7 41],[ 5.5 42.5] ; [ 5.5 42.5],0
v3,1,0.369736,0.80455,[10 37] ; [ 7 42],[ 8.32291667 38.67708333] ; [ 8.67708333 40.32291667],0
s7,1,0.40787,0.685,[ 8 38] ; [11 34],[ 9.6043956 36.3956044] ; [ 9.3956044 35.6043956],0
u1,1,0.44208,0.590877,[ 5 43] ; [ 3 46],[ 3.95876289 44.04123711] ; [ 4.04123711 44.95876289],0
r1,1,0.442868,0.588841,[12 35] ; [16 33],[13.70833333 33.29166667] ; [14.29166667 34.70833333],0
n2,1,0.445209,0.582821,[13 14] ; [13  9],[14.32653061 12.67346939] ; [11.67346939 10.32653061],0
d5,1,0.459282,0.547644,[30 18] ; [27 22],[28.20618557 19.79381443] ; [28.79381443 20.20618557],0
p5,1,0.498311,0.458532,[ 3 44] ; [ 5 44],[ 3.91666667 43.08333333] ; [ 4.08333333 44.91666667],0
s8,1,0.526456,0.401228,[ 4 44] ; [ 6 43],[ 4.94845361 43.05154639] ; [ 5.05154639 43.94845361],0
d4,1,0.529274,0.395786,[31 17] ; [28 20],[29.5 18.5] ; [29.5 18.5],0
d3,1,0.539498,0.376471,[21 27] ; [24 24],[22.5 25.5] ; [22.5 25.5],0
p12,1,0.55748,0.344086,[ 1 47] ; [ 2 46],[ 1.5 46.5] ; [ 1.5 46.5],0
s4,1,0.562832,0.334824,[ 5 43] ; [ 7 42],[ 5.93814433 42.06185567] ; [ 6.06185567 42.93814433],0
v2,1,0.643811,0.213793,[13 32] ; [16 32],[14.03225806 30.96774194] ; [14.96774194 33.03225806],0
r2,1,0.658319,0.195572,[25 19] ; [24 22],[23.95555556 20.04444444] ; [25.04444444 20.95555556],0
a7,1,0.762019,0.091706,[24 23] ; [26 22],[24.73684211 22.26315789] ; [25.26315789 22.73684211],0
b4,1,0.771544,0.084306,[28 20] ; [30 19],[28.70103093 19.29896907] ; [29.29896907 19.70103093],0
s3,1,0.797305,0.065965,[10 37] ; [ 9 38],[ 9.5 37.5] ; [ 9.5 37.5],0
b1,1,0.913082,0.011914,[26 22] ; [26 23],[25.73195876 22.26804124] ; [26.26804124 22.73195876],0
u3,1,0.963708,0.00207,[ 5 14] ; [ 7 19],[ 5.06666667 13.93333333] ; [ 6.93333333 19.06666667],0
