Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,44.845692,[165  69] ; [ 84 131],[129.76837416 104.23162584] ; [119.23162584  95.76837416],1
v3,1,0.0,26.598294,[114 118] ; [ 57 165],[ 87.38325991 144.61674009] ; [ 83.61674009 138.38325991],1
p4,1,0.000111,14.938819,[158  84] ; [107 118],[137.32334047 104.67665953] ; [127.67665953  97.32334047],1
n5,1,0.000196,13.869604,[201  41] ; [153  71],[183.83690987  58.16309013] ; [170.16309013  53.83690987],1
p3,1,0.00067,11.570341,[128 113] ; [ 85 142],[109.68589744 131.31410256] ; [103.31410256 123.68589744],1
r1,1,0.002587,9.07797,[199  44] ; [159  68],[185.09361702  57.90638298] ; [172.90638298  54.09361702],0
p10,1,0.006695,7.352935,[223  19] ; [190  36],[213.55982906  28.44017094] ; [199.44017094  26.55982906],0
p6,1,0.010921,6.478074,[ 89 149] ; [ 59 165],[ 76.24242424 161.75757576] ; [ 71.75757576 152.24242424],0
r2,1,0.012457,6.244646,[229  11] ; [200  24],[221.89655172  18.10344828] ; [207.10344828  16.89655172],0
s6,1,0.013993,6.03905,[152  90] ; [116 109],[138.87794433 103.12205567] ; [129.12205567  95.87794433],0
p2,1,0.025893,4.963136,[213  27] ; [184  42],[204.46351931  35.53648069] ; [192.53648069  33.46351931],0
u3,1,0.041381,4.160352,[41 31] ; [27 41],[34.97142857 37.02857143] ; [33.02857143 34.97142857],0
p11,1,0.052814,3.7498,[210  33] ; [181  46],[202.15531915  40.84468085] ; [188.84468085  38.15531915],0
n4,1,0.054686,3.691625,[192  51] ; [162  65],[183.02553191  59.97446809] ; [170.97446809  56.02553191],0
b2,1,0.057313,3.613473,[61 98] ; [33 87],[ 53.56989247 105.43010753] ; [40.43010753 79.56989247],0
b3,1,0.057313,3.613473,[61 98] ; [33 87],[ 53.56989247 105.43010753] ; [40.43010753 79.56989247],0
p7,1,0.059419,3.553521,[154  81] ; [127  96],[144.18122271  90.81877729] ; [136.81877729  86.18122271],0
s4,1,0.06149,3.496724,[ 21 221] ; [ 32 194],[ 27.40598291 214.59401709] ; [ 25.59401709 200.40598291],0
p8,1,0.064322,3.422284,[131 106] ; [105 120],[121.06493506 115.93506494] ; [114.93506494 110.06493506],0
p12,1,0.104187,2.640249,[ 18 223] ; [  9 218],[ 13.90384615 227.09615385] ; [ 13.09615385 213.90384615],0
b5,1,0.10659,2.604066,[163  80] ; [136  91],[154.5893617  88.4106383] ; [144.4106383  82.5893617],0
u4,1,0.113957,2.498465,[  7 236] ; [  2 225],[  4.65319149 238.34680851] ; [  4.34680851 222.65319149],0
s8,1,0.120546,2.410207,[100 142] ; [ 78 149],[ 91.84648188 150.15351812] ; [ 86.15351812 140.84648188],0
r4,1,0.128215,2.313987,[217  26] ; [192  35],[211.46170213  31.53829787] ; [197.53829787  29.46170213],0
n6,1,0.158297,1.990423,[205  37] ; [181  46],[199.17270789  42.82729211] ; [186.82729211  40.17270789],0
s7,1,0.161262,1.962351,[103 129] ; [ 83 136],[ 95.68070953 136.31929047] ; [ 90.31929047 128.68070953],0
p5,1,0.176119,1.830075,[ 19 221] ; [ 11 216],[ 15.41755889 224.58244111] ; [ 14.58244111 212.41755889],0
p1,1,0.183752,1.767014,[ 19 223] ; [ 11 216],[ 15.47974414 226.52025586] ; [ 14.52025586 212.47974414],0
