Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.320503,[102  22] ; [ 7 24],[87.2 36.8] ; [21.8  9.2],1
r3,1,0.0,35.059154,[112  11] ; [14 17],[100.63636364  22.36363636] ; [25.36363636  5.63636364],1
r2,1,2e-06,22.272072,[113  10] ; [18 13],[104.62987013  18.37012987] ; [26.37012987  4.62987013],1
p2,1,5.9e-05,16.145833,[74 50] ; [ 6 25],[64. 60.] ; [16. 15.],1
r1,1,0.000165,14.193314,[98 26] ; [14 17],[89.6 34.4] ; [22.4  8.6],1
n6,1,0.000621,11.711156,[87 37] ; [11 19],[78.90909091 45.09090909] ; [19.09090909 10.90909091],1
u3,1,0.000749,11.364623,[28 22] ; [ 1 14],[22.30769231 27.69230769] ; [6.69230769 8.30769231],1
p11,1,0.002271,9.316517,[70 54] ; [ 8 23],[62.4 61.6] ; [15.6 15.4],0
p7,1,0.014081,6.027993,[61 60] ; [ 8 23],[54.92763158 66.07236842] ; [14.07236842 16.92763158],0
s8,1,0.033567,4.516619,[29 94] ; [ 2 29],[24.75974026 98.24025974] ; [ 6.24025974 24.75974026],0
n2,1,0.047291,3.935009,[29 13] ; [6 9],[25.78947368 16.21052632] ; [9.21052632 5.78947368],0
n3,1,0.048389,3.896415,[27 14] ; [5 9],[23.85454545 17.14545455] ; [8.14545455 5.85454545],0
d5,1,0.056013,3.651674,[90 34] ; [17 14],[85.6 38.4] ; [21.4  9.6],0
v2,1,0.070052,3.281811,[57 64] ; [ 9 22],[52.53947368 68.46052632] ; [13.46052632 17.53947368],0
p8,1,0.07826,3.100672,[41 83] ; [ 5 25],[37.03896104 86.96103896] ; [ 8.96103896 21.03896104],0
u2,1,0.084723,2.971894,[25 23] ; [ 4 11],[22.0952381 25.9047619] ; [6.9047619 8.0952381],0
p10,1,0.08505,2.96566,[34 88] ; [ 4 27],[30.30065359 91.69934641] ; [ 7.69934641 23.30065359],0
a5,1,0.086722,2.934195,[77 47] ; [14 17],[72.8 51.2] ; [18.2 12.8],0
a1,1,0.102101,2.672414,[  6 118] ; [ 4 27],[  8. 116.] ; [ 2. 29.],0
s6,1,0.109032,2.568189,[51 72] ; [ 8 23],[47.12337662 75.87662338] ; [11.87662338 19.12337662],0
v3,1,0.112326,2.521193,[41 79] ; [ 6 25],[37.35099338 82.64900662] ; [ 9.64900662 21.35099338],0
v1,1,0.127522,2.32242,[46 78] ; [ 7 24],[42.4 81.6] ; [10.6 20.4],0
p4,1,0.162338,1.952316,[48 74] ; [ 8 23],[44.65359477 77.34640523] ; [11.34640523 19.65359477],0
a7,1,0.167911,1.901492,[80 43] ; [16 15],[76.67532468 46.32467532] ; [19.32467532 11.67532468],0
s2,1,0.176523,1.826656,[39 84] ; [ 6 25],[35.94155844 87.05844156] ; [ 9.05844156 21.94155844],0
p6,1,0.178633,1.808961,[25 96] ; [ 3 27],[22.43708609 98.56291391] ; [ 5.56291391 24.43708609],0
a6,1,0.185699,1.751412,[80 44] ; [16 15],[76.8 47.2] ; [19.2 11.8],0
s7,1,0.237247,1.396881,[33 85] ; [ 5 24],[30.50340136 87.49659864] ; [ 7.49659864 21.50340136],0
p3,1,0.257981,1.279558,[36 86] ; [ 6 25],[33.49019608 88.50980392] ; [ 8.50980392 22.49019608],0
s3,1,0.26202,1.258054,[51 73] ; [ 9 21],[48.31168831 75.68831169] ; [11.68831169 18.31168831],0
p12,1,0.288953,1.124491,[  1 122] ; [ 1 30],[  1.5974026 121.4025974] ; [ 0.4025974 30.5974026],0
b5,1,0.334298,0.932175,[68 56] ; [14 17],[65.6 58.4] ; [16.4 14.6],0
d3,1,0.374055,0.79015,[71 53] ; [15 16],[68.8 55.2] ; [17.2 13.8],0
d2,1,0.442534,0.589702,[56 67] ; [16 14],[57.88235294 65.11764706] ; [14.11764706 15.88235294],0
n4,1,0.49621,0.463032,[84 40] ; [19 12],[82.4 41.6] ; [20.6 10.4],0
a2,1,0.518979,0.415921,[ 22 102] ; [ 4 27],[ 20.8 103.2] ; [ 5.2 25.8],0
a3,1,0.526937,0.400294,[74 50] ; [16 14],[72.46753247 51.53246753] ; [17.53246753 12.46753247],0
b1,1,0.571036,0.320952,[71 53] ; [16 15],[69.6 54.4] ; [17.4 13.6],0
s1,1,0.67054,0.180971,[  9 113] ; [ 3 28],[  9.56862745 112.43137255] ; [ 2.43137255 28.56862745],0
b2,1,0.673432,0.177613,[24 52] ; [ 8 14],[24.81632653 51.18367347] ; [ 7.18367347 14.81632653],0
b3,1,0.673432,0.177613,[24 52] ; [ 8 14],[24.81632653 51.18367347] ; [ 7.18367347 14.81632653],0
p5,1,0.722442,0.126165,[  6 118] ; [ 1 29],[  5.63636364 118.36363636] ; [ 1.36363636 28.63636364],0
n1,1,0.73137,0.117857,[14 26] ; [6 9],[14.54545455 25.45454545] ; [5.45454545 9.54545455],0
b4,1,0.740756,0.109463,[76 48] ; [20 11],[76.8 47.2] ; [19.2 11.8],0
p1,1,0.78182,0.0767,[ 10 113] ; [ 3 28],[ 10.38311688 112.61688312] ; [ 2.61688312 28.38311688],0
a4,1,0.802088,0.062823,[44 79] ; [10 20],[43.41176471 79.58823529] ; [10.58823529 19.41176471],0
d1,1,0.808163,0.05895,[55 69] ; [13 18],[54.4 69.6] ; [13.6 17.4],0
d4,1,0.877474,0.023769,[89 34] ; [22  9],[88.65584416 34.34415584] ; [22.34415584  8.65584416],0
s5,1,0.885888,0.020595,[ 21 101] ; [ 5 26],[ 20.73202614 101.26797386] ; [ 5.26797386 25.73202614],0
n5,1,0.935594,0.00653,[69 55] ; [17 14],[68.8 55.2] ; [17.2 13.8],0
a8,1,0.984977,0.000355,[ 11 104] ; [ 3 28],[ 11.02739726 103.97260274] ; [ 2.97260274 28.02739726],0
