Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.9e-05,18.323543,[19 91] ; [15 11],[27.5 82.5] ; [ 6.5 19.5],1
p6,1,0.011208,6.431959,[ 10 103] ; [ 7 19],[13.82014388 99.17985612] ; [ 3.17985612 22.82014388],0
p8,1,0.012579,6.227409,[ 13 101] ; [ 8 18],[17.1 96.9] ; [ 3.9 22.1],0
s5,1,0.014304,6.000204,[17 92] ; [ 9 15],[21.30827068 87.69172932] ; [ 4.69172932 19.30827068],0
n4,1,0.027595,4.853173,[70 43] ; [22  4],[74.79136691 38.20863309] ; [17.20863309  8.79136691],0
s3,1,0.046269,3.971777,[40 70] ; [15 11],[44.48529412 65.51470588] ; [10.51470588 15.48529412],0
v2,1,0.061654,3.492325,[39 65] ; [15 11],[43.2 60.8] ; [10.8 15.2],0
p10,1,0.074356,3.184139,[51 60] ; [17  9],[55.09489051 55.90510949] ; [12.90510949 13.09489051],0
u2,1,0.074551,3.179858,[22 21] ; [2 8],[19.47169811 23.52830189] ; [4.52830189 5.47169811],0
v4,1,0.075507,3.159042,[81 32] ; [23  3],[84.54676259 28.45323741] ; [19.45323741  6.54676259],0
r2,1,0.082123,3.022368,[91 19] ; [25  1],[93.82352941 16.17647059] ; [22.17647059  3.82352941],0
r4,1,0.086171,2.94449,[72 42] ; [21  5],[75.72857143 38.27142857] ; [17.27142857  8.72857143],0
n3,1,0.093716,2.80936,[25 23] ; [6 1],[27.05454545 20.94545455] ; [3.94545455 3.05454545],0
s2,1,0.140138,2.176442,[35 78] ; [12 14],[38.20863309 74.79136691] ; [ 8.79136691 17.20863309],0
r3,1,0.201869,1.628801,[82 31] ; [22  4],[84.54676259 28.45323741] ; [19.45323741  6.54676259],0
n2,1,0.242948,1.363409,[33 19] ; [6 1],[34.37288136 17.62711864] ; [4.62711864 2.37288136],0
d3,1,0.247554,1.337054,[62 51] ; [11 15],[59.34532374 53.65467626] ; [13.65467626 12.34532374],0
a5,1,0.252699,1.30832,[65 49] ; [18  8],[67.58571429 46.41428571] ; [15.41428571 10.58571429],0
a1,1,0.289577,1.121587,[ 12 102] ; [ 1 25],[ 10.58571429 103.41428571] ; [ 2.41428571 23.58571429],0
s8,1,0.306193,1.047024,[28 85] ; [ 9 17],[30.07913669 82.92086331] ; [ 6.92086331 19.07913669],0
p1,1,0.310478,1.02864,[ 10 104] ; [ 4 22],[ 11.4 102.6] ; [ 2.6 23.4],0
s7,1,0.386712,0.749255,[35 73] ; [10 14],[36.81818182 71.18181818] ; [ 8.18181818 15.81818182],0
s6,1,0.456499,0.554464,[47 65] ; [13 13],[48.69565217 63.30434783] ; [11.30434783 14.69565217],0
b2,1,0.482357,0.493529,[27 43] ; [ 5 12],[25.74712644 44.25287356] ; [ 6.25287356 10.74712644],0
b3,1,0.482357,0.493529,[27 43] ; [ 5 12],[25.74712644 44.25287356] ; [ 6.25287356 10.74712644],0
u1,1,0.506959,0.440338,[ 14 100] ; [ 2 24],[ 13.02857143 100.97142857] ; [ 2.97142857 23.02857143],0
v1,1,0.518828,0.416223,[36 77] ; [10 16],[37.39568345 75.60431655] ; [ 8.60431655 17.39568345],0
s4,1,0.526058,0.401999,[20 93] ; [ 6 20],[21.13669065 91.86330935] ; [ 4.86330935 21.13669065],0
n5,1,0.539877,0.375767,[71 42] ; [18  8],[72.35251799 40.64748201] ; [16.64748201  9.35251799],0
n6,1,0.539877,0.375767,[71 42] ; [18  8],[72.35251799 40.64748201] ; [16.64748201  9.35251799],0
p11,1,0.550938,0.35564,[54 60] ; [14 12],[55.37142857 58.62857143] ; [12.62857143 13.37142857],0
p9,1,0.564486,0.331995,[55 52] ; [15 11],[56.31578947 50.68421053] ; [13.68421053 12.31578947],0
a2,1,0.576355,0.312165,[23 91] ; [ 4 22],[21.98571429 92.01428571] ; [ 5.01428571 20.98571429],0
n1,1,0.584649,0.29878,[24 28] ; [4 3],[24.6779661 27.3220339] ; [3.3220339 3.6779661],0
u3,1,0.614092,0.254259,[21 22] ; [4 6],[20.28301887 22.71698113] ; [4.71698113 5.28301887],0
a6,1,0.708061,0.140221,[65 48] ; [16 10],[65.84892086 47.15107914] ; [15.15107914 10.84892086],0
b5,1,0.733592,0.115839,[66 48] ; [16 10],[66.77142857 47.22857143] ; [15.22857143 10.77142857],0
r1,1,0.743956,0.10668,[70 43] ; [17  9],[70.72661871 42.27338129] ; [16.27338129  9.72661871],0
v3,1,0.755259,0.097165,[33 72] ; [ 9 17],[33.66412214 71.33587786] ; [ 8.33587786 17.66412214],0
a8,1,0.76717,0.087662,[11 99] ; [ 3 22],[11.40740741 98.59259259] ; [ 2.59259259 22.40740741],0
d4,1,0.816861,0.053631,[80 33] ; [19  7],[80.48201439 32.51798561] ; [18.51798561  7.48201439],0
s1,1,0.840273,0.04062,[ 10 102] ; [ 2 24],[  9.73913043 102.26086957] ; [ 2.26086957 23.73913043],0
a4,1,0.842126,0.039671,[45 67] ; [11 15],[45.44927536 66.55072464] ; [10.55072464 15.44927536],0
a3,1,0.859918,0.031145,[71 41] ; [16 10],[70.60869565 41.39130435] ; [16.39130435  9.60869565],0
b1,1,0.871689,0.026086,[59 55] ; [13 13],[58.62857143 55.37142857] ; [13.37142857 12.62857143],0
d5,1,0.873062,0.025527,[72 41] ; [17  9],[72.35251799 40.64748201] ; [16.64748201  9.35251799],0
d2,1,0.889068,0.019456,[51 61] ; [11 14],[50.68613139 61.31386861] ; [11.31386861 13.68613139],0
a7,1,0.898147,0.016385,[68 45] ; [16 10],[68.28776978 44.71223022] ; [15.71223022 10.28776978],0
p5,1,0.939715,0.00572,[  4 109] ; [ 1 25],[  4.0647482 108.9352518] ; [ 0.9352518 25.0647482],0
d1,1,0.960234,0.002486,[52 62] ; [12 14],[52.11428571 61.88571429] ; [11.88571429 14.11428571],0
b4,1,0.984951,0.000356,[66 48] ; [15 11],[65.95714286 48.04285714] ; [15.04285714 10.95714286],0
