Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5e-06,21.029331,[85 23] ; [10 19],[74.89051095 33.10948905] ; [20.10948905  8.89051095],1
d4,1,2.5e-05,17.780334,[95 14] ; [15 14],[86.88405797 22.11594203] ; [23.11594203  5.88405797],1
a5,1,3.1e-05,17.354075,[85 24] ; [11 18],[75.82608696 33.17391304] ; [20.17391304  8.82608696],1
a4,1,5.7e-05,16.189016,[62 47] ; [ 4 24],[52.51094891 56.48905109] ; [13.48905109 14.51094891],1
a3,1,6.4e-05,15.976382,[83 25] ; [10 17],[74.4 33.6] ; [18.6  8.4],1
r1,1,6.8e-05,15.854725,[88 20] ; [13 16],[79.62043796 28.37956204] ; [21.37956204  7.62043796],1
r2,1,0.000133,14.597647,[105   2] ; [23  6],[100.70588235   6.29411765] ; [27.29411765  1.70588235],1
d2,1,0.000192,13.907131,[65 44] ; [ 6 23],[56.07971014 52.92028986] ; [14.92028986 14.07971014],1
a6,1,0.0005,12.114993,[76 33] ; [10 19],[67.92753623 41.07246377] ; [18.07246377 10.92753623],1
r4,1,0.001025,10.781573,[96 13] ; [18 11],[90.04347826 18.95652174] ; [23.95652174  5.04347826],0
s6,1,0.001585,9.976989,[80 26] ; [13 16],[73.02222222 32.97777778] ; [19.97777778  9.02222222],0
a2,1,0.002274,9.314263,[34 75] ; [ 1 28],[27.64492754 81.35507246] ; [ 7.35507246 21.64492754],0
v2,1,0.002584,9.080187,[58 46] ; [ 7 22],[50.82706767 53.17293233] ; [14.17293233 14.82706767],0
a7,1,0.003325,8.620209,[86 23] ; [15 14],[79.77536232 29.22463768] ; [21.22463768  7.77536232],0
n3,1,0.006134,7.510395,[33  7] ; [4 6],[29.6 10.4] ; [7.4 2.6],0
p3,1,0.01006,6.624239,[51 57] ; [ 6 23],[44.93430657 63.06569343] ; [12.06569343 16.93430657],0
s8,1,0.011326,6.413513,[55 54] ; [ 7 22],[48.97101449 60.02898551] ; [13.02898551 15.97101449],0
s4,1,0.035753,4.408867,[27 82] ; [ 2 27],[22.9057971 86.0942029] ; [ 6.0942029 22.9057971],0
v4,1,0.066105,3.377186,[102   7] ; [24  5],[99.52173913  9.47826087] ; [26.47826087  2.52173913],0
s5,1,0.069504,3.294688,[44 56] ; [ 7 21],[39.84375 60.15625] ; [11.15625 16.84375],0
p7,1,0.08274,3.010248,[60 47] ; [11 18],[55.86029412 51.13970588] ; [15.13970588 13.86029412],0
p10,1,0.085715,2.953065,[87 21] ; [19 10],[83.5620438 24.4379562] ; [22.4379562  6.5620438],0
v3,1,0.096771,2.757976,[39 66] ; [ 6 23],[35.26119403 69.73880597] ; [ 9.73880597 19.26119403],0
n1,1,0.101594,2.680342,[19 20] ; [2 8],[16.71428571 22.28571429] ; [4.28571429 5.71428571],0
u2,1,0.112206,2.522879,[13 12] ; [ 5 13],[10.46511628 14.53488372] ; [ 7.53488372 10.46511628],0
p6,1,0.119472,2.424223,[43 65] ; [ 7 22],[39.41605839 68.58394161] ; [10.58394161 18.41605839],0
r3,1,0.127644,2.320921,[97 11] ; [23  6],[94.59854015 13.40145985] ; [25.40145985  3.59854015],0
n4,1,0.129843,2.294379,[75 32] ; [16 13],[71.59558824 35.40441176] ; [19.40441176  9.59558824],0
b1,1,0.136828,2.213273,[47 62] ; [17 12],[50.55072464 58.44927536] ; [13.44927536 15.55072464],0
a1,1,0.145426,2.119582,[  4 105] ; [ 3 26],[  5.52898551 103.47101449] ; [ 1.47101449 27.52898551],0
p4,1,0.174653,1.842548,[60 48] ; [12 17],[56.75912409 51.24087591] ; [15.24087591 13.75912409],0
n6,1,0.184314,1.762493,[82 25] ; [18 10],[79.25925926 27.74074074] ; [20.74074074  7.25925926],0
s7,1,0.194452,1.683564,[59 42] ; [13 16],[55.93846154 45.06153846] ; [16.06153846 12.93846154],0
s2,1,0.233989,1.416446,[66 43] ; [14 15],[63.1884058 45.8115942] ; [16.8115942 12.1884058],0
s1,1,0.249551,1.325814,[  5 102] ; [ 3 26],[  6.29411765 100.70588235] ; [ 1.70588235 27.29411765],0
b4,1,0.271896,1.207159,[65 44] ; [14 15],[62.39855072 46.60144928] ; [16.60144928 12.39855072],0
u3,1,0.454555,0.559269,[14 11] ; [ 8 10],[12.79069767 12.20930233] ; [9.20930233 8.79069767],0
b5,1,0.663712,0.189045,[76 33] ; [19 10],[75.03623188 33.96376812] ; [19.96376812  9.03623188],0
p8,1,0.675915,0.174761,[38 70] ; [ 9 20],[37.05109489 70.94890511] ; [ 9.94890511 19.05109489],0
p5,1,0.7337,0.115741,[ 9 99] ; [ 3 26],[ 9.45985401 98.54014599] ; [ 2.54014599 26.45985401],0
b2,1,0.759683,0.093573,[16 36] ; [ 4 11],[15.52238806 36.47761194] ; [ 4.47761194 10.52238806],0
b3,1,0.759683,0.093573,[16 36] ; [ 4 11],[15.52238806 36.47761194] ; [ 4.47761194 10.52238806],0
s3,1,0.839309,0.041119,[64 44] ; [16 12],[63.52941176 44.47058824] ; [16.47058824 11.52941176],0
a8,1,0.853089,0.034291,[13 84] ; [ 3 22],[12.72131148 84.27868852] ; [ 3.27868852 21.72131148],0
n5,1,0.857204,0.032376,[72 35] ; [19 10],[71.59558824 35.40441176] ; [19.40441176  9.59558824],0
n2,1,0.874862,0.024802,[29 11] ; [7 3],[28.8 11.2] ; [7.2 2.8],0
v1,1,0.896617,0.016883,[53 56] ; [14 14],[53.30656934 55.69343066] ; [13.69343066 14.30656934],0
p2,1,0.910941,0.012511,[83 25] ; [22  7],[82.77372263 25.22627737] ; [22.22627737  6.77372263],0
p1,1,0.979895,0.000635,[11 97] ; [ 3 26],[11.03649635 96.96350365] ; [ 2.96350365 26.03649635],0
