Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,56.151851,[129 186] ; [121  35],[167.19745223 147.80254777] ; [82.80254777 73.19745223],1
s6,1,0.0,46.576343,[190 127] ; [142  15],[222.03375527  94.96624473] ; [109.96624473  47.03375527],1
s7,1,0.0,38.088117,[122 180] ; [105  42],[152.68151448 149.31848552] ; [74.31848552 72.68151448],1
p5,1,0.0,34.024685,[ 19 296] ; [ 39 119],[ 38.62579281 276.37420719] ; [ 19.37420719 138.62579281],1
s8,1,0.0,32.863404,[110 207] ; [97 58],[139.02330508 177.97669492] ; [67.97669492 87.02330508],1
s3,1,2e-06,22.677456,[157 157] ; [112  41],[180.86937901 133.13062099] ; [88.13062099 64.86937901],1
p6,1,6.6e-05,15.920426,[102 214] ; [80 76],[121.84745763 194.15254237] ; [60.15254237 95.84745763],1
p12,1,0.000499,12.120122,[ 19 298] ; [ 25 133],[ 29.36421053 287.63578947] ; [ 14.63578947 143.36421053],1
p7,1,0.000924,10.973834,[189 122] ; [116  36],[204.87041037 106.12958963] ; [100.12958963  51.87041037],1
p9,1,0.000976,10.872286,[262  53] ; [145   9],[273.35820896  41.64179104] ; [133.64179104  20.35820896],1
a3,1,0.001248,10.418265,[217  98] ; [130  27],[231.57838983  83.42161017] ; [115.42161017  41.57838983],0
a5,1,0.001289,10.35823,[232  86] ; [136  22],[245.8487395  72.1512605] ; [122.1512605  35.8487395],0
s4,1,0.00164,9.914156,[ 35 280] ; [ 34 120],[ 46.34328358 268.65671642] ; [ 22.65671642 131.34328358],0
p10,1,0.001698,9.850157,[257  59] ; [144  12],[268.46610169  47.53389831] ; [132.53389831  23.46610169],0
p1,1,0.00372,8.415668,[ 22 296] ; [ 24 133],[ 30.79578947 287.20421053] ; [ 15.20421053 141.79578947],0
p4,1,0.003829,8.363032,[193 125] ; [115  40],[207.06976744 110.93023256] ; [100.93023256  54.06976744],0
p3,1,0.005527,7.698451,[153 164] ; [97 60],[167.19409283 149.80590717] ; [82.80590717 74.19409283],0
r4,1,0.005896,7.581929,[288  30] ; [154   4],[295.28571429  22.71428571] ; [146.71428571  11.28571429],0
n6,1,0.006335,7.452445,[274  42] ; [149   8],[282.5961945  33.4038055] ; [140.4038055  16.5961945],0
p8,1,0.00744,7.16365,[160 151] ; [100  55],[173.5193133 137.4806867] ; [86.4806867 68.5193133],0
u1,1,0.008569,6.910545,[ 64 254] ; [ 49 109],[ 75.49159664 242.50840336] ; [ 37.50840336 120.49159664],0
r2,1,0.018755,5.524182,[298  19] ; [155   2],[302.9556962  14.0443038] ; [150.0443038   6.9556962],0
v1,1,0.020125,5.401026,[168 141] ; [103  54],[179.69742489 129.30257511] ; [91.30257511 65.69742489],0
d1,1,0.030357,4.688985,[189 129] ; [110  48],[199.75210084 118.24789916] ; [99.24789916 58.75210084],0
v3,1,0.031703,4.614512,[117 189] ; [75 79],[127.72173913 178.27826087] ; [64.27826087 89.72173913],0
n2,1,0.052461,3.760997,[46 16] ; [30  3],[49.6 12.4] ; [26.4  6.6],0
v2,1,0.093095,2.82002,[173 133] ; [99 54],[181.33333333 124.66666667] ; [90.66666667 62.33333333],0
p2,1,0.103538,2.650179,[259  59] ; [138  20],[265.22268908  52.77731092] ; [131.77731092  26.22268908],0
n4,1,0.114394,2.492442,[276  42] ; [144  13],[281.17894737  36.82105263] ; [138.82105263  18.17894737],0
r1,1,0.115108,2.482651,[260  56] ; [138  19],[265.89429175  50.10570825] ; [132.10570825  24.89429175],0
u3,1,0.128243,2.31365,[56 45] ; [20  8],[59.50387597 41.49612403] ; [16.49612403 11.50387597],0
d3,1,0.128341,2.312463,[238  78] ; [128  29],[244.51585624  71.48414376] ; [121.48414376  35.51585624],0
d4,1,0.130711,2.28404,[257  60] ; [136  21],[262.82911392  54.17088608] ; [130.17088608  26.82911392],0
a2,1,0.130886,2.281962,[ 93 225] ; [ 57 101],[100.21008403 217.78991597] ; [ 49.78991597 108.21008403],0
v4,1,0.159138,1.982398,[301  17] ; [154   4],[303.97058824  14.02941176] ; [151.02941176   6.97058824],0
