Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.2e-05,15.757802,[1 3] ; [26  1],[3.48387097 0.51612903] ; [23.51612903  3.48387097],1
r3,1,0.003469,8.542769,[2 2] ; [26  1],[3.61290323 0.38709677] ; [24.38709677  2.61290323],0
v4,1,0.017718,5.6238,[2 2] ; [25  2],[3.48387097 0.51612903] ; [23.51612903  3.48387097],0
p8,1,0.029987,4.710017,[1 3] ; [21  6],[2.83870968 1.16129032] ; [19.16129032  7.83870968],0
p2,1,0.033169,4.537037,[1 2] ; [23  4],[2.4 0.6] ; [21.6  5.4],0
p3,1,0.096455,2.76321,[2 2] ; [23  4],[3.22580645 0.77419355] ; [21.77419355  5.22580645],0
n6,1,0.155601,2.016461,[2 1] ; [25  2],[2.7 0.3] ; [24.3  2.7],0
r1,1,0.159909,1.975088,[2 2] ; [22  5],[3.09677419 0.90322581] ; [20.90322581  6.09677419],0
d2,1,0.198814,1.651066,[3 1] ; [11 16],[1.80645161 2.19354839] ; [12.19354839 14.80645161],0
s3,1,0.198814,1.651066,[1 3] ; [16 11],[2.19354839 1.80645161] ; [14.80645161 12.19354839],0
d1,1,0.25377,1.302431,[3 1] ; [12 15],[1.93548387 2.06451613] ; [13.06451613 13.93548387],0
s1,1,0.266713,1.233576,[1 3] ; [ 2 25],[0.38709677 3.61290323] ; [ 2.61290323 24.38709677],0
s7,1,0.348443,0.879121,[2 2] ; [19  7],[2.8 1.2] ; [18.2  7.8],0
b4,1,0.385284,0.753774,[3 1] ; [14 13],[2.19354839 1.80645161] ; [14.80645161 12.19354839],0
a4,1,0.416013,0.661552,[2 2] ; [ 8 19],[1.29032258 2.70967742] ; [ 8.70967742 18.29032258],0
a2,1,0.439344,0.597994,[1 3] ; [ 3 24],[0.51612903 3.48387097] ; [ 3.48387097 23.51612903],0
p9,1,0.439344,0.597994,[3 1] ; [24  3],[3.48387097 0.51612903] ; [23.51612903  3.48387097],0
b5,1,0.619372,0.246751,[2 2] ; [10 17],[1.5483871 2.4516129] ; [10.4516129 16.5483871],0
p10,1,0.630954,0.230769,[3 1] ; [22  4],[3.33333333 0.66666667] ; [21.66666667  4.33333333],0
p4,1,0.630954,0.230769,[3 1] ; [22  4],[3.33333333 0.66666667] ; [21.66666667  4.33333333],0
a8,1,0.630954,0.230769,[1 3] ; [ 4 22],[0.66666667 3.33333333] ; [ 4.33333333 21.66666667],0
n3,1,0.657619,0.196429,[1 1] ; [6 3],[1.27272727 0.72727273] ; [5.72727273 3.27272727],0
a7,1,0.739332,0.110714,[3 1] ; [18  9],[2.70967742 1.29032258] ; [18.29032258  8.70967742],0
b1,1,0.739332,0.110714,[1 3] ; [ 9 18],[1.29032258 2.70967742] ; [ 8.70967742 18.29032258],0
n1,1,0.746886,0.104167,[1 1] ; [3 5],[0.8 1.2] ; [3.2 4.8],0
p11,1,0.759444,0.093765,[3 1] ; [22  5],[3.22580645 0.77419355] ; [21.77419355  5.22580645],0
n4,1,0.759444,0.093765,[3 1] ; [22  5],[3.22580645 0.77419355] ; [21.77419355  5.22580645],0
s8,1,0.834941,0.043417,[2 2] ; [12 15],[1.80645161 2.19354839] ; [12.19354839 14.80645161],0
a3,1,0.849017,0.036242,[3 1] ; [19  8],[2.83870968 1.16129032] ; [19.16129032  7.83870968],0
n2,1,0.886508,0.02037,[1 1] ; [5 4],[1.09090909 0.90909091] ; [4.90909091 4.09090909],0
n5,1,0.901312,0.015377,[3 1] ; [21  6],[3.09677419 0.90322581] ; [20.90322581  6.09677419],0
p7,1,0.932534,0.007167,[3 1] ; [20  6],[3.06666667 0.93333333] ; [19.93333333  6.06666667],0
d5,1,0.968494,0.00156,[3 1] ; [20  7],[2.96774194 1.03225806] ; [20.03225806  6.96774194],0
