Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0134,6.115455,[28  5] ; [17 13],[23.57142857  9.42857143] ; [21.42857143  8.57142857],0
v3,1,0.037806,4.31371,[13 19] ; [ 5 25],[ 9.29032258 22.70967742] ; [ 8.70967742 21.29032258],0
s6,1,0.079564,3.07379,[26  6] ; [19 12],[22.85714286  9.14285714] ; [22.14285714  8.85714286],0
n5,1,0.098276,2.733294,[18 14] ; [11 20],[14.73015873 17.26984127] ; [14.26984127 16.73015873],0
u2,1,0.12182,2.393769,[10  1] ; [9 5],[8.36 2.64] ; [10.64  3.36],0
s4,1,0.125728,2.344468,[ 7 26] ; [12 19],[ 9.796875 23.203125] ; [ 9.203125 21.796875],0
d1,1,0.135268,2.230979,[20 13] ; [13 18],[17.015625 15.984375] ; [15.984375 15.015625],0
s3,1,0.156173,2.010892,[27  6] ; [29  2],[28.875  4.125] ; [27.125  3.875],0
p3,1,0.164542,1.931982,[10 22] ; [15 16],[12.6984127 19.3015873] ; [12.3015873 18.6984127],0
b5,1,0.186523,1.744872,[17 16] ; [21 10],[19.59375 13.40625] ; [18.40625 12.59375],0
a5,1,0.220407,1.50172,[22 11] ; [16 15],[19.59375 13.40625] ; [18.40625 12.59375],0
r1,1,0.231939,1.428931,[25  7] ; [20 11],[22.85714286  9.14285714] ; [22.14285714  8.85714286],0
v1,1,0.245972,1.346037,[18 14] ; [12 17],[15.73770492 16.26229508] ; [14.26229508 14.73770492],0
d3,1,0.28321,1.15162,[25  8] ; [19 11],[23.04761905  9.95238095] ; [20.95238095  9.04761905],0
s1,1,0.301179,1.068966,[ 1 30] ; [ 3 28],[ 2. 29.] ; [ 2. 29.],0
a4,1,0.317358,0.999803,[ 7 26] ; [10 21],[ 8.765625 24.234375] ; [ 8.234375 22.765625],0
p2,1,0.318845,0.99368,[20 12] ; [23  8],[21.84126984 10.15873016] ; [21.15873016  9.84126984],0
a3,1,0.332421,0.939443,[22 11] ; [17 14],[20.109375 12.890625] ; [18.890625 12.109375],0
s7,1,0.366171,0.816619,[18 12] ; [14 15],[16.27118644 13.72881356] ; [15.72881356 13.27118644],0
d4,1,0.392722,0.730497,[29  4] ; [24  6],[27.76190476  5.23809524] ; [25.23809524  4.76190476],0
u3,1,0.403569,0.697665,[10  1] ; [11  3],[9.24 1.76] ; [11.76  2.24],0
p11,1,0.416987,0.658791,[18 15] ; [20 11],[19.59375 13.40625] ; [18.40625 12.59375],0
n4,1,0.442785,0.589056,[17 16] ; [13 18],[15.46875 17.53125] ; [14.53125 16.46875],0
p10,1,0.457226,0.552677,[22  8] ; [20 11],[20.6557377  9.3442623] ; [21.3442623  9.6557377],0
p6,1,0.457226,0.552677,[ 8 22] ; [11 20],[ 9.3442623 20.6557377] ; [ 9.6557377 21.3442623],0
a6,1,0.458032,0.550699,[19 14] ; [20 10],[20.42857143 12.57142857] ; [18.57142857 11.42857143],0
n1,1,0.462527,0.539773,[3 6] ; [5 5],[3.78947368 5.21052632] ; [4.21052632 5.78947368],0
r4,1,0.47027,0.521342,[26  7] ; [22  9],[24.75  8.25] ; [23.25  7.75],0
p8,1,0.488285,0.480303,[10 20] ; [13 18],[11.31147541 18.68852459] ; [11.68852459 19.31147541],0
a1,1,0.517545,0.418783,[ 1 32] ; [ 2 29],[ 1.546875 31.453125] ; [ 1.453125 29.546875],0
p9,1,0.51932,0.415243,[20 10] ; [23  8],[21.14754098  8.85245902] ; [21.85245902  9.14754098],0
u1,1,0.590012,0.290326,[ 2 31] ; [ 3 28],[ 2.578125 30.421875] ; [ 2.421875 28.578125],0
d2,1,0.59256,0.286364,[12 21] ; [ 9 21],[11. 22.] ; [10. 20.],0
v4,1,0.614861,0.253156,[30  2] ; [28  3],[29.46031746  2.53968254] ; [28.53968254  2.46031746],0
a2,1,0.625303,0.238485,[ 3 30] ; [ 4 27],[ 3.609375 29.390625] ; [ 3.390625 27.609375],0
n3,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
r2,1,0.640918,0.217544,[29  2] ; [28  3],[28.5  2.5] ; [28.5  2.5],0
p4,1,0.700646,0.147801,[16 16] ; [14 17],[15.23809524 16.76190476] ; [14.76190476 16.23809524],0
b1,1,0.790027,0.070903,[17 16] ; [17 14],[17.53125 15.46875] ; [16.46875 14.53125],0
b3,1,0.794944,0.067546,[ 4 13] ; [ 4 16],[ 3.67567568 13.32432432] ; [ 4.32432432 15.67567568],0
b2,1,0.794944,0.067546,[ 4 13] ; [ 4 16],[ 3.67567568 13.32432432] ; [ 4.32432432 15.67567568],0
s8,1,0.825414,0.048659,[14 19] ; [14 17],[14.4375 18.5625] ; [13.5625 17.4375],0
p7,1,0.887276,0.020094,[16 14] ; [16 13],[16.27118644 13.72881356] ; [15.72881356 13.27118644],0
a7,1,0.941563,0.005374,[21 12] ; [20 11],[21.140625 11.859375] ; [19.859375 11.140625],0
a8,1,0.958871,0.002659,[ 4 25] ; [ 4 26],[ 3.93220339 25.06779661] ; [ 4.06779661 25.93220339],0
b4,1,0.981209,0.000555,[18 15] ; [17 14],[18.046875 14.953125] ; [16.953125 14.046875],0
n2,1,1.0,0.0,[8 2] ; [8 2],[8. 2.] ; [8. 2.],0
s5,1,1.0,0.0,[10 20] ; [10 20],[10. 20.] ; [10. 20.],0
