Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.369668,[40  9] ; [41 60],[26.46 22.54] ; [54.54 46.46],1
s7,1,7e-06,20.082825,[28 19] ; [20 73],[16.11428571 30.88571429] ; [31.88571429 61.11428571],1
s5,1,0.000422,12.430736,[18 29] ; [12 83],[ 9.92957746 37.07042254] ; [20.07042254 74.92957746],1
s2,1,0.00137,10.245287,[30 19] ; [34 67],[20.90666667 28.09333333] ; [43.09333333 57.90666667],0
p10,1,0.004534,8.056514,[39 10] ; [54 43],[31.21232877 17.78767123] ; [61.78767123 35.21232877],0
d1,1,0.006686,7.355332,[31 19] ; [39 62],[23.17880795 26.82119205] ; [46.82119205 54.17880795],0
p11,1,0.014202,6.012811,[38 12] ; [56 45],[31.12582781 18.87417219] ; [62.87417219 38.12582781],0
b2,1,0.018462,5.551739,[14 23] ; [ 7 39],[ 9.36144578 27.63855422] ; [11.63855422 34.36144578],0
b3,1,0.018462,5.551739,[14 23] ; [ 7 39],[ 9.36144578 27.63855422] ; [11.63855422 34.36144578],0
u3,1,0.020698,5.352047,[18  1] ; [22 11],[14.61538462  4.38461538] ; [25.38461538  7.61538462],0
s3,1,0.021397,5.294173,[32 16] ; [47 54],[25.44966443 22.55033557] ; [53.55033557 47.44966443],0
v1,1,0.022583,5.200303,[28 20] ; [38 61],[21.55102041 26.44897959] ; [44.44897959 54.55102041],0
p5,1,0.027298,4.871854,[ 5 44] ; [ 2 97],[ 2.31756757 46.68243243] ; [ 4.68243243 94.31756757],0
s4,1,0.02804,4.825631,[13 37] ; [12 89],[ 8.2781457 41.7218543] ; [16.7218543 84.2781457],0
p9,1,0.030392,4.687004,[40  9] ; [63 35],[34.33333333 14.66666667] ; [68.66666667 29.33333333],0
d5,1,0.055996,3.652174,[43  7] ; [72 28],[38.33333333 11.66666667] ; [76.66666667 23.33333333],0
p4,1,0.077542,3.115673,[27 23] ; [38 60],[21.95945946 28.04054054] ; [43.04054054 54.95945946],0
r4,1,0.08823,2.906376,[44  6] ; [77 24],[40.06622517  9.93377483] ; [80.93377483 20.06622517],0
p6,1,0.0903,2.869012,[16 34] ; [18 75],[11.88811189 38.11188811] ; [22.11188811 70.88811189],0
d3,1,0.105311,2.62321,[37 13] ; [60 39],[32.55033557 17.44966443] ; [64.44966443 34.55033557],0
p3,1,0.112008,2.525664,[23 27] ; [32 66],[18.58108108 31.41891892] ; [36.41891892 61.58108108],0
u2,1,0.136191,2.220479,[16  2] ; [24 10],[13.84615385  4.15384615] ; [26.15384615  7.84615385],0
d2,1,0.153477,2.037351,[23 27] ; [34 66],[19. 31.] ; [38. 62.],0
d4,1,0.167897,1.901623,[42  8] ; [74 26],[38.66666667 11.33333333] ; [77.33333333 22.66666667],0
p2,1,0.180233,1.795705,[40 10] ; [69 30],[36.57718121 13.42281879] ; [72.42281879 26.57718121],0
p7,1,0.208443,1.582209,[29 18] ; [48 47],[25.48591549 21.51408451] ; [51.51408451 43.48591549],0
p8,1,0.243804,1.358463,[23 27] ; [35 62],[19.72789116 30.27210884] ; [38.27210884 58.72789116],0
p1,1,0.24716,1.339286,[ 5 45] ; [ 5 95],[ 3.33333333 46.66666667] ; [ 6.66666667 93.33333333],0
a8,1,0.24771,1.336174,[ 6 39] ; [ 7 89],[ 4.14893617 40.85106383] ; [ 8.85106383 87.14893617],0
r3,1,0.248213,1.333333,[47  3] ; [88 12],[45.  5.] ; [90. 10.],0
b1,1,0.272351,1.204867,[29 21] ; [49 52],[25.82781457 24.17218543] ; [52.17218543 48.82781457],0
n2,1,0.29326,1.104593,[14  3] ; [24 11],[12.42307692  4.57692308] ; [25.57692308  9.42307692],0
u1,1,0.295962,1.092303,[ 6 44] ; [ 7 94],[ 4.30463576 45.69536424] ; [ 8.69536424 92.30463576],0
n1,1,0.303626,1.058201,[7 8] ; [11 24],[5.4 9.6] ; [12.6 22.4],0
a5,1,0.305244,1.051144,[34 16] ; [60 41],[31.12582781 18.87417219] ; [62.87417219 38.12582781],0
v3,1,0.338115,0.917567,[15 30] ; [24 70],[12.62589928 32.37410072] ; [26.37410072 67.62589928],0
a4,1,0.355619,0.853307,[15 35] ; [38 63],[17.54966887 32.45033113] ; [35.45033113 65.54966887],0
n3,1,0.409667,0.679767,[11  6] ; [25  8],[12.24  4.76] ; [23.76  9.24],0
p12,1,0.480203,0.498401,[ 2 47] ; [ 2 95],[ 1.34246575 47.65753425] ; [ 2.65753425 94.34246575],0
r2,1,0.489051,0.478613,[45  4] ; [89 12],[43.77333333  5.22666667] ; [90.22666667 10.77333333],0
r1,1,0.506855,0.440555,[39 11] ; [73 27],[37.33333333 12.66666667] ; [74.66666667 25.33333333],0
b4,1,0.518003,0.417868,[30 20] ; [55 46],[28.14569536 21.85430464] ; [56.85430464 44.14569536],0
n4,1,0.525799,0.402504,[23 27] ; [52 49],[24.83443709 25.16556291] ; [50.16556291 50.83443709],0
a3,1,0.599267,0.276103,[31 19] ; [67 34],[32.45033113 17.54966887] ; [65.54966887 35.45033113],0
a7,1,0.65091,0.204754,[35 15] ; [67 34],[33.77483444 16.22516556] ; [68.22516556 32.77483444],0
a6,1,0.71041,0.137868,[35 15] ; [67 33],[34. 16.] ; [68. 32.],0
v2,1,0.722545,0.126067,[23 23] ; [44 50],[22.01428571 23.98571429] ; [44.98571429 49.01428571],0
s1,1,0.813456,0.055682,[ 2 46] ; [ 5 94],[ 2.28571429 45.71428571] ; [ 4.71428571 94.28571429],0
n5,1,0.86736,0.027893,[21 29] ; [43 56],[21.47651007 28.52348993] ; [42.52348993 56.47651007],0
b5,1,0.941816,0.005327,[31 19] ; [62 39],[30.79470199 19.20529801] ; [62.20529801 38.79470199],0
a2,1,0.98001,0.000628,[ 8 42] ; [16 85],[ 7.94701987 42.05298013] ; [16.05298013 84.94701987],0
a1,1,0.990645,0.000137,[ 2 48] ; [ 4 97],[ 1.98675497 48.01324503] ; [ 4.01324503 96.98675497],0
