Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,26.433799,[92 23] ; [10 21],[80.34246575 34.65753425] ; [21.65753425  9.34246575],1
n6,1,7.8e-05,15.601655,[99 15] ; [17 14],[91.2 22.8] ; [24.8  6.2],1
a5,1,0.002861,8.894233,[91 25] ; [16 15],[84.43537415 31.56462585] ; [22.56462585  8.43537415],0
a7,1,0.0066,7.378615,[71 45] ; [27  4],[77.33333333 38.66666667] ; [20.66666667 10.33333333],0
s4,1,0.0083,6.967603,[22 93] ; [13 18],[27.56849315 87.43150685] ; [ 7.43150685 23.56849315],0
a8,1,0.016451,5.754031,[23 79] ; [ 1 29],[18.54545455 83.45454545] ; [ 5.45454545 24.54545455],0
b2,1,0.023208,5.152902,[32 52] ; [11  5],[36.12 47.88] ; [6.88 9.12],0
b3,1,0.023208,5.152902,[32 52] ; [11  5],[36.12 47.88] ; [6.88 9.12],0
a3,1,0.028806,4.779178,[95 20] ; [20 11],[90.58219178 24.41780822] ; [24.41780822  6.58219178],0
u1,1,0.029972,4.71091,[28 88] ; [ 2 29],[23.67346939 92.32653061] ; [ 6.32653061 24.67346939],0
a4,1,0.030809,4.663585,[55 61] ; [ 8 23],[49.71428571 66.28571429] ; [13.28571429 17.71428571],0
p7,1,0.05083,3.813872,[62 48] ; [10 18],[57.39130435 52.60869565] ; [14.60869565 13.39130435],0
p11,1,0.083807,2.989477,[89 27] ; [19 12],[85.2244898 30.7755102] ; [22.7755102  8.2244898],0
d2,1,0.163041,1.945796,[57 58] ; [11 20],[53.56164384 61.43835616] ; [14.43835616 16.56164384],0
a2,1,0.178141,1.813062,[28 88] ; [ 4 27],[25.25170068 90.74829932] ; [ 6.74829932 24.25170068],0
r1,1,0.179861,1.79877,[95 21] ; [22  9],[92.32653061 23.67346939] ; [24.67346939  6.32653061],0
u2,1,0.195709,1.674107,[ 9 11] ; [7 3],[10.66666667  9.33333333] ; [5.33333333 4.66666667],0
v3,1,0.196964,1.664744,[52 62] ; [ 9 19],[48.97183099 65.02816901] ; [12.02816901 15.97183099],0
p6,1,0.260374,1.266766,[31 82] ; [ 5 24],[28.64788732 84.35211268] ; [ 7.35211268 21.64788732],0
p3,1,0.268556,1.224109,[34 82] ; [ 6 25],[31.56462585 84.43537415] ; [ 8.43537415 22.56462585],0
d1,1,0.280769,1.163363,[65 51] ; [14 17],[62.34013605 53.65986395] ; [16.65986395 14.34013605],0
v4,1,0.291597,1.112232,[106   8] ; [27  4],[104.56551724   9.43448276] ; [28.43448276  2.56551724],0
u4,1,0.312888,1.018445,[  1 115] ; [ 1 30],[  1.57823129 114.42176871] ; [ 0.42176871 30.57823129],0
b5,1,0.334316,0.932106,[71 45] ; [16 15],[68.65306122 47.34693878] ; [18.34693878 12.65306122],0
u3,1,0.365241,0.819792,[14  7] ; [9 2],[15.09375  5.90625] ; [7.90625 3.09375],0
n2,1,0.472714,0.515625,[27  5] ; [9 3],[26.18181818  5.81818182] ; [9.81818182 2.18181818],0
s6,1,0.49265,0.470732,[90 25] ; [26  5],[91.36986301 23.63013699] ; [24.63013699  6.36986301],0
d4,1,0.508943,0.436241,[95 20] ; [24  7],[93.73287671 21.26712329] ; [25.26712329  5.73287671],0
a6,1,0.517461,0.41895,[70 44] ; [21 10],[71.54482759 42.45517241] ; [19.45517241 11.54482759],0
s5,1,0.522526,0.408904,[41 70] ; [13 17],[42.5106383 68.4893617] ; [11.4893617 18.5106383],0
v2,1,0.56469,0.331648,[69 46] ; [14 12],[67.69503546 47.30496454] ; [15.30496454 10.69503546],0
p1,1,0.597485,0.278806,[ 11 105] ; [ 2 29],[ 10.2585034 105.7414966] ; [ 2.7414966 28.2585034],0
v1,1,0.602517,0.271216,[55 56] ; [17 14],[56.28169014 54.71830986] ; [15.71830986 15.28169014],0
r4,1,0.63604,0.223959,[97 19] ; [27  4],[97.85034014 18.14965986] ; [26.14965986  4.85034014],0
r2,1,0.649939,0.205976,[107   5] ; [29  2],[106.51748252   5.48251748] ; [29.48251748  1.51748252],0
s3,1,0.68663,0.162758,[85 29] ; [22  9],[84.12413793 29.87586207] ; [22.87586207  8.12413793],0
d5,1,0.697523,0.151062,[89 26] ; [25  6],[89.79452055 25.20547945] ; [24.20547945  6.79452055],0
p8,1,0.722877,0.125753,[43 70] ; [10 19],[42.17605634 70.82394366] ; [10.82394366 18.17605634],0
b1,1,0.722951,0.125683,[49 67] ; [12 19],[48.13605442 67.86394558] ; [12.86394558 18.13605442],0
s8,1,0.748409,0.102873,[75 41] ; [21 10],[75.75510204 40.24489796] ; [20.24489796 10.75510204],0
n3,1,0.754867,0.097487,[22 10] ; [7 4],[21.58139535 10.41860465] ; [7.41860465 3.58139535],0
n1,1,0.757315,0.095486,[15 17] ; [5 7],[14.54545455 17.45454545] ; [5.45454545 6.54545455],0
s2,1,0.759966,0.093345,[79 37] ; [22  9],[79.70068027 36.29931973] ; [21.29931973  9.70068027],0
p2,1,0.829869,0.046169,[80 36] ; [22  9],[80.48979592 35.51020408] ; [21.51020408  9.48979592],0
b4,1,0.890298,0.019024,[62 54] ; [17 14],[62.34013605 53.65986395] ; [16.65986395 14.34013605],0
d3,1,0.896328,0.016978,[69 46] ; [19 12],[69.31506849 45.68493151] ; [18.68493151 12.31506849],0
r3,1,0.906705,0.013735,[108   7] ; [28  2],[107.86206897   7.13793103] ; [28.13793103  1.86206897],0
p9,1,0.95396,0.003333,[93 20] ; [24  5],[93.1056338 19.8943662] ; [23.8943662  5.1056338],0
p10,1,0.982991,0.000455,[91 23] ; [24  6],[91.04166667 22.95833333] ; [23.95833333  6.04166667],0
