Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,36.085393,[72 98] ; [46  5],[90.76923077 79.23076923] ; [27.23076923 23.76923077],1
s2,1,2e-06,22.977879,[ 50 120] ; [35 18],[ 64.79820628 105.20179372] ; [20.20179372 32.79820628],1
p5,1,9.4e-05,15.252955,[  7 161] ; [11 41],[ 13.74545455 154.25454545] ; [ 4.25454545 47.74545455],1
s7,1,0.003721,8.415045,[ 48 114] ; [26 24],[ 56.54716981 105.45283019] ; [17.45283019 32.54716981],0
s3,1,0.008257,6.976836,[71 96] ; [33 19],[79.30593607 87.69406393] ; [24.69406393 27.30593607],0
r4,1,0.01215,6.288905,[114  56] ; [45  8],[121.21076233  48.78923767] ; [37.78923767 15.21076233],0
b4,1,0.012165,6.286602,[82 88] ; [36 17],[89.95515695 80.04484305] ; [28.04484305 24.95515695],0
n6,1,0.020635,5.357397,[116  53] ; [45  8],[122.56306306  46.43693694] ; [38.43693694 14.56306306],0
p12,1,0.023511,5.130362,[  4 164] ; [ 5 48],[  6.84162896 161.15837104] ; [ 2.15837104 50.84162896],0
r1,1,0.026446,4.926603,[88 82] ; [36 16],[94.95495495 75.04504505] ; [29.04504505 22.95495495],0
d4,1,0.02837,4.805431,[83 87] ; [35 18],[89.95515695 80.04484305] ; [28.04484305 24.95515695],0
v4,1,0.034003,4.49456,[139  30] ; [49  3],[143.76470588  25.23529412] ; [44.23529412  7.76470588],0
s4,1,0.03859,4.278831,[ 27 142] ; [15 37],[ 32.11764706 136.88235294] ; [ 9.88235294 42.11764706],0
p6,1,0.038781,4.270418,[ 32 136] ; [17 35],[ 37.41818182 130.58181818] ; [11.58181818 40.41818182],0
s8,1,0.048089,3.906884,[ 36 134] ; [18 34],[ 41.35135135 128.64864865] ; [12.64864865 39.35135135],0
p9,1,0.060943,3.511536,[111  57] ; [40 10],[116.36697248  51.63302752] ; [34.63302752 15.36697248],0
p10,1,0.081313,3.03847,[101  66] ; [37 13],[106.20276498  60.79723502] ; [31.79723502 18.20276498],0
v1,1,0.082309,3.018711,[ 52 115] ; [23 29],[ 57.19178082 109.80821918] ; [17.80821918 34.19178082],0
p7,1,0.087947,2.911548,[81 84] ; [32 19],[86.31944444 78.68055556] ; [26.68055556 24.31944444],0
p11,1,0.108115,2.581557,[108  62] ; [40 13],[112.82511211  57.17488789] ; [35.17488789 17.82511211],0
p2,1,0.133027,2.25682,[123  47] ; [43  9],[127.11711712  42.88288288] ; [38.88288288 13.11711712],0
p1,1,0.139891,2.179156,[ 12 157] ; [ 7 44],[ 14.59545455 154.40454545] ; [ 4.40454545 46.59545455],0
p8,1,0.149908,2.073189,[ 62 106] ; [25 27],[ 66.43636364 101.56363636] ; [20.56363636 31.43636364],0
a8,1,0.231601,1.431001,[ 21 139] ; [10 40],[ 23.61904762 136.38095238] ; [ 7.38095238 42.61904762],0
n2,1,0.24797,1.334707,[33 17] ; [13  3],[34.84848485 15.15151515] ; [11.15151515  4.84848485],0
p4,1,0.275044,1.191417,[70 99] ; [26 26],[73.41176471 95.58823529] ; [22.58823529 29.41176471],0
