Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.000173,14.106122,[22  2] ; [41 43],[14. 10.] ; [49. 35.],1
s8,1,0.00068,11.541819,[ 8 16] ; [ 6 79],[ 3.08256881 20.91743119] ; [10.91743119 74.08256881],1
v4,1,0.003409,8.574725,[23  1] ; [55 29],[17.33333333  6.66666667] ; [60.66666667 23.33333333],0
p4,1,0.006287,7.466054,[14 10] ; [24 61],[ 8.36697248 15.63302752] ; [29.63302752 55.36697248],0
p7,1,0.008601,6.903948,[14  9] ; [26 58],[ 8.59813084 14.40186916] ; [31.40186916 52.59813084],0
s7,1,0.014554,5.969648,[ 8 14] ; [11 70],[ 4.05825243 17.94174757] ; [14.94174757 66.05825243],0
u2,1,0.030606,4.674955,[7 4] ; [11 28],[3.96 7.04] ; [14.04 24.96],0
p8,1,0.048699,3.885691,[11 13] ; [21 63],[ 7.11111111 16.88888889] ; [24.88888889 59.11111111],0
b3,1,0.059596,3.548604,[9 4] ; [20 30],[5.98412698 7.01587302] ; [23.01587302 26.98412698],0
b2,1,0.059596,3.548604,[9 4] ; [20 30],[5.98412698 7.01587302] ; [23.01587302 26.98412698],0
s4,1,0.070323,3.275457,[ 6 18] ; [ 9 76],[ 3.30275229 20.69724771] ; [11.69724771 73.30275229],0
r4,1,0.088332,2.90451,[14 10] ; [33 52],[10.34862385 13.65137615] ; [36.65137615 48.34862385],0
a5,1,0.096566,2.761369,[ 7 17] ; [41 44],[10.56880734 13.43119266] ; [37.43119266 47.56880734],0
n1,1,0.098868,2.72371,[4 2] ; [10 22],[2.21052632 3.78947368] ; [11.78947368 20.21052632],0
a7,1,0.104853,2.630127,[16  7] ; [43 42],[12.56481481 10.43518519] ; [46.43518519 38.56481481],0
s5,1,0.119706,2.421168,[ 4 18] ; [ 6 77],[ 2.0952381 19.9047619] ; [ 7.9047619 75.0952381],0
s2,1,0.121019,2.404082,[ 7 17] ; [13 72],[ 4.40366972 19.59633028] ; [15.59633028 69.40366972],0
p3,1,0.133755,2.248368,[10 14] ; [22 63],[ 7.04587156 16.95412844] ; [24.95412844 60.04587156],0
p11,1,0.194983,1.679562,[16  8] ; [44 41],[13.21100917 10.78899083] ; [46.78899083 38.21100917],0
b5,1,0.205358,1.603857,[17  7] ; [48 37],[14.31192661  9.68807339] ; [50.68807339 34.31192661],0
a4,1,0.223152,1.483988,[10 14] ; [24 60],[ 7.55555556 16.44444444] ; [26.44444444 57.55555556],0
v2,1,0.234065,1.415985,[ 8 15] ; [19 65],[ 5.80373832 17.19626168] ; [21.19626168 62.80373832],0
r3,1,0.241032,1.374545,[19  5] ; [56 28],[16.66666667  7.33333333] ; [58.33333333 25.66666667],0
u3,1,0.278742,1.173214,[5 6] ; [11 28],[3.52 7.48] ; [12.48 26.52],0
r2,1,0.301392,1.068025,[19  4] ; [59 23],[17.08571429  5.91428571] ; [60.91428571 21.08571429],0
d3,1,0.342338,0.901657,[11 11] ; [33 52],[ 9.04672897 12.95327103] ; [34.95327103 50.04672897],0
u1,1,0.392405,0.731475,[ 3 21] ; [ 6 79],[ 1.98165138 22.01834862] ; [ 7.01834862 77.98165138],0
d2,1,0.400016,0.708279,[ 7 17] ; [32 51],[ 8.74766355 15.25233645] ; [30.25233645 52.74766355],0
a6,1,0.405803,0.691064,[15  9] ; [45 40],[13.21100917 10.78899083] ; [46.78899083 38.21100917],0
n5,1,0.44406,0.585768,[17  7] ; [53 32],[15.41284404  8.58715596] ; [54.58715596 30.41284404],0
p10,1,0.507562,0.439091,[15  9] ; [45 37],[13.58490566 10.41509434] ; [46.41509434 35.58490566],0
a2,1,0.522728,0.408507,[ 3 21] ; [ 7 78],[ 2.20183486 21.79816514] ; [ 7.79816514 77.20183486],0
a8,1,0.527441,0.399319,[ 3 20] ; [ 7 74],[ 2.21153846 20.78846154] ; [ 7.78846154 73.21153846],0
v3,1,0.534561,0.385714,[ 5 19] ; [13 71],[ 4. 20.] ; [14. 70.],0
p9,1,0.595816,0.281353,[17  7] ; [52 28],[15.92307692  8.07692308] ; [53.07692308 26.92307692],0
d5,1,0.64886,0.20734,[15  8] ; [51 34],[14.05555556  8.94444444] ; [51.94444444 33.05555556],0
n4,1,0.669802,0.181834,[15  9] ; [49 36],[14.09174312  9.90825688] ; [49.90825688 35.09174312],0
n2,1,0.694618,0.154132,[5 2] ; [21 12],[4.55 2.45] ; [21.45 11.55],0
b1,1,0.721086,0.127455,[12 12] ; [39 46],[11.2293578 12.7706422] ; [39.7706422 45.2293578],0
b4,1,0.756763,0.095935,[13 11] ; [43 42],[12.33027523 11.66972477] ; [43.66972477 41.33027523],0
s3,1,0.792439,0.069245,[ 6 18] ; [23 60],[ 6.5046729 17.4953271] ; [22.4953271 60.5046729],0
d1,1,0.80831,0.058858,[ 7 17] ; [27 58],[ 7.48623853 16.51376147] ; [26.51376147 58.48623853],0
v1,1,0.87611,0.024306,[ 6 18] ; [19 62],[ 5.71428571 18.28571429] ; [19.28571429 61.71428571],0
p5,1,0.893865,0.0178,[ 1 23] ; [ 4 79],[ 1.12149533 22.87850467] ; [ 3.87850467 79.12149533],0
n6,1,0.912492,0.012077,[16  8] ; [57 27],[16.22222222  7.77777778] ; [56.77777778 27.22222222],0
