Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,8.7e-05,15.400412,[ 4 27] ; [49 43],[13.35772358 17.64227642] ; [39.64227642 52.35772358],1
p9,1,0.000121,14.776997,[15 16] ; [75 15],[23.05785124  7.94214876] ; [66.94214876 23.05785124],1
s2,1,0.000167,14.171011,[14 17] ; [74 18],[22.17886179  8.82113821] ; [65.82113821 26.17886179],1
d5,1,0.001028,10.776117,[16 15] ; [75 17],[22.93495935  8.06504065] ; [68.06504065 23.93495935],0
p10,1,0.001281,10.37037,[14 16] ; [70 20],[21.  9.] ; [63. 27.],0
r4,1,0.001633,9.922254,[20 11] ; [82 10],[25.70731707  5.29268293] ; [76.29268293 15.70731707],0
v4,1,0.005321,7.766933,[23  6] ; [88  4],[26.60330579  2.39669421] ; [84.39669421  7.60330579],0
a7,1,0.010179,6.60338,[16 15] ; [70 22],[21.67479675  9.32520325] ; [64.32520325 27.67479675],0
d1,1,0.014601,5.964038,[10 21] ; [53 39],[15.87804878 15.12195122] ; [47.12195122 44.87804878],0
b4,1,0.020316,5.384561,[14 17] ; [63 29],[19.40650407 11.59349593] ; [57.59349593 34.40650407],0
r1,1,0.023667,5.118853,[19 12] ; [74 17],[23.63114754  7.36885246] ; [69.36885246 21.63114754],0
s1,1,0.029374,4.745553,[ 5 26] ; [ 4 88],[ 2.26829268 28.73170732] ; [ 6.73170732 85.26829268],0
v2,1,0.039208,4.251822,[11 20] ; [48 36],[15.90434783 15.09565217] ; [43.09565217 40.90434783],0
d4,1,0.040744,4.186642,[22  9] ; [80 12],[25.70731707  5.29268293] ; [76.29268293 15.70731707],0
a2,1,0.054751,3.689644,[ 2 29] ; [20 72],[ 5.54471545 25.45528455] ; [16.45528455 75.54471545],0
u1,1,0.061189,3.50485,[ 1 30] ; [15 77],[ 4.03252033 26.96747967] ; [11.96747967 80.03252033],0
a6,1,0.090214,2.870556,[16 15] ; [63 29],[19.91056911 11.08943089] ; [59.08943089 32.91056911],0
s4,1,0.097454,2.746728,[ 5 26] ; [29 63],[ 8.56910569 22.43089431] ; [25.43089431 66.56910569],0
r2,1,0.102127,2.672002,[27  4] ; [86  4],[28.95041322  2.04958678] ; [84.04958678  5.95041322],0
s5,1,0.109235,2.565248,[ 7 22] ; [35 51],[10.59130435 18.40869565] ; [31.40869565 54.59130435],0
u3,1,0.129219,2.301857,[5 6] ; [22  9],[7.07142857 3.92857143] ; [19.92857143 11.07142857],0
n6,1,0.132172,2.266802,[15 16] ; [58 33],[18.54918033 12.45081967] ; [54.45081967 36.54918033],0
a5,1,0.134808,2.236247,[17 14] ; [64 28],[20.41463415 10.58536585] ; [60.58536585 31.41463415],0
p8,1,0.173565,1.851881,[ 9 22] ; [39 52],[12.19672131 18.80327869] ; [35.80327869 55.19672131],0
s7,1,0.182134,1.780124,[10 17] ; [46 43],[13.03448276 13.96551724] ; [42.96551724 46.03448276],0
v3,1,0.186016,1.748889,[ 5 23] ; [27 61],[ 7.72413793 20.27586207] ; [24.27586207 63.72413793],0
n3,1,0.217843,1.518523,[5 3] ; [24  5],[6.27027027 1.72972973] ; [22.72972973  6.27027027],0
d3,1,0.22581,1.467058,[19 12] ; [67 25],[21.67479675  9.32520325] ; [64.32520325 27.67479675],0
n2,1,0.227844,1.454269,[6 4] ; [23  6],[7.43589744 2.56410256] ; [21.56410256  7.43589744],0
p5,1,0.235122,1.409602,[ 2 28] ; [ 2 89],[ 0.99173554 29.00826446] ; [ 3.00826446 87.99173554],0
p1,1,0.258011,1.279398,[ 1 29] ; [ 9 82],[ 2.47933884 27.52066116] ; [ 7.52066116 83.47933884],0
u2,1,0.320885,0.985337,[6 5] ; [22  9],[7.33333333 3.66666667] ; [20.66666667 10.33333333],0
b1,1,0.394997,0.723505,[12 19] ; [28 64],[10.08130081 20.91869919] ; [29.91869919 62.08130081],0
p11,1,0.407805,0.685191,[18 13] ; [61 31],[19.91056911 11.08943089] ; [59.08943089 32.91056911],0
b5,1,0.42583,0.63417,[16 15] ; [55 37],[17.89430894 13.10569106] ; [53.10569106 38.89430894],0
d2,1,0.436782,0.604721,[12 19] ; [43 49],[13.86178862 17.13821138] ; [41.13821138 50.86178862],0
p3,1,0.447445,0.577115,[11 19] ; [41 51],[12.78688525 17.21311475] ; [39.21311475 52.78688525],0
p6,1,0.465209,0.533333,[ 6 24] ; [24 66],[ 7.5 22.5] ; [22.5 67.5],0
a1,1,0.493307,0.469305,[ 1 30] ; [ 6 86],[ 1.76422764 29.23577236] ; [ 5.23577236 86.76422764],0
p12,1,0.514341,0.425226,[ 1 29] ; [ 6 86],[ 1.72131148 28.27868852] ; [ 5.27868852 86.72131148],0
p7,1,0.537631,0.379949,[18 11] ; [50 40],[16.57142857 12.42857143] ; [51.42857143 38.57142857],0
p4,1,0.569476,0.32356,[13 18] ; [44 48],[14.36585366 16.63414634] ; [42.63414634 49.36585366],0
b3,1,0.649377,0.206687,[ 6 11] ; [15 36],[ 5.25 11.75] ; [15.75 35.25],0
b2,1,0.649377,0.206687,[ 6 11] ; [15 36],[ 5.25 11.75] ; [15.75 35.25],0
p2,1,0.755488,0.096977,[23  7] ; [73 19],[23.60655738  6.39344262] ; [72.39344262 19.60655738],0
n4,1,0.782624,0.076122,[13 18] ; [36 56],[12.3495935 18.6504065] ; [36.6504065 55.3495935],0
n1,1,0.795397,0.067241,[3 7] ; [10 19],[3.33333333 6.66666667] ; [ 9.66666667 19.33333333],0
a3,1,0.800648,0.06376,[20 10] ; [59 33],[19.42622951 10.57377049] ; [59.57377049 32.42622951],0
v1,1,0.878357,0.023425,[12 17] ; [35 53],[11.64957265 17.35042735] ; [35.35042735 52.64957265],0
a4,1,0.882957,0.021674,[11 20] ; [34 58],[11.34146341 19.65853659] ; [33.65853659 58.34146341],0
