Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.004003,8.282353,[1 9] ; [21 13],[5. 5.] ; [17. 17.],0
s4,1,0.025251,5.006583,[6 4] ; [ 8 27],[3.11111111 6.88888889] ; [10.88888889 24.11111111],0
d5,1,0.025251,5.006583,[4 6] ; [27  8],[6.88888889 3.11111111] ; [24.11111111 10.88888889],0
s6,1,0.029508,4.737703,[4 6] ; [26  8],[6.81818182 3.18181818] ; [23.18181818 10.81818182],0
d4,1,0.032988,4.546409,[5 5] ; [29  6],[7.55555556 2.44444444] ; [26.44444444  8.55555556],0
p10,1,0.049265,3.866288,[4 6] ; [25  9],[6.59090909 3.40909091] ; [22.40909091 11.59090909],0
p11,1,0.067089,3.352833,[4 6] ; [25 10],[6.44444444 3.55555556] ; [22.55555556 12.44444444],0
a4,1,0.094894,2.78932,[5 5] ; [ 8 27],[2.88888889 7.11111111] ; [10.11111111 24.88888889],0
p9,1,0.143466,2.140388,[5 5] ; [26  9],[6.88888889 3.11111111] ; [24.11111111 10.88888889],0
s5,1,0.146343,2.109959,[1 8] ; [12 21],[2.78571429 6.21428571] ; [10.21428571 22.78571429],0
s1,1,0.161521,1.95993,[2 8] ; [ 2 33],[0.88888889 9.11111111] ; [ 3.11111111 31.88888889],0
d1,1,0.175441,1.835827,[3 7] ; [19 16],[4.88888889 5.11111111] ; [17.11111111 17.88888889],0
a6,1,0.196835,1.665703,[4 6] ; [22 13],[5.77777778 4.22222222] ; [20.22222222 14.77777778],0
n1,1,0.226023,1.465714,[2 3] ; [ 2 12],[1.05263158 3.94736842] ; [ 2.94736842 11.05263158],0
a7,1,0.230958,1.434949,[3 7] ; [18 17],[4.66666667 5.33333333] ; [16.33333333 18.66666667],0
b4,1,0.230958,1.434949,[3 7] ; [18 17],[4.66666667 5.33333333] ; [16.33333333 18.66666667],0
u1,1,0.333726,0.934385,[1 9] ; [ 1 34],[0.44444444 9.55555556] ; [ 1.55555556 33.44444444],0
p1,1,0.346184,0.887395,[1 9] ; [ 1 33],[0.45454545 9.54545455] ; [ 1.54545455 32.45454545],0
p7,1,0.348977,0.877175,[4 5] ; [21 13],[5.23255814 3.76744186] ; [19.76744186 14.23255814],0
s8,1,0.374916,0.787305,[3 7] ; [16 19],[4.22222222 5.77777778] ; [14.77777778 20.22222222],0
u2,1,0.382733,0.761905,[1 3] ; [6 6],[1.75 2.25] ; [5.25 6.75],0
n2,1,0.418222,0.655306,[3 2] ; [11  3],[3.68421053 1.31578947] ; [10.31578947  3.68421053],0
p8,1,0.424761,0.637104,[3 7] ; [15 19],[4.09090909 5.90909091] ; [13.90909091 20.09090909],0
b5,1,0.464214,0.535714,[7 3] ; [20 15],[6. 4.] ; [21. 14.],0
n4,1,0.464214,0.535714,[7 3] ; [20 15],[6. 4.] ; [21. 14.],0
n3,1,0.509893,0.434286,[3 2] ; [6 8],[2.36842105 2.63157895] ; [6.63157895 7.36842105],0
r2,1,0.537471,0.380247,[5 4] ; [22 11],[5.78571429 3.21428571] ; [21.21428571 11.78571429],0
n6,1,0.590308,0.289864,[7 3] ; [20 13],[6.27906977 3.72093023] ; [20.72093023 12.27906977],0
b2,1,0.594853,0.282828,[2 4] ; [ 5 17],[1.5 4.5] ; [ 5.5 16.5],0
b3,1,0.594853,0.282828,[2 4] ; [ 5 17],[1.5 4.5] ; [ 5.5 16.5],0
v4,1,0.608408,0.2625,[6 4] ; [22 10],[6.66666667 3.33333333] ; [21.33333333 10.66666667],0
a2,1,0.631827,0.229592,[1 9] ; [ 2 33],[0.66666667 9.33333333] ; [ 2.33333333 32.66666667],0
b1,1,0.631827,0.229592,[4 6] ; [17 18],[4.66666667 5.33333333] ; [16.33333333 18.66666667],0
p2,1,0.677856,0.172549,[7 3] ; [26  8],[7.5 2.5] ; [25.5  8.5],0
p6,1,0.739193,0.110837,[4 6] ; [12 23],[3.55555556 6.44444444] ; [12.44444444 22.55555556],0
a3,1,0.739193,0.110837,[6 4] ; [23 12],[6.44444444 3.55555556] ; [22.55555556 12.44444444],0
p3,1,0.748428,0.102857,[4 6] ; [16 19],[4.44444444 5.55555556] ; [15.55555556 19.44444444],0
a5,1,0.748428,0.102857,[6 4] ; [19 16],[5.55555556 4.44444444] ; [19.44444444 15.55555556],0
n5,1,0.785671,0.07395,[6 4] ; [22 12],[6.36363636 3.63636364] ; [21.63636364 12.36363636],0
p4,1,0.810657,0.057398,[5 5] ; [19 16],[5.33333333 4.66666667] ; [18.66666667 16.33333333],0
r1,1,0.814896,0.05481,[2 8] ; [ 8 26],[2.27272727 7.72727273] ; [ 7.72727273 26.27272727],0
s3,1,0.814896,0.05481,[8 2] ; [26  8],[7.72727273 2.27272727] ; [26.27272727  7.72727273],0
v3,1,0.825642,0.048529,[3 7] ; [ 9 25],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
s7,1,0.859734,0.031227,[5 4] ; [20 14],[5.23255814 3.76744186] ; [19.76744186 14.23255814],0
v1,1,0.891717,0.018532,[4 6] ; [14 19],[4.18604651 5.81395349] ; [13.81395349 19.18604651],0
u3,1,1.0,0.0,[2 2] ; [6 6],[2. 2.] ; [6. 6.],0
d2,1,1.0,0.0,[4 6] ; [14 21],[4. 6.] ; [14. 21.],0
d3,1,1.0,0.0,[6 4] ; [21 14],[6. 4.] ; [21. 14.],0
