Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,47.742633,[ 5 24] ; [74 12],[19.92173913  9.07826087] ; [59.07826087 26.92173913],1
r3,1,0.0,39.099907,[16 13] ; [86  1],[25.5  3.5] ; [76.5 10.5],1
v4,1,1.6e-05,18.661925,[19  9] ; [84  3],[25.07826087  2.92173913] ; [77.92173913  9.07826087],1
r2,1,4.1e-05,16.840875,[18  9] ; [83  4],[23.92105263  3.07894737] ; [77.07894737  9.92105263],1
b1,1,0.001298,10.344828,[22  7] ; [36 51],[14.5 14.5] ; [43.5 43.5],0
a5,1,0.008014,7.030303,[12 17] ; [60 27],[18. 11.] ; [54. 33.],0
d5,1,0.012142,6.290033,[16 13] ; [68 18],[21.1826087  7.8173913] ; [62.8173913 23.1826087],0
d4,1,0.014502,5.975942,[18 11] ; [72 14],[22.69565217  6.30434783] ; [67.30434783 18.69565217],0
a6,1,0.019136,5.489036,[14 15] ; [62 24],[19.16521739  9.83478261] ; [56.83478261 29.16521739],0
d1,1,0.031913,4.603175,[ 9 20] ; [47 40],[14. 15.] ; [42. 45.],0
p3,1,0.035122,4.439235,[ 6 22] ; [38 49],[10.71304348 17.28695652] ; [33.28695652 53.71304348],0
a1,1,0.04276,4.104849,[ 4 25] ; [ 3 84],[ 1.75 27.25] ; [ 5.25 81.75],0
s8,1,0.044674,4.030888,[ 6 23] ; [36 51],[10.5 18.5] ; [31.5 55.5],0
u3,1,0.045219,4.010462,[4 6] ; [21  7],[6.57894737 3.42105263] ; [18.42105263  9.57894737],0
s6,1,0.051364,3.796364,[12 17] ; [54 33],[16.5 12.5] ; [49.5 37.5],0
p4,1,0.063204,3.451246,[ 9 19] ; [45 41],[13.26315789 14.73684211] ; [40.73684211 45.26315789],0
p11,1,0.06375,3.437037,[16 13] ; [64 23],[20.  9.] ; [60. 27.],0
p2,1,0.113181,2.509235,[17 10] ; [68 19],[20.13157895  6.86842105] ; [64.86842105 22.13157895],0
a7,1,0.128959,2.304997,[17 12] ; [64 23],[20.25  8.75] ; [60.75 26.25],0
a4,1,0.144904,2.125095,[ 7 22] ; [34 53],[10.25 18.75] ; [30.75 56.25],0
d3,1,0.147693,2.095916,[15 13] ; [59 27],[18.1754386  9.8245614] ; [55.8245614 30.1754386],0
p8,1,0.161065,1.9642,[ 8 19] ; [39 48],[11.13157895 15.86842105] ; [35.86842105 51.13157895],0
n1,1,0.171301,1.871521,[3 8] ; [12 11],[4.85294118 6.14705882] ; [10.14705882 12.85294118],0
b3,1,0.288408,1.127039,[ 3 13] ; [16 33],[ 4.67692308 11.32307692] ; [14.32307692 34.67692308],0
b2,1,0.288408,1.127039,[ 3 13] ; [16 33],[ 4.67692308 11.32307692] ; [14.32307692 34.67692308],0
s2,1,0.306169,1.047128,[10 19] ; [39 47],[12.35652174 16.64347826] ; [36.64347826 49.35652174],0
a2,1,0.310621,1.028034,[ 3 26] ; [16 71],[ 4.75 24.25] ; [14.25 72.75],0
p10,1,0.313587,1.015508,[20  8] ; [70 17],[21.91304348  6.08695652] ; [68.08695652 18.91304348],0
n3,1,0.365862,0.817672,[7 4] ; [18  5],[8.08823529 2.91176471] ; [16.91176471  6.08823529],0
n5,1,0.387306,0.747385,[16 13] ; [39 46],[13.99122807 15.00877193] ; [41.00877193 43.99122807],0
p5,1,0.406902,0.687835,[ 3 26] ; [ 5 81],[ 2.0173913 26.9826087] ; [ 5.9826087 80.0173913],0
v2,1,0.427429,0.629799,[12 17] ; [39 39],[13.82242991 15.17757009] ; [37.17757009 40.82242991],0
s7,1,0.472408,0.516339,[ 9 19] ; [33 50],[10.59459459 17.40540541] ; [31.40540541 51.59459459],0
s5,1,0.47632,0.507276,[ 5 23] ; [20 62],[ 6.36363636 21.63636364] ; [18.63636364 63.36363636],0
v3,1,0.584,0.299813,[ 7 22] ; [23 55],[ 8.13084112 20.86915888] ; [21.86915888 56.13084112],0
d2,1,0.624091,0.24016,[ 9 20] ; [31 55],[10.08695652 18.91304348] ; [29.91304348 56.08695652],0
p7,1,0.647009,0.209692,[16 11] ; [45 38],[14.97272727 12.02727273] ; [46.02727273 36.97272727],0
p6,1,0.701995,0.146405,[ 6 21] ; [22 63],[ 6.75 20.25] ; [21.25 63.75],0
p1,1,0.702473,0.145912,[ 2 27] ; [ 8 79],[ 2.5 26.5] ; [ 7.5 79.5],0
b4,1,0.74682,0.104223,[15 14] ; [48 39],[15.75 13.25] ; [47.25 39.75],0
n4,1,0.747694,0.103479,[14 15] ; [45 42],[14.75 14.25] ; [44.25 42.75],0
u2,1,0.757914,0.095,[7 3] ; [21  7],[7.36842105 2.63157895] ; [20.63157895  7.36842105],0
s4,1,0.767148,0.08768,[ 5 24] ; [13 74],[ 4.5 24.5] ; [13.5 73.5],0
s1,1,0.77521,0.081548,[ 1 28] ; [ 4 81],[ 1.27192982 27.72807018] ; [ 3.72807018 81.27192982],0
v1,1,0.827151,0.04768,[14 14] ; [40 44],[13.5 14.5] ; [40.5 43.5],0
a3,1,0.909656,0.012876,[19 10] ; [58 29],[19.25  9.75] ; [57.75 29.25],0
s3,1,0.909759,0.012847,[15 14] ; [45 40],[15.26315789 13.73684211] ; [44.73684211 40.26315789],0
a8,1,0.922163,0.009547,[ 3 25] ; [ 9 70],[ 3.14018692 24.85981308] ; [ 8.85981308 70.14018692],0
n2,1,0.954891,0.0032,[9 2] ; [19  4],[9.05882353 1.94117647] ; [18.94117647  4.05882353],0
p12,1,0.975322,0.000957,[ 1 27] ; [ 3 84],[ 0.97391304 27.02608696] ; [ 3.02608696 83.97391304],0
b5,1,1.0,0.0,[20  9] ; [60 27],[20.  9.] ; [60. 27.],0
