Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.5e-05,18.767173,[33 35] ; [ 1 29],[23.59183673 44.40816327] ; [10.40816327 19.59183673],1
d3,1,4.5e-05,16.666709,[47 21] ; [ 7 22],[37.8556701 30.1443299] ; [16.1443299 12.8556701],1
d5,1,0.000544,11.960108,[48 20] ; [10 20],[40.24489796 27.75510204] ; [17.75510204 12.24489796],1
v4,1,0.02174,5.266491,[55 13] ; [17 12],[50.4742268 17.5257732] ; [21.5257732  7.4742268],0
r4,1,0.033963,4.496553,[45 23] ; [13 17],[40.24489796 27.75510204] ; [17.75510204 12.24489796],0
n5,1,0.038857,4.267107,[23 44] ; [17 13],[27.62886598 39.37113402] ; [12.37113402 17.62886598],0
p10,1,0.039588,4.235458,[38 30] ; [10 20],[33.30612245 34.69387755] ; [14.69387755 15.30612245],0
p1,1,0.043692,4.068439,[ 3 64] ; [ 5 25],[ 5.5257732 61.4742268] ; [ 2.4742268 27.5257732],0
s5,1,0.046948,3.94725,[16 50] ; [ 2 27],[12.50526316 53.49473684] ; [ 5.49473684 23.50526316],0
s3,1,0.057489,3.608384,[38 28] ; [11 19],[33.6875 32.3125] ; [15.3125 14.6875],0
a3,1,0.064279,3.423377,[42 26] ; [12 17],[37.8556701 30.1443299] ; [16.1443299 12.8556701],0
a7,1,0.068982,3.307086,[45 23] ; [14 16],[40.93877551 27.06122449] ; [18.06122449 11.93877551],0
r3,1,0.069538,3.293889,[51 17] ; [17 13],[47.18367347 20.81632653] ; [20.81632653  9.18367347],0
p9,1,0.090149,2.871709,[42 26] ; [13 17],[38.16326531 29.83673469] ; [16.83673469 13.16326531],0
r1,1,0.09402,2.804165,[44 24] ; [14 16],[40.24489796 27.75510204] ; [17.75510204 12.24489796],0
u2,1,0.100148,2.703192,[18  8] ; [ 8 10],[15.36363636 10.63636364] ; [10.63636364  7.36363636],0
u3,1,0.100148,2.703192,[18  8] ; [ 8 10],[15.36363636 10.63636364] ; [10.63636364  7.36363636],0
s2,1,0.119191,2.427917,[24 43] ; [ 6 24],[20.72164948 46.27835052] ; [ 9.27835052 20.72164948],0
b4,1,0.119758,2.420481,[41 27] ; [13 17],[37.46938776 30.53061224] ; [16.53061224 13.46938776],0
a8,1,0.157454,1.998509,[ 5 61] ; [ 5 24],[ 6.94736842 59.05263158] ; [ 3.05263158 25.94736842],0
a1,1,0.160374,1.9707,[ 5 63] ; [ 5 25],[ 6.93877551 61.06122449] ; [ 3.06122449 26.93877551],0
p3,1,0.167054,1.909181,[23 45] ; [ 6 24],[20.12244898 47.87755102] ; [ 8.87755102 21.12244898],0
v3,1,0.198139,1.656042,[ 7 58] ; [ 6 23],[ 8.9893617 56.0106383] ; [ 4.0106383 24.9893617],0
b5,1,0.219214,1.509508,[43 25] ; [15 15],[40.24489796 27.75510204] ; [17.75510204 12.24489796],0
s1,1,0.223051,1.484633,[ 4 63] ; [ 4 26],[ 5.5257732 61.4742268] ; [ 2.4742268 27.5257732],0
s8,1,0.231618,1.430898,[19 49] ; [ 5 25],[16.65306122 51.34693878] ; [ 7.34693878 22.65306122],0
p11,1,0.237553,1.395059,[36 32] ; [12 18],[33.30612245 34.69387755] ; [14.69387755 15.30612245],0
p2,1,0.247567,1.336984,[44 23] ; [16 14],[41.44329897 25.55670103] ; [18.55670103 11.44329897],0
b1,1,0.264794,1.24352,[40 28] ; [14 16],[37.46938776 30.53061224] ; [16.53061224 13.46938776],0
d2,1,0.316779,1.002197,[30 38] ; [10 20],[27.75510204 40.24489796] ; [12.24489796 17.75510204],0
s7,1,0.346116,0.887648,[16 45] ; [ 5 24],[14.23333333 46.76666667] ; [ 6.76666667 22.23333333],0
p4,1,0.375463,0.785503,[24 43] ; [ 8 22],[22.10309278 44.89690722] ; [ 9.89690722 20.10309278],0
p7,1,0.393804,0.727163,[29 34] ; [11 19],[27.09677419 35.90322581] ; [12.90322581 17.09677419],0
b2,1,0.40952,0.680193,[11 33] ; [ 7 13],[12.375 31.625] ; [ 5.625 14.375],0
b3,1,0.40952,0.680193,[11 33] ; [ 7 13],[12.375 31.625] ; [ 5.625 14.375],0
r2,1,0.418082,0.655701,[56 11] ; [23  7],[54.56701031 12.43298969] ; [24.43298969  5.56701031],0
n4,1,0.457677,0.55157,[33 35] ; [17 13],[34.69387755 33.30612245] ; [15.30612245 14.69387755],0
a4,1,0.462687,0.539388,[28 40] ; [10 20],[26.36734694 41.63265306] ; [11.63265306 18.36734694],0
a5,1,0.479362,0.500313,[37 31] ; [14 16],[35.3877551 32.6122449] ; [15.6122449 14.3877551],0
s6,1,0.548668,0.359709,[27 41] ; [10 20],[25.67346939 42.32653061] ; [11.32653061 18.67346939],0
n3,1,0.580758,0.305011,[10 11] ; [8 6],[10.8 10.2] ; [7.2 6.8],0
a2,1,0.594385,0.283549,[12 56] ; [ 4 26],[11.10204082 56.89795918] ; [ 4.89795918 25.10204082],0
p6,1,0.60438,0.26844,[14 52] ; [ 5 25],[13.0625 52.9375] ; [ 5.9375 24.0625],0
n1,1,0.640854,0.217627,[ 9 13] ; [ 5 10],[ 8.32432432 13.67567568] ; [5.67567568 9.32432432],0
a6,1,0.656052,0.198355,[44 24] ; [18 12],[43.02040816 24.97959184] ; [18.97959184 11.02040816],0
n2,1,0.728532,0.120464,[13  9] ; [8 7],[12.48648649  9.51351351] ; [8.51351351 6.48648649],0
p8,1,0.745459,0.105386,[21 47] ; [ 8 21],[20.32989691 47.67010309] ; [ 8.67010309 20.32989691],0
v1,1,0.883007,0.021656,[21 45] ; [10 20],[21.3125 44.6875] ; [ 9.6875 20.3125],0
s4,1,0.918891,0.01037,[13 55] ; [ 6 24],[13.18367347 54.81632653] ; [ 5.81632653 24.18367347],0
