Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.240885,[31 73] ; [20  5],[41.11627907 62.88372093] ; [ 9.88372093 15.11627907],1
s7,1,0.000136,14.561927,[19 78] ; [14 10],[26.45454545 70.54545455] ; [ 6.54545455 17.45454545],1
s2,1,0.001326,10.305635,[21 82] ; [13 12],[27.359375 75.640625] ; [ 6.640625 18.359375],0
p10,1,0.002184,9.388458,[19 83] ; [12 13],[24.8976378 77.1023622] ; [ 6.1023622 18.8976378],0
s3,1,0.003186,8.697796,[33 70] ; [16  9],[39.4296875 63.5703125] ; [ 9.5703125 15.4296875],0
r4,1,0.003681,8.43473,[59 45] ; [22  3],[65.30232558 38.69767442] ; [15.69767442  9.30232558],0
r3,1,0.008028,7.027173,[72 30] ; [24  1],[77.1023622 24.8976378] ; [18.8976378  6.1023622],0
p4,1,0.014974,5.919552,[24 78] ; [12 13],[28.91338583 73.08661417] ; [ 7.08661417 17.91338583],0
n6,1,0.036052,4.39462,[59 44] ; [20  5],[63.5703125 39.4296875] ; [15.4296875  9.5703125],0
b2,1,0.037127,4.344585,[22 40] ; [ 2 17],[18.37037037 43.62962963] ; [ 5.62962963 13.37037037],0
b3,1,0.037127,4.344585,[22 40] ; [ 2 17],[18.37037037 43.62962963] ; [ 5.62962963 13.37037037],0
v4,1,0.04635,3.968823,[74 27] ; [23  2],[77.75396825 23.24603175] ; [19.24603175  5.75396825],0
n2,1,0.048828,3.88125,[23 23] ; [7 1],[25.55555556 20.44444444] ; [4.44444444 3.55555556],0
d5,1,0.049099,3.871955,[66 38] ; [21  4],[70.13953488 33.86046512] ; [16.86046512  8.13953488],0
u2,1,0.050186,3.835227,[21 21] ; [7 1],[23.52 18.48] ; [4.48 3.52],0
r2,1,0.057681,3.602851,[81 20] ; [24  1],[84.16666667 16.83333333] ; [20.83333333  4.16666667],0
v3,1,0.059084,3.562924,[23 78] ; [10 14],[26.664 74.336] ; [ 6.336 17.664],0
p2,1,0.060695,3.518289,[49 55] ; [17  8],[53.20930233 50.79069767] ; [12.79069767 12.20930233],0
b4,1,0.076836,3.130596,[59 45] ; [19  6],[62.88372093 41.11627907] ; [15.11627907  9.88372093],0
p7,1,0.089629,2.881019,[34 67] ; [13 12],[37.67460317 63.32539683] ; [ 9.32539683 15.67460317],0
d1,1,0.092283,2.834089,[43 61] ; [15 10],[46.75968992 57.24031008] ; [11.24031008 13.75968992],0
n5,1,0.109321,2.564006,[56 47] ; [18  7],[59.546875 43.453125] ; [14.453125 10.546875],0
u3,1,0.138861,2.190537,[20 23] ; [6 2],[21.92156863 21.07843137] ; [4.07843137 3.92156863],0
v2,1,0.162957,1.946574,[35 66] ; [12 12],[37.976 63.024] ; [ 9.024 14.976],0
a4,1,0.182335,1.778486,[39 63] ; [ 6 19],[36.14173228 65.85826772] ; [ 8.85826772 16.14173228],0
p6,1,0.198564,1.652908,[14 89] ; [ 6 19],[16.09375 86.90625] ; [ 3.90625 21.09375],0
a6,1,0.23108,1.434202,[57 47] ; [17  8],[59.65891473 44.34108527] ; [14.34108527 10.65891473],0
