Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,26.508147,[74 10] ; [14 19],[63.17948718 20.82051282] ; [24.82051282  8.17948718],1
s7,1,1e-06,23.335066,[57 21] ; [ 7 24],[45.79816514 32.20183486] ; [18.20183486 12.79816514],1
s8,1,6.5e-05,15.95413,[49 39] ; [ 5 28],[39.27272727 48.72727273] ; [14.72727273 18.27272727],1
p9,1,8.2e-05,15.505501,[67 17] ; [14 19],[58.15384615 25.84615385] ; [22.84615385 10.15384615],1
s5,1,0.003831,8.362325,[37 41] ; [ 6 27],[30.21621622 47.78378378] ; [12.78378378 20.21621622],0
p10,1,0.006129,7.512084,[54 30] ; [12 21],[47.38461538 36.61538462] ; [18.61538462 14.38461538],0
r1,1,0.010411,6.563212,[72 15] ; [20 13],[66.7 20.3] ; [25.3  7.7],0
v2,1,0.014046,6.032328,[44 38] ; [ 9 23],[38.12280702 43.87719298] ; [14.87719298 17.12280702],0
p2,1,0.020686,5.353064,[67 21] ; [18 15],[61.81818182 26.18181818] ; [23.18181818  9.81818182],0
r4,1,0.021284,5.303353,[77 11] ; [23 10],[72.72727273 15.27272727] ; [27.27272727  5.72727273],0
s4,1,0.028679,4.786751,[28 60] ; [ 4 29],[23.27272727 64.72727273] ; [ 8.72727273 24.27272727],0
d3,1,0.030124,4.702194,[63 24] ; [17 16],[58. 29.] ; [22. 11.],0
v4,1,0.035676,4.412521,[81  7] ; [25  7],[77.73333333 10.26666667] ; [28.26666667  3.73333333],0
d5,1,0.036606,4.368627,[69 18] ; [20 13],[64.525 22.475] ; [24.475  8.525],0
a2,1,0.054229,3.705625,[22 66] ; [ 3 30],[18.18181818 69.81818182] ; [ 6.81818182 26.18181818],0
v1,1,0.060457,3.524806,[44 43] ; [10 22],[39.4789916 47.5210084] ; [14.5210084 17.4789916],0
a7,1,0.061878,3.486329,[66 22] ; [19 14],[61.81818182 26.18181818] ; [23.18181818  9.81818182],0
p4,1,0.08751,2.919586,[50 38] ; [13 20],[45.81818182 42.18181818] ; [17.18181818 15.81818182],0
n2,1,0.105645,2.618182,[27  6] ; [9 6],[24.75  8.25] ; [11.25  3.75],0
