Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.002149,9.418118,[ 6 23] ; [46 40],[13.11304348 15.88695652] ; [38.88695652 47.11304348],0
p4,1,0.003836,8.360081,[15 15] ; [19 67],[ 8.79310345 21.20689655] ; [25.20689655 60.79310345],0
s2,1,0.0087,6.883345,[17 13] ; [26 61],[11.02564103 18.97435897] ; [31.97435897 55.02564103],0
s8,1,0.010733,6.508966,[12 18] ; [15 72],[ 6.92307692 23.07692308] ; [20.07692308 66.92307692],0
s6,1,0.011586,6.3731,[18 12] ; [29 57],[12.15517241 17.84482759] ; [34.84482759 51.15517241],0
p1,1,0.01418,6.015647,[ 5 25] ; [ 3 83],[ 2.06896552 27.93103448] ; [ 5.93103448 80.06896552],0
b1,1,0.01743,5.652558,[22  8] ; [42 45],[16.41025641 13.58974359] ; [47.58974359 39.41025641],0
p6,1,0.018887,5.511983,[ 8 22] ; [ 8 77],[ 4.17391304 25.82608696] ; [11.82608696 73.17391304],0
d2,1,0.022194,5.230514,[18 12] ; [31 55],[12.67241379 17.32758621] ; [36.32758621 49.67241379],0
a5,1,0.022334,5.219612,[23  7] ; [46 41],[17.69230769 12.30769231] ; [51.30769231 35.69230769],0
r4,1,0.027315,4.870795,[24  6] ; [50 37],[18.97435897 11.02564103] ; [55.02564103 31.97435897],0
r2,1,0.030776,4.665426,[29  1] ; [68 17],[25.30434783  4.69565217] ; [71.69565217 13.30434783],0
d4,1,0.033185,4.536185,[27  3] ; [60 25],[22.69565217  7.30434783] ; [64.30434783 20.69565217],0
p7,1,0.033699,4.50989,[15 15] ; [24 60],[10.26315789 19.73684211] ; [28.73684211 55.26315789],0
p2,1,0.034743,4.457757,[22  8] ; [44 42],[17.06896552 12.93103448] ; [48.93103448 37.06896552],0
u3,1,0.036429,4.376906,[8 1] ; [16 16],[5.26829268 3.73170732] ; [18.73170732 13.26829268],0
n3,1,0.045074,4.015883,[10  1] ; [24 17],[7.19230769 3.80769231] ; [26.80769231 14.19230769],0
s7,1,0.059434,3.553121,[12 16] ; [19 60],[ 8.11214953 19.88785047] ; [22.88785047 56.11214953],0
s4,1,0.072522,3.224986,[ 8 22] ; [11 76],[ 4.87179487 25.12820513] ; [14.12820513 72.87179487],0
s3,1,0.100266,2.701313,[19 11] ; [39 46],[15.13043478 14.86956522] ; [42.86956522 42.13043478],0
s5,1,0.143746,2.137389,[ 7 19] ; [12 71],[ 4.53211009 21.46788991] ; [14.46788991 68.53211009],0
v1,1,0.155925,2.013305,[15 15] ; [30 55],[11.73913043 18.26086957] ; [33.26086957 51.73913043],0
d1,1,0.173578,1.851767,[16 14] ; [34 53],[12.82051282 17.17948718] ; [37.17948718 49.82051282],0
b3,1,0.184667,1.759657,[ 8 11] ; [12 35],[ 5.75757576 13.24242424] ; [14.24242424 32.75757576],0
b2,1,0.184667,1.759657,[ 8 11] ; [12 35],[ 5.75757576 13.24242424] ; [14.24242424 32.75757576],0
r3,1,0.232292,1.426771,[25  5] ; [63 24],[22.56410256  7.43589744] ; [65.43589744 21.56410256],0
a1,1,0.236219,1.40302,[ 1 29] ; [ 9 78],[ 2.56410256 27.43589744] ; [ 7.43589744 79.56410256],0
p5,1,0.261857,1.258915,[ 2 28] ; [ 2 84],[ 1.03448276 28.96551724] ; [ 2.96551724 83.03448276],0
p9,1,0.277491,1.179336,[20 10] ; [47 38],[17.47826087 12.52173913] ; [49.52173913 35.47826087],0
a2,1,0.292466,1.108235,[ 7 23] ; [13 74],[ 5.12820513 24.87179487] ; [14.87179487 72.12820513],0
v4,1,0.30592,1.048207,[25  5] ; [63 22],[22.95652174  7.04347826] ; [65.04347826 19.95652174],0
a7,1,0.320552,0.986694,[20 10] ; [49 38],[17.69230769 12.30769231] ; [51.30769231 35.69230769],0
d5,1,0.408981,0.68176,[22  8] ; [56 30],[20.17241379  9.82758621] ; [57.82758621 28.17241379],0
n1,1,0.489194,0.478299,[5 6] ; [14 27],[4.01923077 6.98076923] ; [14.98076923 26.01923077],0
n2,1,0.538014,0.379233,[8 3] ; [27 16],[7.12962963 3.87037037] ; [27.87037037 15.12962963],0
a3,1,0.548547,0.359927,[21  9] ; [55 31],[19.65517241 10.34482759] ; [56.34482759 29.65517241],0
s1,1,0.58936,0.291344,[ 1 29] ; [ 5 80],[ 1.56521739 28.43478261] ; [ 4.43478261 80.56521739],0
