Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,159.900299,[ 96 258] ; [234  72],[177. 177.] ; [153. 153.],1
s2,1,0.0,87.587931,[137 229] ; [234  86],[197.93877551 168.06122449] ; [173.06122449 146.93877551],1
s3,1,0.0,71.957352,[154 209] ; [238  81],[208.64516129 154.35483871] ; [183.35483871 135.64516129],1
s6,1,0.0,69.921136,[201 158] ; [272  46],[250.82274742 108.17725258] ; [222.17725258  95.82274742],1
p6,1,0.0,27.090243,[105 254] ; [155 163],[137.87296898 221.12703102] ; [122.12703102 195.87296898],1
s5,1,1e-06,23.91601,[102 256] ; [143 162],[132.29260935 225.70739065] ; [112.70739065 192.29260935],1
v3,1,2e-06,22.502917,[115 238] ; [155 150],[144.84802432 208.15197568] ; [125.15197568 179.84802432],1
p3,1,4e-06,21.292339,[156 210] ; [194 128],[186.19186047 179.80813953] ; [163.80813953 158.19186047],1
d1,1,1.8e-05,18.36906,[233 135] ; [252  70],[258.66666667 109.33333333] ; [226.33333333  95.66666667],1
v1,1,3.2e-05,17.311534,[173 188] ; [200 113],[199.78189911 161.21810089] ; [173.21810089 139.78189911],1
a3,1,5e-05,16.455975,[254 113] ; [265  56],[276.8502907  90.1497093] ; [242.1497093  78.8502907],1
p9,1,7.1e-05,15.771993,[292  67] ; [293  26],[309.75663717  49.24336283] ; [275.24336283  43.75663717],1
d2,1,7.5e-05,15.670947,[171 195] ; [199 123],[196.83139535 169.16860465] ; [173.16860465 148.83139535],1
n4,1,0.000159,14.259885,[266 101] ; [271  50],[286.45203488  80.54796512] ; [250.54796512  70.45203488],1
p12,1,0.000197,13.85871,[ 17 347] ; [ 40 278],[ 30.42228739 333.57771261] ; [ 26.57771261 291.42228739],1
p10,1,0.000308,13.020675,[283  80] ; [282  37],[300.72580645  62.27419355] ; [264.27419355  54.72580645],1
p5,1,0.000357,12.743095,[ 27 339] ; [ 51 266],[ 41.79795022 324.20204978] ; [ 36.20204978 280.79795022],1
p4,1,0.000369,12.685181,[200 162] ; [220 101],[222.60614934 139.39385066] ; [197.39385066 123.60614934],1
n5,1,0.000573,11.860764,[251 114] ; [257  63],[270.68613139  94.31386861] ; [237.31386861  82.68613139],1
u1,1,0.000844,11.142404,[ 60 308] ; [ 86 236],[ 77.86666667 290.13333333] ; [ 68.13333333 253.86666667],1
a5,1,0.001673,9.877197,[267 101] ; [266  56],[284.26666667  83.73333333] ; [248.73333333  73.26666667],0
p8,1,0.002054,9.500498,[176 186] ; [191 125],[195.94985251 166.05014749] ; [171.05014749 144.94985251],0
u4,1,0.004235,8.180137,[  4 364] ; [ 15 307],[ 10.13333333 357.86666667] ; [  8.86666667 313.13333333],0
p7,1,0.004426,8.100272,[216 142] ; [221  91],[233.50149254 124.49850746] ; [203.49850746 108.50149254],0
d5,1,0.010458,6.555243,[314  54] ; [295  27],[324.8  43.2] ; [284.2  37.8],0
b3,1,0.011139,6.442997,[ 68 130] ; [102 117],[ 80.71942446 117.28057554] ; [ 89.28057554 129.71942446],0
