Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.797096,[101  31] ; [22 31],[87.76216216 44.23783784] ; [35.23783784 17.76216216],1
b1,1,0.006362,7.444695,[37 95] ; [26 27],[44.95135135 87.04864865] ; [18.04864865 34.95135135],0
r3,1,0.006524,7.399512,[127   5] ; [45  8],[122.72432432   9.27567568] ; [49.27567568  3.72432432],0
b5,1,0.008269,6.974282,[92 40] ; [26 27],[84.19459459 47.80540541] ; [33.80540541 19.19459459],0
v1,1,0.016278,5.77264,[84 48] ; [23 29],[76.76086957 55.23913043] ; [30.23913043 21.76086957],0
a2,1,0.017817,5.614056,[33 99] ; [ 5 48],[ 27.11351351 104.88648649] ; [10.88648649 42.11351351],0
d4,1,0.019503,5.455878,[112  20] ; [37 16],[106.31351351  25.68648649] ; [42.68648649 10.31351351],0
u1,1,0.026299,4.93624,[ 28 104] ; [ 4 49],[ 22.83243243 109.16756757] ; [ 9.16756757 43.83243243],0
r1,1,0.039358,4.245328,[106  26] ; [35 18],[100.60540541  31.39459459] ; [40.39459459 12.60540541],0
n2,1,0.054292,3.703704,[28  8] ; [7 7],[25.2 10.8] ; [9.8 4.2],0
p2,1,0.084829,2.969862,[109  23] ; [37 15],[104.73913043  27.26086957] ; [41.26086957 10.73913043],0
d5,1,0.099408,2.71502,[113  19] ; [40 13],[109.16756757  22.83243243] ; [43.83243243  9.16756757],0
d3,1,0.105186,2.625094,[98 34] ; [33 20],[93.47027027 38.52972973] ; [37.52972973 15.47027027],0
d2,1,0.116057,2.469738,[53 79] ; [28 25],[57.79459459 74.20540541] ; [23.20540541 29.79459459],0
v2,1,0.11803,2.443269,[79 51] ; [25 27],[74.28571429 55.71428571] ; [29.71428571 22.28571429],0
p4,1,0.118667,2.434826,[90 41] ; [30 23],[85.43478261 45.56521739] ; [34.56521739 18.43478261],0
r4,1,0.126124,2.339575,[120  12] ; [44  9],[117.01621622  14.98378378] ; [46.98378378  6.01621622],0
a3,1,0.135852,2.22432,[90 42] ; [30 23],[85.62162162 46.37837838] ; [34.37837838 18.62162162],0
s5,1,0.159887,1.975292,[42 89] ; [22 29],[46.06593407 84.93406593] ; [17.93406593 33.06593407],0
p8,1,0.203216,1.619107,[70 58] ; [23 29],[66.13333333 61.86666667] ; [26.86666667 25.13333333],0
a8,1,0.229602,1.443323,[17 98] ; [ 4 46],[ 14.63636364 100.36363636] ; [ 6.36363636 43.63636364],0
p7,1,0.240018,1.38049,[84 45] ; [29 23],[80.5359116 48.4640884] ; [32.4640884 19.5359116],0
s4,1,0.264018,1.247564,[ 18 110] ; [11 42],[ 20.50828729 107.49171271] ; [ 8.49171271 44.50828729],0
u2,1,0.281806,1.158359,[27 14] ; [12 11],[24.984375 16.015625] ; [14.015625  8.984375],0
r2,1,0.299457,1.076609,[120  11] ; [45  7],[118.1147541  12.8852459] ; [46.8852459  5.1147541],0
v4,1,0.302333,1.063874,[125   7] ; [48  5],[123.43783784   8.56216216] ; [49.56216216  3.43783784],0
