Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000151,14.357779,[55 13] ; [ 9 14],[47.82417582 20.17582418] ; [16.17582418  6.82417582],1
s5,1,0.030064,4.705635,[27 40] ; [13  6],[31.1627907 35.8372093] ; [ 8.8372093 10.1627907],0
n4,1,0.03128,4.637508,[54 14] ; [13 10],[50.06593407 17.93406593] ; [16.93406593  6.06593407],0
r1,1,0.03415,4.487157,[61  8] ; [16  7],[57.75 11.25] ; [19.25  3.75],0
n3,1,0.054485,3.697778,[16 14] ; [8 1],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
d3,1,0.061268,3.50272,[46 23] ; [20  3],[49.5 19.5] ; [16.5  6.5],0
v1,1,0.104721,2.63213,[41 29] ; [ 9 14],[37.6344086 32.3655914] ; [12.3655914 10.6344086],0
a3,1,0.126238,2.338164,[49 20] ; [20  3],[51.75 17.25] ; [17.25  5.75],0
v4,1,0.13801,2.200011,[67  3] ; [20  3],[65.48387097  4.51612903] ; [21.51612903  1.48387097],0
n1,1,0.15929,1.980952,[18 12] ; [3 6],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
n6,1,0.204118,1.612659,[55 12] ; [16  7],[52.85555556 14.14444444] ; [18.14444444  4.85555556],0
s2,1,0.236685,1.400233,[49 21] ; [19  4],[51.1827957 18.8172043] ; [16.8172043  6.1827957],0
s8,1,0.244876,1.352303,[46 24] ; [12 11],[43.65591398 26.34408602] ; [14.34408602  8.65591398],0
p5,1,0.253078,1.306231,[ 9 61] ; [ 1 22],[ 7.52688172 62.47311828] ; [ 2.47311828 20.52688172],0
p4,1,0.306262,1.046727,[42 28] ; [11 12],[39.89247312 30.10752688] ; [13.10752688  9.89247312],0
s1,1,0.326541,0.962567,[ 8 60] ; [ 1 21],[ 6.8 61.2] ; [ 2.2 19.8],0
u3,1,0.347755,0.881633,[13  8] ; [1 2],[12.25  8.75] ; [1.75 1.25],0
d5,1,0.362611,0.828829,[54 15] ; [20  3],[55.5 13.5] ; [18.5  4.5],0
v2,1,0.366737,0.814691,[34 34] ; [14  9],[35.86813187 32.13186813] ; [12.13186813 10.86813187],0
v3,1,0.391082,0.735574,[25 42] ; [ 6 16],[23.33707865 43.66292135] ; [ 7.66292135 14.33707865],0
b4,1,0.422963,0.642069,[39 31] ; [15  8],[40.64516129 29.35483871] ; [13.35483871  9.64516129],0
a8,1,0.453461,0.561986,[11 51] ; [ 2 17],[ 9.95061728 52.04938272] ; [ 3.04938272 15.95061728],0
r4,1,0.459264,0.547688,[62  8] ; [19  4],[60.96774194  9.03225806] ; [20.03225806  2.96774194],0
p2,1,0.464925,0.534012,[54 16] ; [16  7],[52.68817204 17.31182796] ; [17.31182796  5.68817204],0
b5,1,0.482077,0.494161,[43 27] ; [16  7],[44.40860215 25.59139785] ; [14.59139785  8.40860215],0
u2,1,0.483578,0.490783,[11  9] ; [1 2],[10.43478261  9.56521739] ; [1.56521739 1.43478261],0
r3,1,0.485466,0.486559,[64  6] ; [19  3],[63.15217391  6.84782609] ; [19.84782609  2.15217391],0
p7,1,0.504374,0.44572,[32 37] ; [12 10],[33.36263736 35.63736264] ; [10.63736264 11.36263736],0
b3,1,0.505219,0.443957,[16 26] ; [3 8],[15.05660377 26.94339623] ; [3.94339623 7.05660377],0
b2,1,0.505219,0.443957,[16 26] ; [3 8],[15.05660377 26.94339623] ; [3.94339623 7.05660377],0
b1,1,0.509326,0.435452,[42 28] ; [12 11],[40.64516129 29.35483871] ; [13.35483871  9.64516129],0
p10,1,0.516979,0.419917,[46 23] ; [13  9],[44.73626374 24.26373626] ; [14.26373626  7.73626374],0
a7,1,0.52139,0.411144,[50 20] ; [18  5],[51.1827957 18.8172043] ; [16.8172043  6.1827957],0
s3,1,0.543129,0.36977,[47 23] ; [17  6],[48.17204301 21.82795699] ; [15.82795699  7.17204301],0
p6,1,0.556558,0.345699,[30 40] ; [11 11],[31.19565217 38.80434783] ; [ 9.80434783 12.19565217],0
p8,1,0.567039,0.327663,[27 43] ; [ 7 15],[25.86956522 44.13043478] ; [ 8.13043478 13.86956522],0
