Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.010934,6.476,[655 149] ; [9 7],[651.04390244 152.95609756] ; [12.95609756  3.04390244],0
n1,1,0.014554,5.96971,[ 61 104] ; [7 2],[ 64.48275862 100.51724138] ; [3.51724138 5.48275862],0
p11,1,0.017443,5.651205,[649 159] ; [9 7],[645.22330097 162.77669903] ; [12.77669903  3.22330097],0
p2,1,0.027397,4.865634,[669 133] ; [10  6],[665.71882641 136.28117359] ; [13.28117359  2.71882641],0
d4,1,0.039271,4.249085,[663 141] ; [10  6],[659.86829268 144.13170732] ; [13.13170732  2.86829268],0
s1,1,0.045506,3.99977,[ 26 768] ; [ 2 14],[ 27.44691358 766.55308642] ; [ 0.55308642 15.44691358],0
a4,1,0.047422,3.930336,[368 437] ; [ 3 12],[364.21341463 440.78658537] ; [6.78658537 8.21341463],0
b4,1,0.060847,3.514142,[468 340] ; [13  3],[471.66019417 336.33980583] ; [9.33980583 6.66019417],0
s5,1,0.073448,3.204239,[268 505] ; [9 7],[271.38276299 501.61723701] ; [ 5.61723701 10.38276299],0
p7,1,0.073757,3.197375,[512 272] ; [7 9],[508.62 275.38] ; [10.38  5.62],0
a2,1,0.087907,2.912287,[200 608] ; [ 1 15],[197.09708738 610.90291262] ; [ 3.90291262 12.09708738],0
d3,1,0.089209,2.888591,[561 243] ; [8 8],[557.89756098 246.10243902] ; [11.10243902  4.89756098],0
a6,1,0.099027,2.72115,[557 247] ; [8 8],[553.97560976 250.02439024] ; [11.02439024  4.97560976],0
b1,1,0.10757,2.589567,[296 512] ; [9 7],[299.0776699 508.9223301] ; [ 5.9223301 10.0776699],0
p8,1,0.116168,2.468237,[419 373] ; [11  4],[422.00743494 369.99256506] ; [7.99256506 7.00743494],0
p1,1,0.156741,2.005391,[ 69 732] ; [ 3 13],[ 70.58996328 730.41003672] ; [ 1.41003672 14.58996328],0
p10,1,0.173874,1.84922,[652 143] ; [11  5],[649.91985203 145.08014797] ; [13.08014797  2.91985203],0
v2,1,0.190323,1.715112,[440 333] ; [6 9],[437.51015228 335.48984772] ; [8.48984772 6.51015228],0
u1,1,0.204008,1.613448,[151 657] ; [ 1 15],[149.04854369 658.95145631] ; [ 2.95145631 13.04854369],0
n5,1,0.241634,1.371034,[599 203] ; [14  2],[601.00977995 200.99022005] ; [11.99022005  4.00977995],0
u3,1,0.319449,0.991201,[143  88] ; [2 3],[141.9279661  89.0720339] ; [3.0720339 1.9279661],0
