Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.2e-05,15.295667,[18  9] ; [25 71],[ 9.43902439 17.56097561] ; [33.56097561 62.43902439],1
s3,1,0.000132,14.609466,[17 10] ; [23 73],[ 8.7804878 18.2195122] ; [31.2195122 64.7804878],1
r3,1,0.023604,5.123527,[25  2] ; [68 27],[20.58196721  6.41803279] ; [72.41803279 22.58196721],0
p7,1,0.034338,4.477809,[17 10] ; [38 57],[12.17213115 14.82786885] ; [42.82786885 52.17213115],0
p11,1,0.062662,3.4655,[16 11] ; [38 59],[11.75806452 15.24193548] ; [42.24193548 54.75806452],0
n2,1,0.089076,2.890991,[6 1] ; [21 20],[3.9375 3.0625] ; [23.0625 17.9375],0
d4,1,0.095513,2.77891,[22  5] ; [62 34],[18.43902439  8.56097561] ; [65.56097561 30.43902439],0
p8,1,0.109272,2.564719,[11 16] ; [24 72],[ 7.68292683 19.31707317] ; [27.31707317 68.68292683],0
p3,1,0.109272,2.564719,[11 16] ; [24 72],[ 7.68292683 19.31707317] ; [27.31707317 68.68292683],0
s8,1,0.128311,2.312821,[ 5 22] ; [ 8 88],[ 2.85365854 24.14634146] ; [10.14634146 85.85365854],0
b1,1,0.141547,2.16106,[11 16] ; [55 42],[14.37096774 12.62903226] ; [51.62903226 45.37096774],0
u1,1,0.219381,1.508416,[ 4 23] ; [ 7 90],[ 2.39516129 24.60483871] ; [ 8.60483871 88.39516129],0
a3,1,0.233232,1.421043,[17 10] ; [48 48],[14.26829268 12.73170732] ; [50.73170732 45.26829268],0
r4,1,0.240554,1.377347,[20  7] ; [60 37],[17.41935484  9.58064516] ; [62.58064516 34.41935484],0
v1,1,0.250102,1.322733,[10 17] ; [25 72],[ 7.62096774 19.37903226] ; [27.37903226 69.62096774],0
p1,1,0.285651,1.140006,[ 1 26] ; [10 87],[ 2.39516129 24.60483871] ; [ 8.60483871 88.39516129],0
a8,1,0.288938,1.124565,[ 3 23] ; [ 5 85],[ 1.79310345 24.20689655] ; [ 6.20689655 83.79310345],0
p6,1,0.290762,1.11609,[ 6 21] ; [13 81],[ 4.23966942 22.76033058] ; [14.76033058 79.23966942],0
a4,1,0.299114,1.078138,[ 6 21] ; [31 64],[ 8.18852459 18.81147541] ; [28.81147541 66.18852459],0
b4,1,0.299587,1.07603,[14 13] ; [61 36],[16.33064516 10.66935484] ; [58.66935484 38.33064516],0
p4,1,0.304196,1.055707,[12 15] ; [32 63],[ 9.73770492 17.26229508] ; [34.26229508 60.73770492],0
r1,1,0.307917,1.039588,[20  7] ; [61 35],[17.7804878  9.2195122] ; [63.2195122 32.7804878],0
d3,1,0.320548,0.986708,[16 11] ; [47 50],[13.71774194 13.28225806] ; [49.28225806 47.71774194],0
n1,1,0.330992,0.945014,[1 6] ; [13 27],[2.08510638 4.91489362] ; [11.91489362 28.08510638],0
n4,1,0.369283,0.806076,[14 13] ; [59 37],[16.02439024 10.97560976] ; [56.97560976 39.02439024],0
n6,1,0.411952,0.67316,[18  9] ; [55 40],[16.1557377 10.8442623] ; [56.8442623 38.1557377],0
v2,1,0.450552,0.569263,[11 14] ; [34 61],[ 9.375 15.625] ; [35.625 59.375],0
s1,1,0.490257,0.475962,[ 1 26] ; [ 7 87],[ 1.78512397 25.21487603] ; [ 6.21487603 87.78512397],0
s4,1,0.504714,0.44501,[ 2 24] ; [12 85],[ 2.95934959 23.04065041] ; [11.04065041 85.95934959],0
p2,1,0.513901,0.426117,[15 12] ; [47 50],[13.5 13.5] ; [48.5 48.5],0
n5,1,0.515728,0.422429,[13 14] ; [53 43],[14.48780488 12.51219512] ; [51.51219512 44.48780488],0
v3,1,0.624861,0.239095,[ 7 19] ; [21 73],[ 6.06666667 19.93333333] ; [21.93333333 72.06666667],0
v4,1,0.625707,0.237928,[22  5] ; [74 22],[21.07317073  5.92682927] ; [74.92682927 21.07317073],0
u3,1,0.688144,0.161102,[4 6] ; [23 26],[4.57627119 5.42372881] ; [22.42372881 26.57627119],0
d1,1,0.692223,0.156689,[12 15] ; [39 58],[11.10483871 15.89516129] ; [39.89516129 57.10483871],0
d2,1,0.715024,0.133311,[12 15] ; [46 49],[12.83606557 14.16393443] ; [45.16393443 49.83606557],0
a2,1,0.75347,0.098638,[ 3 24] ; [13 84],[ 3.48387097 23.51612903] ; [12.51612903 84.48387097],0
d5,1,0.791733,0.069728,[18  9] ; [62 35],[17.41935484  9.58064516] ; [62.58064516 34.41935484],0
a6,1,0.812147,0.056481,[16 11] ; [55 42],[15.45967742 11.54032258] ; [55.54032258 41.45967742],0
p10,1,0.838645,0.041464,[ 5 22] ; [16 79],[ 4.64754098 22.35245902] ; [16.35245902 78.64754098],0
b5,1,0.857489,0.032246,[15 12] ; [52 45],[14.58870968 12.41129032] ; [52.41129032 44.58870968],0
n3,1,0.894988,0.017423,[5 3] ; [24 16],[4.83333333 3.16666667] ; [24.16666667 15.83333333],0
a5,1,0.932558,0.007162,[15 12] ; [53 44],[14.80645161 12.19354839] ; [53.19354839 43.80645161],0
b2,1,0.942016,0.005291,[3 7] ; [19 42],[3.09859155 6.90140845] ; [18.90140845 42.09859155],0
b3,1,0.942016,0.005291,[3 7] ; [19 42],[3.09859155 6.90140845] ; [18.90140845 42.09859155],0
a7,1,0.944764,0.0048,[16 11] ; [57 38],[16.1557377 10.8442623] ; [56.8442623 38.1557377],0
r2,1,0.958955,0.002649,[22  5] ; [77 17],[22.09090909  4.90909091] ; [76.90909091 17.09090909],0
u2,1,0.980129,0.00062,[4 6] ; [19 28],[4.03508772 5.96491228] ; [18.96491228 28.03508772],0
s5,1,0.991956,0.000102,[ 4 23] ; [14 81],[ 3.98360656 23.01639344] ; [14.01639344 80.98360656],0
