Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000243,13.464554,[ 5 32] ; [6 2],[ 9.04444444 27.95555556] ; [1.95555556 6.04444444],1
p8,1,0.000919,10.983953,[ 4 33] ; [5 3],[ 7.4 29.6] ; [1.6 6.4],1
d3,1,0.004244,8.176531,[12 25] ; [7 1],[15.62222222 21.37777778] ; [3.37777778 4.62222222],0
s6,1,0.011486,6.38859,[ 7 30] ; [5 3],[ 9.86666667 27.13333333] ; [2.13333333 5.86666667],0
n6,1,0.023046,5.165045,[14 22] ; [6 1],[16.74418605 19.25581395] ; [3.25581395 3.74418605],0
s4,1,0.026586,4.91749,[ 3 34] ; [3 5],[ 4.93333333 32.06666667] ; [1.06666667 6.93333333],0
a5,1,0.060508,3.523396,[19 18] ; [7 1],[21.37777778 15.62222222] ; [4.62222222 3.37777778],0
v1,1,0.060921,3.512133,[10 26] ; [5 3],[12.27272727 23.72727273] ; [2.72727273 5.27272727],0
s1,1,0.077412,3.118408,[ 2 35] ; [2 6],[ 3.28888889 33.71111111] ; [0.71111111 7.28888889],0
p5,1,0.077412,3.118408,[ 2 35] ; [2 6],[ 3.28888889 33.71111111] ; [0.71111111 7.28888889],0
p10,1,0.08933,2.886409,[11 25] ; [5 3],[13.09090909 22.90909091] ; [2.90909091 5.09090909],0
p2,1,0.08933,2.886409,[11 25] ; [5 3],[13.09090909 22.90909091] ; [2.90909091 5.09090909],0
u3,1,0.129155,2.302632,[ 2 17] ; [1 1],[ 2.71428571 16.28571429] ; [0.28571429 1.71428571],0
b4,1,0.15197,2.052365,[24 13] ; [3 5],[22.2 14.8] ; [4.8 3.2],0
a3,1,0.198959,1.65,[18 18] ; [6 2],[19.63636364 16.36363636] ; [4.36363636 3.63636364],0
u2,1,0.24122,1.373452,[ 3 16] ; [1 1],[ 3.61904762 15.38095238] ; [0.38095238 1.61904762],0
p9,1,0.247621,1.336678,[14 21] ; [5 3],[15.46511628 19.53488372] ; [3.53488372 4.46511628],0
r4,1,0.251681,1.313948,[ 7 30] ; [3 5],[ 8.22222222 28.77777778] ; [1.77777778 6.22222222],0
p11,1,0.25704,1.284628,[15 22] ; [5 3],[16.44444444 20.55555556] ; [3.55555556 4.44444444],0
a6,1,0.25704,1.284628,[15 22] ; [5 3],[16.44444444 20.55555556] ; [3.55555556 4.44444444],0
d5,1,0.27675,1.18298,[20 17] ; [6 2],[21.37777778 15.62222222] ; [4.62222222 3.37777778],0
b2,1,0.332922,0.9375,[ 9 15] ; [1 5],[ 8. 16.] ; [2. 4.],0
b3,1,0.332922,0.9375,[ 9 15] ; [1 5],[ 8. 16.] ; [2. 4.],0
n2,1,0.368066,0.810185,[ 7 11] ; [2 1],[ 7.71428571 10.28571429] ; [1.28571429 1.71428571],0
b5,1,0.395693,0.721377,[17 20] ; [5 3],[18.08888889 18.91111111] ; [3.91111111 4.08888889],0
d4,1,0.411031,0.675818,[22 15] ; [6 2],[23.02222222 13.97777778] ; [4.97777778 3.02222222],0
r1,1,0.431669,0.618328,[13 24] ; [4 4],[13.97777778 23.02222222] ; [3.02222222 4.97777778],0
v2,1,0.472714,0.515625,[ 9 27] ; [3 5],[ 9.81818182 26.18181818] ; [2.18181818 5.81818182],0
n3,1,0.475533,0.509091,[ 8 10] ; [2 1],[8.57142857 9.42857143] ; [1.42857143 1.57142857],0
r2,1,0.477055,0.505589,[17 18] ; [5 3],[17.90697674 17.09302326] ; [4.09302326 3.90697674],0
b1,1,0.477288,0.505054,[18 19] ; [5 3],[18.91111111 18.08888889] ; [4.08888889 3.91111111],0
a7,1,0.477288,0.505054,[19 18] ; [3 5],[18.08888889 18.91111111] ; [3.91111111 4.08888889],0
p6,1,0.496694,0.461994,[ 2 33] ; [1 7],[ 2.44186047 32.55813953] ; [0.55813953 7.44186047],0
v3,1,0.666763,0.185411,[ 7 30] ; [1 7],[ 6.57777778 30.42222222] ; [1.42222222 6.57777778],0
d1,1,0.666853,0.185305,[11 26] ; [3 5],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
d2,1,0.666889,0.185263,[15 21] ; [4 4],[15.54545455 20.45454545] ; [3.45454545 4.54545455],0
s2,1,0.692249,0.156662,[ 3 34] ; [1 7],[ 3.28888889 33.71111111] ; [0.71111111 7.28888889],0
s7,1,0.753799,0.098366,[ 7 28] ; [2 6],[ 7.3255814 27.6744186] ; [1.6744186 6.3255814],0
r3,1,0.7753,0.081481,[20 16] ; [4 4],[19.63636364 16.36363636] ; [4.36363636 3.63636364],0
n4,1,0.782774,0.076014,[25 12] ; [5 3],[24.66666667 12.33333333] ; [5.33333333 2.66666667],0
a4,1,0.822066,0.050575,[12 24] ; [3 5],[12.27272727 23.72727273] ; [2.72727273 5.27272727],0
s5,1,0.890357,0.019003,[ 4 33] ; [1 7],[ 4.11111111 32.88888889] ; [0.88888889 7.11111111],0
s8,1,0.890357,0.019003,[ 4 33] ; [1 7],[ 4.11111111 32.88888889] ; [0.88888889 7.11111111],0
p1,1,0.939048,0.005847,[ 5 32] ; [1 7],[ 4.93333333 32.06666667] ; [1.06666667 6.93333333],0
a2,1,0.939048,0.005847,[ 5 32] ; [1 7],[ 4.93333333 32.06666667] ; [1.06666667 6.93333333],0
n5,1,0.985741,0.000319,[23 14] ; [5 3],[23.02222222 13.97777778] ; [4.97777778 3.02222222],0
n1,1,1.0,0.0,[ 6 12] ; [1 2],[ 6. 12.] ; [1. 2.],0
