Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001789,9.754144,[2 1] ; [10 96],[0.33027523 2.66972477] ; [11.66972477 94.33027523],0
v1,1,0.257751,1.280795,[2 1] ; [37 69],[1.0733945 1.9266055] ; [37.9266055 68.0733945],0
v2,1,0.276375,1.184828,[2 1] ; [37 66],[1.10377358 1.89622642] ; [37.89622642 65.10377358],0
a4,1,0.373053,0.793469,[2 1] ; [43 62],[1.25 1.75] ; [43.75 61.25],0
n1,1,0.499244,0.456542,[2 1] ; [20 23],[1.43478261 1.56521739] ; [20.56521739 22.43478261],0
s6,1,0.514099,0.425715,[2 1] ; [49 54],[1.44339623 1.55660377] ; [49.55660377 53.44339623],0
a2,1,0.531001,0.392476,[1 2] ; [20 86],[0.57798165 2.42201835] ; [20.42201835 85.57798165],0
v4,1,0.571811,0.319662,[2 1] ; [84 21],[2.38888889 0.61111111] ; [83.61111111 21.38888889],0
a6,1,0.580192,0.305925,[2 1] ; [53 52],[1.52777778 1.47222222] ; [53.47222222 51.52777778],0
d3,1,0.625051,0.238832,[2 1] ; [55 50],[1.58333333 1.41666667] ; [55.41666667 49.58333333],0
a7,1,0.635753,0.22434,[2 1] ; [56 50],[1.59633028 1.40366972] ; [56.40366972 49.59633028],0
s8,1,0.653511,0.201502,[1 2] ; [23 80],[0.67924528 2.32075472] ; [23.32075472 79.67924528],0
n5,1,0.658526,0.195319,[2 1] ; [57 49],[1.62385321 1.37614679] ; [57.37614679 48.62385321],0
a3,1,0.68158,0.168352,[2 1] ; [58 48],[1.65137615 1.34862385] ; [58.34862385 47.65137615],0
a5,1,0.728546,0.120451,[2 1] ; [60 46],[1.70642202 1.29357798] ; [60.29357798 45.70642202],0
n6,1,0.752465,0.099471,[2 1] ; [61 45],[1.73394495 1.26605505] ; [61.26605505 44.73394495],0
n2,1,0.771806,0.084108,[2 1] ; [25 18],[1.76086957 1.23913043] ; [25.23913043 17.76086957],0
b4,1,0.801201,0.0634,[2 1] ; [63 43],[1.78899083 1.21100917] ; [63.21100917 42.78899083],0
s7,1,0.819894,0.051839,[1 2] ; [26 69],[0.82653061 2.17346939] ; [26.17346939 68.82653061],0
v3,1,0.822294,0.050443,[1 2] ; [28 74],[0.82857143 2.17142857] ; [28.17142857 73.82857143],0
s3,1,0.841336,0.040074,[1 2] ; [41 64],[1.16666667 1.83333333] ; [40.83333333 64.16666667],0
n3,1,0.869456,0.027011,[2 1] ; [26 16],[1.86666667 1.13333333] ; [26.13333333 15.86666667],0
b3,1,0.921515,0.009707,[1 2] ; [19 43],[0.92307692 2.07692308] ; [19.07692308 42.92307692],0
b2,1,0.921515,0.009707,[1 2] ; [19 43],[0.92307692 2.07692308] ; [19.07692308 42.92307692],0
s2,1,0.944161,0.004906,[1 2] ; [33 72],[0.94444444 2.05555556] ; [33.05555556 71.94444444],0
