Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.010046,6.626678,[12 29] ; [5 1],[14.82978723 26.17021277] ; [2.17021277 3.82978723],0
b2,1,0.019131,5.489521,[ 7 16] ; [5 1],[ 9.51724138 13.48275862] ; [2.48275862 3.51724138],0
b3,1,0.019131,5.489521,[ 7 16] ; [5 1],[ 9.51724138 13.48275862] ; [2.48275862 3.51724138],0
s8,1,0.019145,5.488203,[14 28] ; [5 1],[16.625 25.375] ; [2.375 3.625],0
a8,1,0.021874,5.255792,[ 6 36] ; [2 1],[ 7.46666667 34.53333333] ; [0.53333333 2.46666667],0
p5,1,0.022142,5.23457,[ 3 40] ; [2 3],[ 4.47916667 38.52083333] ; [0.52083333 4.47916667],0
a1,1,0.045722,3.991825,[ 3 40] ; [2 4],[ 4.3877551 38.6122449] ; [0.6122449 5.3877551],0
a2,1,0.054872,3.685957,[ 7 36] ; [3 3],[ 8.7755102 34.2244898] ; [1.2244898 4.7755102],0
s3,1,0.056537,3.636158,[18 25] ; [5 1],[20.18367347 22.81632653] ; [2.81632653 3.18367347],0
d2,1,0.056537,3.636158,[18 25] ; [5 1],[20.18367347 22.81632653] ; [2.81632653 3.18367347],0
p4,1,0.072345,3.228999,[19 24] ; [5 1],[21.06122449 21.93877551] ; [2.93877551 3.06122449],0
d1,1,0.072345,3.228999,[19 24] ; [5 1],[21.06122449 21.93877551] ; [2.93877551 3.06122449],0
u1,1,0.092536,2.829698,[ 4 39] ; [2 4],[ 5.26530612 37.73469388] ; [0.73469388 5.26530612],0
p12,1,0.096287,2.765999,[ 1 42] ; [1 5],[ 1.75510204 41.24489796] ; [0.24489796 5.75510204],0
s2,1,0.208374,1.582687,[17 26] ; [4 2],[18.42857143 24.57142857] ; [2.57142857 3.42857143],0
a4,1,0.208374,1.582687,[17 26] ; [4 2],[18.42857143 24.57142857] ; [2.57142857 3.42857143],0
p3,1,0.208374,1.582687,[17 26] ; [4 2],[18.42857143 24.57142857] ; [2.57142857 3.42857143],0
p7,1,0.219776,1.505834,[24 18] ; [5 1],[25.375 16.625] ; [3.625 2.375],0
d5,1,0.32203,0.980684,[27 16] ; [5 1],[28.08163265 14.91836735] ; [3.91836735 2.08163265],0
p8,1,0.325689,0.965963,[19 23] ; [4 2],[20.125 21.875] ; [2.875 3.125],0
a7,1,0.413124,0.669793,[21 22] ; [4 2],[21.93877551 21.06122449] ; [3.06122449 2.93877551],0
n4,1,0.428827,0.625999,[29 14] ; [5 1],[29.83673469 13.16326531] ; [4.16326531 1.83673469],0
a6,1,0.543215,0.369613,[23 20] ; [4 2],[23.69387755 19.30612245] ; [3.30612245 2.69387755],0
r1,1,0.559084,0.341292,[31 12] ; [5 1],[31.59183673 11.40816327] ; [4.40816327 1.59183673],0
p6,1,0.658036,0.195918,[17 25] ; [3 3],[17.5 24.5] ; [2.5 3.5],0
s5,1,0.664663,0.187908,[10 30] ; [2 4],[10.43478261 29.56521739] ; [1.56521739 4.43478261],0
b4,1,0.770241,0.085299,[26 17] ; [4 2],[26.32653061 16.67346939] ; [3.67346939 2.32653061],0
b5,1,0.87731,0.023833,[30 13] ; [4 2],[29.83673469 13.16326531] ; [4.16326531 1.83673469],0
