Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,28.890641,[  9 239] ; [13 39],[ 18.18666667 229.81333333] ; [ 3.81333333 48.18666667],1
s6,1,0.0,25.72078,[ 77 172] ; [35 16],[ 92.96 156.04] ; [19.04 31.96],1
p3,1,0.001762,9.782103,[ 73 175] ; [27 25],[ 82.66666667 165.33333333] ; [17.33333333 34.66666667],0
d2,1,0.003954,8.305007,[101 147] ; [32 19],[110.31438127 137.68561873] ; [22.68561873 28.31438127],0
p12,1,0.00551,7.704073,[  5 243] ; [ 5 47],[  8.26666667 239.73333333] ; [ 1.73333333 50.26666667],0
b5,1,0.009303,6.763666,[154  95] ; [22 30],[145.59468439 103.40531561] ; [30.40531561 21.59468439],0
n6,1,0.025254,5.006416,[182  64] ; [46  6],[188.2147651  57.7852349] ; [39.7852349 12.2147651],0
u1,1,0.060051,3.535966,[ 25 224] ; [10 42],[ 28.95348837 220.04651163] ; [ 6.04651163 45.95348837],0
p1,1,0.064366,3.42115,[ 12 236] ; [ 6 46],[ 14.88 233.12] ; [ 3.12 48.88],0
r1,1,0.075758,3.15364,[169  78] ; [42 10],[174.30434783  72.69565217] ; [36.69565217 15.30434783],0
a4,1,0.098249,2.733744,[ 93 154] ; [26 26],[ 98.30434783 148.69565217] ; [20.69565217 31.30434783],0
r4,1,0.125527,2.346971,[186  63] ; [44  8],[190.26578073  58.73421927] ; [39.73421927 12.26578073],0
s8,1,0.129894,2.293767,[ 41 207] ; [13 38],[ 44.78929766 203.21070234] ; [ 9.21070234 41.78929766],0
a8,1,0.14614,2.112082,[ 22 204] ; [ 8 39],[ 24.83516484 201.16483516] ; [ 5.16483516 41.83516484],0
v2,1,0.156785,2.004967,[112 127] ; [30 22],[116.62542955 122.37457045] ; [25.37457045 26.62542955],0
p4,1,0.202712,1.622724,[ 93 155] ; [24 27],[ 97.04347826 150.95652174] ; [19.95652174 31.04347826],0
p2,1,0.210589,1.56737,[169  79] ; [40 12],[172.77333333  75.22666667] ; [36.22666667 15.77333333],0
d1,1,0.232705,1.42425,[121 128] ; [30 22],[124.91362126 124.08637874] ; [26.08637874 25.91362126],0
p10,1,0.258985,1.274173,[164  83] ; [38 13],[167.4295302  79.5704698] ; [34.5704698 16.4295302],0
n4,1,0.280813,1.163151,[162  86] ; [38 14],[165.33333333  82.66666667] ; [34.66666667 17.33333333],0
d4,1,0.291948,1.110617,[188  61] ; [42  9],[190.9  58.1] ; [39.1 11.9],0
n3,1,0.303968,1.056705,[44 34] ; [8 3],[45.57303371 32.42696629] ; [6.42696629 4.57303371],0
n5,1,0.32253,0.978659,[163  84] ; [38 14],[166.04347826  80.95652174] ; [34.95652174 17.04347826],0
s7,1,0.342273,0.901899,[ 45 192] ; [12 36],[ 47.4 189.6] ; [ 9.6 38.4],0
b3,1,0.346759,0.885283,[46 98] ; [13 19],[48.27272727 95.72727273] ; [10.72727273 21.27272727],0
b2,1,0.346759,0.885283,[46 98] ; [13 19],[48.27272727 95.72727273] ; [10.72727273 21.27272727],0
v4,1,0.385696,0.752469,[213  35] ; [47  5],[214.93333333  33.06666667] ; [45.06666667  6.93333333],0
a7,1,0.387263,0.747518,[171  77] ; [32 19],[168.37458194  79.62541806] ; [34.62541806 16.37458194],0
b1,1,0.414178,0.666776,[ 95 154] ; [23 29],[ 97.61461794 151.38538206] ; [20.38538206 31.61461794],0
p9,1,0.446134,0.580456,[168  75] ; [38 13],[170.26530612  72.73469388] ; [35.73469388 15.26530612],0
a5,1,0.495324,0.464941,[170  79] ; [38 14],[172.06644518  76.93355482] ; [35.93355482 16.06644518],0
n1,1,0.537079,0.38098,[24 55] ; [4 6],[24.85393258 54.14606742] ; [3.14606742 6.85393258],0
s2,1,0.541803,0.372208,[ 26 222] ; [ 4 48],[ 24.8 223.2] ; [ 5.2 46.8],0
r3,1,0.551927,0.353876,[210  37] ; [45  6],[211.3590604  35.6409396] ; [43.6409396  7.3590604],0
a2,1,0.554409,0.349477,[ 44 205] ; [11 41],[ 45.49833887 203.50166113] ; [ 9.50166113 42.49833887],0
d5,1,0.566519,0.328541,[187  62] ; [41 11],[188.61129568  60.38870432] ; [39.38870432 12.61129568],0
u3,1,0.571294,0.320523,[42 49] ; [ 7 11],[40.90825688 50.09174312] ; [8.09174312 9.90825688],0
p7,1,0.607808,0.26338,[104 142] ; [24 28],[105.66442953 140.33557047] ; [22.33557047 29.66442953],0
u2,1,0.616852,0.250317,[43 47] ; [ 7 10],[42.05607477 47.94392523] ; [7.94392523 9.05607477],0
v1,1,0.648065,0.208349,[105 141] ; [20 31],[103.53535354 142.46464646] ; [21.46464646 29.53535354],0
s4,1,0.682176,0.167686,[ 24 224] ; [ 4 47],[ 23.22408027 224.77591973] ; [ 4.77591973 46.22408027],0
a6,1,0.698343,0.150202,[165  84] ; [33 19],[163.79401993  85.20598007] ; [34.20598007 17.79401993],0
p11,1,0.767399,0.087485,[172  77] ; [37 15],[172.89368771  76.10631229] ; [36.10631229 15.89368771],0
a1,1,0.77463,0.081982,[ 12 237] ; [ 3 49],[ 12.40863787 236.59136213] ; [ 2.59136213 49.40863787],0
r2,1,0.810207,0.057676,[208  36] ; [45  7],[208.55405405  35.44594595] ; [44.44594595  7.55405405],0
p8,1,0.813356,0.055743,[ 96 150] ; [19 32],[ 95.25252525 150.74747475] ; [19.74747475 31.25252525],0
a3,1,0.819037,0.052342,[158  90] ; [34 18],[158.72  89.28] ; [33.28 18.72],0
d3,1,0.912382,0.012108,[156  93] ; [33 19],[156.34883721  92.65116279] ; [32.65116279 19.34883721],0
s1,1,0.923672,0.009179,[  9 238] ; [ 2 49],[  9.11744966 237.88255034] ; [ 1.88255034 49.11744966],0
n2,1,0.952347,0.003571,[51 28] ; [7 4],[50.91111111 28.08888889] ; [7.08888889 3.91111111],0
v3,1,0.963598,0.002083,[ 74 164] ; [16 36],[ 73.86206897 164.13793103] ; [16.13793103 35.86206897],0
b4,1,0.996757,1.7e-05,[134 115] ; [28 24],[134.01328904 114.98671096] ; [27.98671096 24.01328904],0
