Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.008927,6.837299,[91 10] ; [33 12],[85.78082192 15.21917808] ; [38.21917808  6.78082192],0
d1,1,0.01345,6.10898,[49 52] ; [12 33],[42.19863014 58.80136986] ; [18.80136986 26.19863014],0
a7,1,0.036901,4.354967,[75 25] ; [26 19],[69.65517241 30.34482759] ; [31.34482759 13.65517241],0
s5,1,0.039612,4.234429,[30 69] ; [ 6 37],[25.09859155 73.90140845] ; [10.90140845 32.09859155],0
d4,1,0.090172,2.871295,[76 25] ; [27 17],[71.74482759 29.25517241] ; [31.25517241 12.74482759],0
b1,1,0.103503,2.650713,[35 66] ; [22 23],[39.43150685 61.56849315] ; [17.56849315 27.43150685],0
s7,1,0.116875,2.45871,[20 76] ; [14 28],[23.65217391 72.34782609] ; [10.34782609 31.65217391],0
u3,1,0.120408,2.412009,[26 18] ; [ 9 14],[22.98507463 21.01492537] ; [12.01492537 10.98507463],0
r3,1,0.122978,2.378978,[92  9] ; [37  8],[89.23972603 11.76027397] ; [39.76027397  5.23972603],0
d3,1,0.153435,2.037763,[67 33] ; [24 20],[63.19444444 36.80555556] ; [27.80555556 16.19444444],0
p11,1,0.155625,2.016235,[57 44] ; [31 14],[60.87671233 40.12328767] ; [27.12328767 17.87671233],0
s8,1,0.227196,1.458329,[22 79] ; [14 31],[24.90410959 76.09589041] ; [11.09589041 33.90410959],0
d2,1,0.238928,1.386908,[37 64] ; [12 33],[33.89726027 67.10273973] ; [15.10273973 29.89726027],0
a5,1,0.240839,1.375675,[51 50] ; [18 27],[47.73287671 53.26712329] ; [21.26712329 23.73287671],0
v2,1,0.260084,1.268308,[37 59] ; [12 30],[34.08695652 61.91304348] ; [14.91304348 27.08695652],0
r4,1,0.350076,0.873182,[77 24] ; [31 14],[74.71232877 26.28767123] ; [33.28767123 11.71232877],0
d5,1,0.354587,0.856974,[70 30] ; [28 17],[67.5862069 32.4137931] ; [30.4137931 14.5862069],0
r1,1,0.395842,0.720921,[63 37] ; [25 20],[60.68965517 39.31034483] ; [27.31034483 17.68965517],0
u2,1,0.441915,0.591304,[21 24] ; [13 10],[22.5 22.5] ; [11.5 11.5],0
u1,1,0.442555,0.58965,[ 8 93] ; [ 2 43],[ 6.91780822 94.08219178] ; [ 3.08219178 41.91780822],0
p5,1,0.450589,0.56917,[ 5 95] ; [ 1 43],[ 4.16666667 95.83333333] ; [ 1.83333333 42.16666667],0
v3,1,0.456101,0.555447,[18 78] ; [ 6 38],[16.45714286 79.54285714] ; [ 7.54285714 36.45714286],0
p8,1,0.468145,0.526351,[39 61] ; [20 24],[40.97222222 59.02777778] ; [18.02777778 25.97222222],0
b4,1,0.478379,0.502556,[58 43] ; [23 22],[56.03424658 44.96575342] ; [24.96575342 20.03424658],0
b3,1,0.524805,0.40444,[11 40] ; [ 6 15],[12.04166667 38.95833333] ; [ 4.95833333 16.04166667],0
b2,1,0.524805,0.40444,[11 40] ; [ 6 15],[12.04166667 38.95833333] ; [ 4.95833333 16.04166667],0
a3,1,0.533876,0.387008,[55 46] ; [22 23],[53.26712329 47.73287671] ; [23.73287671 21.26712329],0
a6,1,0.586491,0.295857,[58 43] ; [28 17],[59.49315068 41.50684932] ; [26.50684932 18.49315068],0
p3,1,0.593353,0.285139,[29 72] ; [11 34],[27.67123288 73.32876712] ; [12.32876712 32.67123288],0
a1,1,0.593851,0.28437,[ 4 97] ; [ 1 44],[ 3.45890411 97.54109589] ; [ 1.54109589 43.45890411],0
n3,1,0.612668,0.256307,[26 12] ; [13  8],[25.11864407 12.88135593] ; [13.88135593  7.11864407],0
p6,1,0.622299,0.24265,[21 80] ; [11 34],[22.1369863 78.8630137] ; [ 9.8630137 35.1369863],0
a2,1,0.648464,0.207842,[ 9 92] ; [ 3 42],[ 8.30136986 92.69863014] ; [ 3.69863014 41.30136986],0
s3,1,0.7468,0.10424,[42 59] ; [20 25],[42.89041096 58.10958904] ; [19.10958904 25.89041096],0
n2,1,0.764012,0.09013,[22 16] ; [13  8],[22.54237288 15.45762712] ; [12.45762712  8.54237288],0
p2,1,0.780015,0.078008,[69 31] ; [30 15],[68.27586207 31.72413793] ; [30.72413793 14.27586207],0
v4,1,0.784465,0.074805,[88 12] ; [38  6],[87.5 12.5] ; [38.5  5.5],0
p9,1,0.793424,0.068574,[63 36] ; [29 15],[63.69230769 35.30769231] ; [28.30769231 15.69230769],0
n6,1,0.811085,0.057134,[63 38] ; [29 16],[63.64383562 37.35616438] ; [28.35616438 16.64383562],0
a4,1,0.825297,0.048725,[23 78] ; [11 34],[23.52054795 77.47945205] ; [10.47945205 34.52054795],0
b5,1,0.853515,0.03409,[60 41] ; [26 19],[59.49315068 41.50684932] ; [26.50684932 18.49315068],0
s2,1,0.885263,0.020823,[38 63] ; [16 28],[37.6137931 63.3862069] ; [16.3862069 27.6137931],0
n1,1,0.885423,0.020764,[11 28] ; [ 6 14],[11.23728814 27.76271186] ; [ 5.76271186 14.23728814],0
s1,1,0.891783,0.018509,[ 4 97] ; [ 2 43],[ 4.15068493 96.84931507] ; [ 1.84931507 43.15068493],0
a8,1,0.891915,0.018464,[ 5 89] ; [ 2 40],[ 4.83823529 89.16176471] ; [ 2.16176471 39.83823529],0
p1,1,0.901066,0.015454,[ 4 96] ; [ 2 43],[ 4.13793103 95.86206897] ; [ 1.86206897 43.13793103],0
s4,1,0.90646,0.013807,[26 75] ; [12 33],[26.28767123 74.71232877] ; [11.71232877 33.28767123],0
p7,1,0.942575,0.005189,[50 49] ; [22 21],[50.1971831 48.8028169] ; [21.8028169 21.1971831],0
p4,1,0.946149,0.004562,[41 60] ; [18 27],[40.81506849 60.18493151] ; [18.18493151 26.81506849],0
p10,1,0.963453,0.0021,[59 40] ; [27 18],[59.125 39.875] ; [26.875 18.125],0
s6,1,0.966695,0.001743,[49 52] ; [22 23],[49.11643836 51.88356164] ; [21.88356164 23.11643836],0
