Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,40.985272,[31 55] ; [103  27],[53.35185185 32.64814815] ; [80.64814815 49.35185185],1
n6,1,0.001295,10.348934,[53 33] ; [105  24],[63.2 22.8] ; [94.8 34.2],0
a5,1,0.003489,8.532261,[44 42] ; [92 38],[54.14814815 31.85185185] ; [81.85185185 48.14814815],0
a2,1,0.009249,6.774072,[ 8 78] ; [ 30 100],[15.12962963 70.87037037] ; [ 22.87037037 107.12962963],0
a7,1,0.035902,4.401748,[62 23] ; [76 53],[54.81308411 30.18691589] ; [83.18691589 45.81308411],0
b3,1,0.050074,3.838992,[11 36] ; [29 42],[15.93220339 31.06779661] ; [24.06779661 46.93220339],0
b2,1,0.050074,3.838992,[11 36] ; [29 42],[15.93220339 31.06779661] ; [24.06779661 46.93220339],0
d4,1,0.051817,3.781664,[69 17] ; [88 41],[62.8 23.2] ; [94.2 34.8],0
a6,1,0.052623,3.75585,[47 39] ; [88 42],[53.75 32.25] ; [81.25 48.75],0
p10,1,0.062815,3.461468,[44 41] ; [82 45],[50.51886792 34.48113208] ; [75.48113208 51.51886792],0
p1,1,0.095426,2.780372,[ 2 83] ; [ 10 120],[ 4.74418605 80.25581395] ; [  7.25581395 122.74418605],0
a1,1,0.104127,2.64116,[ 3 83] ; [ 12 118],[ 5.97222222 80.02777778] ; [  9.02777778 120.97222222],0
u1,1,0.111261,2.536217,[ 4 82] ; [ 14 116],[ 7.16666667 78.83333333] ; [ 10.83333333 119.16666667],0
n1,1,0.117692,2.447769,[ 5 21] ; [18 31],[ 7.97333333 18.02666667] ; [15.02666667 33.97333333],0
p9,1,0.155221,2.02018,[50 34] ; [85 38],[54.7826087 29.2173913] ; [80.2173913 42.7826087],0
a4,1,0.184087,1.764318,[27 59] ; [52 77],[31.6 54.4] ; [47.4 81.6],0
s6,1,0.194816,1.680815,[21 63] ; [43 86],[25.23943662 58.76056338] ; [38.76056338 90.23943662],0
d2,1,0.238409,1.389979,[29 57] ; [53 74],[33.10798122 52.89201878] ; [48.89201878 78.10798122],0
s2,1,0.242542,1.365757,[ 7 79] ; [ 17 111],[ 9.64485981 76.35514019] ; [ 14.35514019 113.64485981],0
a8,1,0.262813,1.253877,[ 6 75] ; [ 15 107],[ 8.37931034 72.62068966] ; [ 12.62068966 109.37931034],0
b1,1,0.314079,1.013444,[39 47] ; [50 80],[35.43518519 50.56481481] ; [53.56481481 76.43518519],0
v2,1,0.334,0.933325,[40 45] ; [50 74],[36.60287081 48.39712919] ; [53.39712919 70.60287081],0
b4,1,0.340525,0.908455,[50 36] ; [67 63],[46.58333333 39.41666667] ; [70.41666667 59.58333333],0
u2,1,0.372966,0.793759,[16 15] ; [19 27],[14.09090909 16.90909091] ; [20.90909091 25.09090909],0
v1,1,0.386831,0.748881,[28 57] ; [50 79],[30.98130841 54.01869159] ; [47.01869159 81.98130841],0
p6,1,0.42212,0.644407,[13 70] ; [ 15 112],[11.06666667 71.93333333] ; [ 16.93333333 110.06666667],0
u3,1,0.427154,0.630548,[14 17] ; [17 30],[12.32051282 18.67948718] ; [18.67948718 28.32051282],0
r3,1,0.436215,0.606218,[74 12] ; [105  23],[71.93457944 14.06542056] ; [107.06542056  20.93457944],0
d3,1,0.436814,0.604638,[52 33] ; [72 57],[49.25233645 35.74766355] ; [74.74766355 54.25233645],0
v3,1,0.4547,0.558908,[22 59] ; [41 87],[24.41626794 56.58373206] ; [38.58373206 89.41626794],0
r4,1,0.466406,0.530478,[66 20] ; [94 36],[63.7037037 22.2962963] ; [96.2962963 33.7037037],0
n2,1,0.476283,0.507363,[15 11] ; [33 17],[16.42105263  9.57894737] ; [31.57894737 18.42105263],0
s5,1,0.510113,0.433835,[11 73] ; [ 21 107],[12.67924528 71.32075472] ; [ 19.32075472 108.67924528],0
r2,1,0.572085,0.319206,[70 14] ; [112  18],[71.43925234 12.56074766] ; [110.56074766  19.43925234],0
s1,1,0.61898,0.247304,[ 3 83] ; [  3 125],[ 2.41121495 83.58878505] ; [  3.58878505 124.41121495],0
d1,1,0.618984,0.247299,[40 46] ; [56 74],[38.22222222 47.77777778] ; [57.77777778 72.22222222],0
p11,1,0.655416,0.199139,[53 33] ; [84 46],[54.5462963 31.4537037] ; [82.4537037 47.5462963],0
r1,1,0.681645,0.16828,[55 31] ; [86 43],[56.4 29.6] ; [84.6 44.4],0
p2,1,0.773342,0.082948,[55 31] ; [80 49],[54. 32.] ; [81. 48.],0
p8,1,0.780422,0.077713,[27 59] ; [37 88],[26.08530806 59.91469194] ; [37.91469194 87.08530806],0
d5,1,0.781044,0.077261,[61 24] ; [91 39],[60.09302326 24.90697674] ; [91.90697674 38.09302326],0
p5,1,0.790104,0.070849,[ 4 82] ; [  5 123],[ 3.61682243 82.38317757] ; [  5.38317757 122.61682243],0
s8,1,0.79701,0.066161,[14 71] ; [ 23 106],[14.69626168 70.30373832] ; [ 22.30373832 106.69626168],0
u4,1,0.817359,0.053335,[ 1 85] ; [  2 128],[ 1.19444444 84.80555556] ; [  1.80555556 128.19444444],0
s4,1,0.859643,0.031268,[10 76] ; [ 14 115],[ 9.6 76.4] ; [ 14.4 114.6],0
b5,1,0.895826,0.017144,[55 31] ; [82 48],[54.5462963 31.4537037] ; [82.4537037 47.5462963],0
v4,1,0.919201,0.01029,[73 13] ; [111  19],[73.25925926 12.74074074] ; [110.74074074  19.25925926],0
p7,1,0.927461,0.008288,[34 52] ; [51 76],[34.31924883 51.68075117] ; [50.68075117 76.31924883],0
s7,1,0.941507,0.005384,[15 67] ; [ 23 100],[15.2 66.8] ; [ 22.8 100.2],0
p3,1,0.944507,0.004845,[17 69] ; [ 26 103],[17.2 68.8] ; [ 25.8 103.2],0
n3,1,0.945046,0.004751,[17  9] ; [31 17],[16.86486486  9.13513514] ; [31.13513514 16.86486486],0
a3,1,0.953692,0.003372,[55 31] ; [83 46],[55.2 30.8] ; [82.8 46.2],0
