Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7.8e-05,15.617692,[19 26] ; [211  83],[30.53097345 14.46902655] ; [199.46902655  94.53097345],1
r1,1,0.000717,11.44405,[32 17] ; [258  45],[40.36931818  8.63068182] ; [249.63068182  53.36931818],1
n1,1,0.000817,11.201513,[ 1 13] ; [33 25],[6.61111111 7.38888889] ; [27.38888889 30.61111111],1
p9,1,0.001525,10.048548,[35 13] ; [270  32],[41.82857143  6.17142857] ; [263.17142857  38.82857143],0
s6,1,0.002086,9.472519,[34 15] ; [260  40],[41.27793696  7.72206304] ; [252.72206304  47.27793696],0
p11,1,0.002872,8.887094,[30 19] ; [245  60],[38.06497175 10.93502825] ; [236.93502825  68.06497175],0
r2,1,0.003014,8.799028,[43  6] ; [292   9],[46.9  2.1] ; [288.1  12.9],0
r4,1,0.010349,6.573767,[40  9] ; [283  22],[44.70903955  4.29096045] ; [278.29096045  26.70903955],0
s8,1,0.015303,5.881287,[23 26] ; [197 106],[30.625 18.375] ; [189.375 113.625],0
p12,1,0.020757,5.347106,[ 1 47] ; [ 42 261],[ 5.88034188 42.11965812] ; [ 37.11965812 265.88034188],0
s5,1,0.035364,4.427492,[14 34] ; [133 160],[20.69208211 27.30791789] ; [126.30791789 166.69208211],0
n3,1,0.065356,3.395979,[7 7] ; [45 15],[9.83783784 4.16216216] ; [42.16216216 17.83783784],0
n4,1,0.066805,3.359821,[35 14] ; [250  53],[39.67329545  9.32670455] ; [245.32670455  57.67329545],0
p10,1,0.079491,3.075286,[37 11] ; [261  40],[40.98567335  7.01432665] ; [257.01432665  43.98567335],0
v4,1,0.146691,2.106327,[45  4] ; [291  11],[46.90598291  2.09401709] ; [289.09401709  12.90598291],0
a3,1,0.161056,1.964281,[33 16] ; [233  71],[36.92351275 12.07648725] ; [229.07648725  74.92351275],0
p1,1,0.167238,1.907528,[ 2 47] ; [ 31 270],[ 4.62 44.38] ; [ 28.38 272.62],0
p2,1,0.180427,1.794105,[37 11] ; [256  46],[40.18285714  7.81714286] ; [252.81714286  49.18285714],0
d1,1,0.200935,1.635567,[27 22] ; [197 108],[31.00564972 17.99435028] ; [192.99435028 112.00564972],0
n5,1,0.229541,1.443701,[35 13] ; [243  59],[38.12571429  9.87428571] ; [239.87428571  62.12571429],0
p5,1,0.231549,1.43132,[ 4 44] ; [ 44 254],[ 6.65895954 41.34104046] ; [ 41.34104046 256.65895954],0
a2,1,0.293973,1.101338,[10 39] ; [ 84 221],[13.01129944 35.98870056] ; [ 80.98870056 224.01129944],0
u2,1,0.308609,1.03662,[8 8] ; [44 25],[9.78823529 6.21176471] ; [42.21176471 26.78823529],0
n2,1,0.320706,0.986064,[10  4] ; [49 10],[11.31506849  2.68493151] ; [47.68493151 11.31506849],0
a8,1,0.337659,0.919299,[ 6 38] ; [ 56 228],[ 8.31707317 35.68292683] ; [ 53.68292683 230.31707317],0
a1,1,0.355032,0.855391,[ 5 44] ; [ 20 285],[ 3.46045198 45.53954802] ; [ 21.53954802 283.46045198],0
p3,1,0.362628,0.82877,[23 25] ; [166 136],[25.92 22.08] ; [163.08 138.92],0
p4,1,0.405169,0.692932,[29 19] ; [201 101],[31.54285714 16.45714286] ; [198.45714286 103.54285714],0
a7,1,0.439104,0.598622,[33 16] ; [221  83],[35.25779037 13.74220963] ; [218.74220963  85.25779037],0
v3,1,0.446267,0.580116,[25 23] ; [132 154],[22.56287425 25.43712575] ; [134.43712575 151.56287425],0
p6,1,0.461056,0.543329,[22 26] ; [121 180],[19.66762178 28.33237822] ; [123.33237822 177.66762178],0
a6,1,0.466764,0.529626,[29 20] ; [195 107],[31.27065527 17.72934473] ; [192.72934473 109.27065527],0
p7,1,0.519147,0.415588,[30 18] ; [197  96],[31.95307918 16.04692082] ; [195.04692082  97.95307918],0
d4,1,0.554785,0.348815,[44  5] ; [262  40],[42.71794872  6.28205128] ; [263.28205128  38.71794872],0
