Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,8e-06,20.023857,[51 71] ; [102  46],[69.13333333 52.86666667] ; [83.86666667 64.13333333],1
v3,1,5.4e-05,16.307934,[31 93] ; [71 74],[47.01858736 76.98141264] ; [54.98141264 90.01858736],1
n5,1,0.000428,12.406341,[76 50] ; [118  30],[89.21167883 36.78832117] ; [104.78832117  43.21167883],1
p2,1,0.000629,11.689425,[103  22] ; [140   7],[111.67279412  13.32720588] ; [131.32720588  15.67279412],1
p10,1,0.001164,10.546287,[88 38] ; [124  20],[98.93333333 27.06666667] ; [113.06666667  30.93333333],0
u1,1,0.006713,7.348176,[  9 117] ; [ 27 121],[ 16.55474453 109.44525547] ; [ 19.44525547 128.55474453],0
d4,1,0.008309,6.965681,[87 38] ; [123  25],[96.15384615 28.84615385] ; [113.84615385  34.15384615],0
b5,1,0.018517,5.546527,[64 62] ; [96 52],[73.57664234 52.42335766] ; [86.42335766 61.57664234],0
p8,1,0.022112,5.236953,[74 48] ; [107  38],[82.70411985 39.29588015] ; [98.29588015 46.70411985],0
r1,1,0.022209,5.229354,[90 36] ; [122  25],[97.84615385 28.15384615] ; [114.15384615  32.84615385],0
n6,1,0.02612,4.948071,[94 31] ; [127  21],[101.19047619  23.80952381] ; [119.80952381  28.19047619],0
r3,1,0.035587,4.416777,[114  12] ; [143   5],[118.18248175   7.81751825] ; [138.81751825   9.18248175],0
b2,1,0.036933,4.353483,[19 58] ; [37 56],[25.36470588 51.63529412] ; [30.63529412 62.36470588],0
b3,1,0.036933,4.353483,[19 58] ; [37 56],[25.36470588 51.63529412] ; [30.63529412 62.36470588],0
p6,1,0.037832,4.312541,[43 80] ; [68 75],[51.32706767 71.67293233] ; [59.67293233 83.32706767],0
p9,1,0.04277,4.104456,[96 29] ; [126  20],[102.39852399  22.60147601] ; [119.60147601  26.39852399],0
p4,1,0.043581,4.072707,[72 53] ; [102  45],[79.96323529 45.03676471] ; [94.03676471 52.96323529],0
p3,1,0.053112,3.740376,[66 60] ; [94 53],[73.84615385 52.15384615] ; [86.15384615 60.84615385],0
n4,1,0.058383,3.582724,[87 39] ; [117  31],[93.81021898 32.18978102] ; [110.18978102  37.81021898],0
s8,1,0.060367,3.527261,[29 96] ; [49 97],[35.97785978 89.02214022] ; [ 42.02214022 103.97785978],0
v4,1,0.068069,3.32898,[113  12] ; [141   6],[116.72794118   8.27205882] ; [137.27205882   9.72794118],0
s3,1,0.077225,3.122362,[38 86] ; [ 31 115],[31.68888889 92.31111111] ; [ 37.31111111 108.68888889],0
p11,1,0.084155,2.982764,[96 30] ; [125  23],[101.62773723  24.37226277] ; [119.37226277  28.62773723],0
a4,1,0.097238,2.750269,[42 84] ; [63 83],[48.63970588 77.36029412] ; [56.36029412 89.63970588],0
r2,1,0.098937,2.722596,[110  15] ; [135   9],[113.84758364  11.15241636] ; [131.15241636  12.84758364],0
d5,1,0.113845,2.500013,[94 32] ; [122  26],[99.32846715 26.67153285] ; [116.67153285  31.32846715],0
a7,1,0.16128,1.962182,[83 43] ; [109  39],[88.2919708 37.7080292] ; [103.7080292  44.2919708],0
p1,1,0.164441,1.932906,[  7 119] ; [ 15 133],[ 10.11678832 115.88321168] ; [ 11.88321168 136.11678832],0
d1,1,0.173548,1.85203,[62 64] ; [85 63],[67.59854015 58.40145985] ; [79.40145985 68.59854015],0
p12,1,0.176057,1.830601,[  4 121] ; [ 10 136],[  6.45756458 118.54243542] ; [  7.54243542 138.45756458],0
d2,1,0.182179,1.779762,[52 74] ; [73 75],[57.48175182 68.51824818] ; [67.51824818 80.48175182],0
s6,1,0.184353,1.762179,[54 68] ; [76 69],[59.40074906 62.59925094] ; [70.59925094 74.40074906],0
n1,1,0.197037,1.6642,[11 28] ; [ 9 11],[13.22033898 25.77966102] ; [ 6.77966102 13.22033898],0
a3,1,0.202286,1.625794,[80 46] ; [104  43],[84.92307692 41.07692308] ; [99.07692308 47.92307692],0
u2,1,0.204818,1.607685,[27 18] ; [20 23],[24.03409091 20.96590909] ; [22.96590909 20.03409091],0
a5,1,0.215673,1.532931,[86 40] ; [111  37],[90.59124088 35.40875912] ; [106.40875912  41.59124088],0
s4,1,0.222718,1.486774,[ 18 108] ; [ 14 133],[ 14.76923077 111.23076923] ; [ 17.23076923 129.76923077],0
b4,1,0.287458,1.131489,[66 60] ; [87 61],[70.35766423 55.64233577] ; [82.64233577 65.35766423],0
u3,1,0.293752,1.102345,[20 26] ; [24 20],[22.48888889 23.51111111] ; [21.51111111 22.48888889],0
a2,1,0.347622,0.882121,[ 20 106] ; [ 30 118],[ 22.99270073 103.00729927] ; [ 27.00729927 120.99270073],0
n3,1,0.364797,0.82131,[32  8] ; [17  2],[33.22033898  6.77966102] ; [15.77966102  3.22033898],0
r4,1,0.395307,0.722555,[111  15] ; [135  13],[113.12408759  12.87591241] ; [132.87591241  15.12408759],0
d3,1,0.438685,0.59972,[78 47] ; [99 49],[81.04395604 43.95604396] ; [95.95604396 52.04395604],0
b1,1,0.454638,0.559063,[55 71] ; [58 90],[51.96350365 74.03649635] ; [61.03649635 86.96350365],0
s5,1,0.514148,0.425616,[30 95] ; [ 30 115],[27.77777778 97.22222222] ; [ 32.22222222 112.77777778],0
a6,1,0.543942,0.368282,[79 47] ; [98 50],[81.39416058 44.60583942] ; [95.60583942 52.39416058],0
n2,1,0.550097,0.357143,[27 13] ; [15  5],[28. 12.] ; [14.  6.],0
a8,1,0.56013,0.33948,[17 99] ; [ 15 109],[ 15.46666667 100.53333333] ; [ 16.53333333 107.46666667],0
a1,1,0.625019,0.238876,[  3 123] ; [  5 143],[  3.67883212 122.32116788] ; [  4.32116788 143.67883212],0
s1,1,0.832894,0.044518,[  3 121] ; [  3 144],[  2.74538745 121.25461255] ; [  3.25461255 143.74538745],0
s7,1,0.977146,0.000821,[36 81] ; [43 96],[36.10546875 80.89453125] ; [42.89453125 96.10546875],0
p5,1,0.992566,8.7e-05,[ 16 109] ; [ 19 129],[ 16.02564103 108.97435897] ; [ 18.97435897 129.02564103],0
