Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.812948,[211  54] ; [26 29],[196.265625  68.734375] ; [40.734375 14.265625],1
n4,1,2e-06,22.313725,[209  56] ; [27 29],[194.82866044  70.17133956] ; [41.17133956 14.82866044],1
r3,1,0.000118,14.828342,[249  15] ; [44 12],[241.725  22.275] ; [51.275  4.725],1
r4,1,0.000156,14.299342,[237  29] ; [39 17],[228.  38.] ; [48.  8.],1
p11,1,0.000339,12.838915,[219  47] ; [34 22],[209.  57.] ; [44. 12.],1
p10,1,0.000392,12.570666,[238  25] ; [41 15],[230.02194357  32.97805643] ; [48.97805643  7.02194357],1
p4,1,0.000611,11.74254,[168  98] ; [21 34],[156.61682243 109.38317757] ; [32.38317757 22.61682243],1
d5,1,0.000633,11.677058,[207  57] ; [31 24],[196.96551724  67.03448276] ; [41.03448276 13.96551724],1
p2,1,0.001364,10.254039,[232  32] ; [39 16],[224.27586207  39.72413793] ; [46.72413793  8.27586207],0
v4,1,0.003499,8.527196,[254  11] ; [48  8],[249.31464174  15.68535826] ; [52.68535826  3.31464174],0
a5,1,0.006127,7.512515,[188  78] ; [29 27],[179.26086957  86.73913043] ; [37.73913043 18.26086957],0
s6,1,0.010972,6.469919,[180  79] ; [29 27],[171.84444444  87.15555556] ; [37.15555556 18.84444444],0
p8,1,0.016641,5.733868,[146 119] ; [21 35],[137.86604361 127.13395639] ; [29.13395639 26.86604361],0
b1,1,0.020068,5.405932,[ 98 168] ; [30 26],[105.73913043 160.26086957] ; [22.26086957 33.73913043],0
s7,1,0.021181,5.311802,[127 130] ; [17 36],[119.38064516 137.61935484] ; [24.61935484 28.38064516],0
b5,1,0.021725,5.267715,[161 105] ; [43 13],[168.52173913  97.47826087] ; [35.47826087 20.52173913],0
a1,1,0.040754,4.186215,[  8 258] ; [ 5 51],[ 10.73913043 255.26086957] ; [ 2.26086957 53.73913043],0
r1,1,0.044598,4.033779,[192  73] ; [33 23],[185.74766355  79.25233645] ; [39.25233645 16.74766355],0
d1,1,0.048899,3.878824,[143 123] ; [22 34],[136.30434783 129.69565217] ; [28.69565217 27.30434783],0
r2,1,0.066016,3.379398,[244  18] ; [48  8],[240.57861635  21.42138365] ; [51.42138365  4.57861635],0
p5,1,0.071321,3.252346,[ 37 224] ; [ 3 53],[ 32.93375394 228.06624606] ; [ 7.06624606 48.93375394],0
p3,1,0.077128,3.124399,[129 136] ; [20 36],[123.00623053 141.99376947] ; [25.99376947 30.00623053],0
p6,1,0.080223,3.060387,[102 163] ; [14 40],[ 96.36363636 168.63636364] ; [19.63636364 34.36363636],0
s5,1,0.114477,2.491302,[ 92 165] ; [13 40],[ 87.0483871 169.9516129] ; [17.9516129 35.0483871],0
a3,1,0.116957,2.457609,[179  84] ; [32 24],[173.95924765  89.04075235] ; [37.04075235 18.95924765],0
u1,1,0.117974,2.444012,[ 40 226] ; [ 4 52],[ 36.34782609 229.65217391] ; [ 7.65217391 48.34782609],0
p7,1,0.169412,1.888139,[160 101] ; [26 25],[155.59615385 105.40384615] ; [30.40384615 20.59615385],0
s2,1,0.237616,1.39468,[134 131] ; [23 32],[130.015625 134.984375] ; [26.984375 28.015625],0
a4,1,0.246144,1.345059,[117 148] ; [20 36],[113.09968847 151.90031153] ; [23.90031153 32.09968847],0
n3,1,0.247775,1.335807,[48 18] ; [8 6],[46.2 19.8] ; [9.8 4.2],0
s1,1,0.253901,1.301711,[ 10 253] ; [ 4 51],[ 11.57861635 251.42138365] ; [ 2.42138365 52.57861635],0
d2,1,0.289421,1.122311,[112 153] ; [19 36],[108.484375 156.515625] ; [22.515625 32.484375],0
b3,1,0.364377,0.822752,[60 95] ; [10 23],[57.71276596 97.28723404] ; [12.28723404 20.71276596],0
b2,1,0.364377,0.822752,[60 95] ; [10 23],[57.71276596 97.28723404] ; [12.28723404 20.71276596],0
s4,1,0.371769,0.797743,[ 56 206] ; [ 9 47],[ 53.55345912 208.44654088] ; [11.44654088 44.55345912],0
s8,1,0.400682,0.70628,[116 150] ; [21 35],[113.17391304 152.82608696] ; [23.82608696 32.17391304],0
u3,1,0.405803,0.691064,[45 40] ; [15  9],[46.78899083 38.21100917] ; [13.21100917 10.78899083],0
a8,1,0.408487,0.6832,[ 31 213] ; [ 9 44],[ 32.86195286 211.13804714] ; [ 7.13804714 45.86195286],0
u2,1,0.492996,0.469981,[47 39] ; [15  9],[48.47272727 37.52727273] ; [13.52727273 10.47272727],0
n1,1,0.531981,0.390607,[27 39] ; [7 7],[28.05 37.95] ; [5.95 8.05],0
v3,1,0.575292,0.313907,[ 48 214] ; [ 8 45],[ 46.57777778 215.42222222] ; [ 9.42222222 43.57777778],0
a6,1,0.598594,0.277122,[169  97] ; [37 18],[170.70404984  95.29595016] ; [35.29595016 19.70404984],0
n2,1,0.672874,0.178259,[49 18] ; [11  3],[49.62962963 17.37037037] ; [10.37037037  3.62962963],0
d4,1,0.6811,0.16889,[209  56] ; [42 13],[207.859375  57.140625] ; [43.140625 11.859375],0
v1,1,0.71876,0.129684,[108 152] ; [21 33],[106.81528662 153.18471338] ; [22.18471338 31.81528662],0
a7,1,0.787754,0.072484,[180  85] ; [37 19],[179.14330218  85.85669782] ; [37.85669782 18.14330218],0
p1,1,0.838978,0.041291,[ 26 239] ; [ 5 51],[ 25.59190031 239.40809969] ; [ 5.40809969 50.59190031],0
s3,1,0.908095,0.013327,[146 117] ; [31 24],[146.38679245 116.61320755] ; [30.61320755 24.38679245],0
b4,1,0.917836,0.010642,[150 116] ; [32 24],[150.34782609 115.65217391] ; [31.65217391 24.34782609],0
a2,1,0.961672,0.002309,[ 53 213] ; [11 45],[ 52.86956522 213.13043478] ; [11.13043478 44.86956522],0
d3,1,0.989829,0.000162,[172  93] ; [35 19],[171.95924765  93.04075235] ; [35.04075235 18.95924765],0
