Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000173,14.103442,[ 3 11] ; [51 18],[9.10843373 4.89156627] ; [44.89156627 24.10843373],1
n4,1,0.00801,7.031321,[5 9] ; [50 19],[9.27710843 4.72289157] ; [45.72289157 23.27710843],0
v4,1,0.008471,6.930987,[10  4] ; [65  4],[12.65060241  1.34939759] ; [62.34939759  6.65060241],0
a4,1,0.021692,5.27029,[ 3 11] ; [38 31],[6.91566265 7.08433735] ; [34.08433735 34.91566265],0
r4,1,0.023571,5.125915,[9 5] ; [61  8],[11.80722892  2.19277108] ; [58.19277108 10.80722892],0
n3,1,0.027586,4.853782,[2 5] ; [13  4],[4.375 2.625] ; [10.625  6.375],0
p4,1,0.031553,4.6226,[ 3 11] ; [36 32],[6.65853659 7.34146341] ; [32.34146341 35.65853659],0
p11,1,0.093118,2.819627,[6 8] ; [46 23],[8.77108434 5.22891566] ; [43.22891566 25.77108434],0
b3,1,0.10775,2.586918,[5 3] ; [14 29],[2.98039216 5.01960784] ; [16.01960784 26.98039216],0
b2,1,0.10775,2.586918,[5 3] ; [14 29],[2.98039216 5.01960784] ; [16.01960784 26.98039216],0
a1,1,0.154181,2.030387,[ 2 12] ; [ 3 66],[ 0.84337349 13.15662651] ; [ 4.15662651 64.84337349],0
d2,1,0.169648,1.886049,[6 8] ; [42 25],[8.2962963 5.7037037] ; [39.7037037 27.2962963],0
s6,1,0.199622,1.645135,[10  4] ; [59 10],[11.63855422  2.36144578] ; [57.36144578 11.63855422],0
d5,1,0.206831,1.593472,[13  1] ; [54 15],[11.30120482  2.69879518] ; [55.69879518 13.30120482],0
a5,1,0.206975,1.592457,[8 6] ; [51 18],[9.95180723 4.04819277] ; [49.04819277 19.95180723],0
v1,1,0.221698,1.493345,[9 5] ; [32 37],[6.91566265 7.08433735] ; [34.08433735 34.91566265],0
p10,1,0.221886,1.492134,[9 5] ; [54 14],[10.75609756  3.24390244] ; [52.24390244 15.75609756],0
v3,1,0.241149,1.373864,[ 3 11] ; [25 41],[4.9 9.1] ; [23.1 42.9],0
u1,1,0.243771,1.358652,[ 1 13] ; [14 55],[ 2.53012048 11.46987952] ; [12.46987952 56.53012048],0
b4,1,0.254589,1.297945,[8 6] ; [50 19],[9.78313253 4.21686747] ; [48.21686747 20.78313253],0
p8,1,0.281159,1.161481,[ 1 12] ; [14 55],[ 2.37804878 10.62195122] ; [12.62195122 56.37804878],0
r1,1,0.30211,1.064856,[8 5] ; [52 17],[9.51219512 3.48780488] ; [50.48780488 18.51219512],0
r3,1,0.333962,0.933472,[11  3] ; [60  8],[12.12195122  1.87804878] ; [58.87804878  9.12195122],0
p3,1,0.34819,0.880043,[ 4 10] ; [29 40],[5.56626506 8.43373494] ; [27.43373494 41.56626506],0
b5,1,0.365678,0.818298,[8 6] ; [48 21],[9.44578313 4.55421687] ; [46.55421687 22.44578313],0
p1,1,0.393332,0.728617,[ 1 13] ; [11 58],[ 2.02409639 11.97590361] ; [ 9.97590361 59.02409639],0
u2,1,0.412086,0.672773,[3 1] ; [10  9],[2.26086957 1.73913043] ; [10.73913043  8.26086957],0
n2,1,0.504036,0.446429,[5 2] ; [15  3],[5.6 1.4] ; [14.4  3.6],0
p9,1,0.529807,0.394761,[10  4] ; [53 14],[10.88888889  3.11111111] ; [52.11111111 14.88888889],0
s8,1,0.543298,0.369462,[7 7] ; [28 40],[5.97560976 8.02439024] ; [29.02439024 38.97560976],0
b1,1,0.591709,0.287683,[5 9] ; [30 39],[5.90361446 8.09638554] ; [29.09638554 39.90361446],0
a6,1,0.640322,0.218321,[8 6] ; [44 25],[8.77108434 5.22891566] ; [43.22891566 25.77108434],0
u3,1,0.651291,0.204276,[3 1] ; [12  7],[2.60869565 1.39130435] ; [12.39130435  6.60869565],0
s4,1,0.711248,0.137034,[ 4 10] ; [16 51],[ 3.45679012 10.54320988] ; [16.54320988 50.45679012],0
d3,1,0.72877,0.120244,[10  4] ; [46 23],[9.44578313 4.55421687] ; [46.55421687 22.44578313],0
d1,1,0.734488,0.11503,[9 5] ; [41 28],[8.43373494 5.56626506] ; [41.56626506 27.43373494],0
p6,1,0.738924,0.111075,[ 3 11] ; [12 56],[ 2.56097561 11.43902439] ; [12.43902439 55.56097561],0
s7,1,0.742256,0.108153,[8 6] ; [34 31],[7.44303797 6.55696203] ; [34.55696203 30.44303797],0
s2,1,0.780308,0.077795,[9 5] ; [47 22],[9.44578313 4.55421687] ; [46.55421687 22.44578313],0
s3,1,0.828631,0.046854,[9 5] ; [41 26],[8.64197531 5.35802469] ; [41.35802469 25.64197531],0
r2,1,0.846992,0.037233,[13  1] ; [65  4],[13.15662651  0.84337349] ; [64.84337349  4.15662651],0
n1,1,0.851054,0.035259,[4 3] ; [9 8],[3.79166667 3.20833333] ; [9.20833333 7.79166667],0
p2,1,0.863596,0.029515,[9 5] ; [46 23],[9.27710843 4.72289157] ; [45.72289157 23.27710843],0
v2,1,0.878811,0.023249,[7 7] ; [32 35],[6.74074074 7.25925926] ; [32.25925926 34.74074074],0
a8,1,0.882329,0.021909,[ 1 12] ; [ 4 57],[ 0.87837838 12.12162162] ; [ 4.12162162 56.87837838],0
a3,1,0.937107,0.006226,[10  4] ; [50 19],[10.12048193  3.87951807] ; [49.87951807 19.12048193],0
a7,1,0.949822,0.00396,[10  4] ; [48 20],[9.90243902 4.09756098] ; [48.09756098 19.90243902],0
p12,1,0.983976,0.000403,[ 2 12] ; [10 59],[ 2.02409639 11.97590361] ; [ 9.97590361 59.02409639],0
